#ies_format_version: 1.0
#file: 20250730_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250730;	172054;	1753876254.000;	        err7;	  err7
20250730;	172057;	1753876257.000;	           0;	     1
20250730;	172100;	1753876260.000;	           0;	     1
20250730;	172103;	1753876263.000;	           0;	     1
20250730;	172106;	1753876266.000;	           0;	     1
20250730;	172109;	1753876269.000;	           0;	     1
20250730;	172112;	1753876272.000;	           0;	     1
20250730;	172115;	1753876275.000;	           0;	     1
20250730;	172118;	1753876278.000;	           0;	     1
20250730;	172121;	1753876281.000;	           0;	     1
20250730;	172124;	1753876284.000;	           0;	     1
20250730;	172127;	1753876287.000;	           0;	     1
20250730;	172130;	1753876290.000;	           0;	     1
20250730;	172133;	1753876293.000;	           0;	     1
20250730;	172136;	1753876296.000;	           0;	     1
20250730;	172139;	1753876299.000;	           0;	     1
20250730;	172142;	1753876302.000;	           0;	     1
20250730;	172145;	1753876305.000;	           0;	     1
20250730;	172148;	1753876308.000;	           0;	     1
20250730;	172151;	1753876311.000;	           0;	     1
20250730;	172154;	1753876314.000;	           0;	     1
20250730;	172157;	1753876317.000;	           0;	     1
20250730;	172200;	1753876320.000;	           0;	     1
20250730;	172203;	1753876323.000;	           0;	     1
20250730;	172206;	1753876326.000;	           0;	     1
20250730;	172209;	1753876329.000;	           0;	     1
20250730;	172212;	1753876332.000;	           0;	     1
20250730;	172215;	1753876335.000;	           0;	     1
20250730;	172218;	1753876338.000;	           0;	     1
20250730;	172221;	1753876341.000;	           0;	     1
20250730;	172224;	1753876344.000;	           0;	     1
20250730;	172227;	1753876347.000;	           0;	     1
20250730;	172230;	1753876350.000;	           0;	     1
20250730;	172233;	1753876353.000;	           0;	     1
20250730;	172236;	1753876356.000;	           0;	     1
20250730;	172239;	1753876359.000;	           0;	     1
20250730;	172242;	1753876362.000;	           0;	     1
20250730;	172245;	1753876365.000;	           0;	     1
20250730;	172248;	1753876368.000;	           0;	     1
20250730;	172251;	1753876371.000;	           0;	     1
20250730;	172254;	1753876374.000;	           0;	     1
20250730;	172257;	1753876377.000;	           0;	     1
20250730;	172300;	1753876380.000;	           0;	     1
20250730;	172303;	1753876383.000;	           0;	     1
20250730;	172306;	1753876386.000;	           0;	     1
20250730;	172309;	1753876389.000;	           0;	     1
20250730;	172312;	1753876392.000;	           0;	     1
20250730;	172315;	1753876395.000;	           0;	     1
20250730;	172318;	1753876398.000;	           0;	     1
20250730;	172321;	1753876401.000;	           0;	     1
20250730;	172324;	1753876404.000;	           0;	     1
20250730;	172327;	1753876407.000;	           0;	     1
20250730;	172330;	1753876410.000;	           0;	     1
20250730;	172333;	1753876413.000;	           0;	     1
20250730;	172336;	1753876416.000;	           0;	     1
20250730;	172339;	1753876419.000;	           0;	     1
20250730;	172342;	1753876422.000;	           0;	     1
20250730;	172345;	1753876425.000;	           0;	     1
20250730;	172348;	1753876428.000;	           0;	     1
20250730;	172351;	1753876431.000;	           0;	     1
20250730;	172354;	1753876434.000;	           0;	     1
20250730;	172357;	1753876437.000;	           0;	     1
20250730;	172400;	1753876440.000;	           0;	     1
20250730;	172403;	1753876443.000;	           0;	     1
20250730;	172406;	1753876446.000;	           0;	     1
20250730;	172409;	1753876449.000;	           0;	     1
20250730;	172412;	1753876452.000;	           0;	     1
20250730;	172415;	1753876455.000;	           0;	     1
20250730;	172418;	1753876458.000;	           0;	     1
20250730;	172421;	1753876461.000;	           0;	     1
20250730;	172424;	1753876464.000;	           0;	     1
20250730;	172427;	1753876467.000;	           0;	     1
20250730;	172430;	1753876470.000;	           0;	     1
20250730;	172433;	1753876473.000;	           0;	     1
20250730;	172436;	1753876476.000;	           0;	     1
