#ies_format_version: 1.0
#file: 20250723_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250723;	170708;	1753270628.000;	           0
20250723;	170710;	1753270630.000;	           0
20250723;	170712;	1753270632.000;	           0
20250723;	170714;	1753270634.000;	           0
20250723;	170716;	1753270636.000;	           0
20250723;	170718;	1753270638.000;	           0
20250723;	170720;	1753270640.000;	           0
20250723;	170722;	1753270642.000;	           0
20250723;	170724;	1753270644.000;	           0
20250723;	170726;	1753270646.000;	           0
20250723;	170728;	1753270648.000;	           0
20250723;	170730;	1753270650.000;	           0
20250723;	170732;	1753270652.000;	           0
20250723;	170734;	1753270654.000;	           0
20250723;	170736;	1753270656.000;	           0
20250723;	170738;	1753270658.000;	           0
20250723;	170740;	1753270660.000;	           0
20250723;	170742;	1753270662.000;	           0
20250723;	170744;	1753270664.000;	           0
20250723;	170746;	1753270666.000;	           0
20250723;	170748;	1753270668.000;	           0
20250723;	170750;	1753270670.000;	           0
20250723;	170752;	1753270672.000;	           0
20250723;	170754;	1753270674.000;	           0
20250723;	170756;	1753270676.000;	           0
20250723;	170758;	1753270678.000;	           0
20250723;	170800;	1753270680.000;	           0
20250723;	170802;	1753270682.000;	           0
20250723;	170804;	1753270684.000;	           0
20250723;	170806;	1753270686.000;	           0
20250723;	170808;	1753270688.000;	           0
20250723;	170810;	1753270690.000;	           0
20250723;	170812;	1753270692.000;	           0
20250723;	170814;	1753270694.000;	           0
20250723;	170816;	1753270696.000;	           0
20250723;	170818;	1753270698.000;	           0
20250723;	170820;	1753270700.000;	           0
20250723;	170822;	1753270702.000;	           0
20250723;	170824;	1753270704.000;	           0
20250723;	170826;	1753270706.000;	           0
20250723;	170828;	1753270708.000;	           0
20250723;	170830;	1753270710.000;	           0
20250723;	170832;	1753270712.000;	           0
20250723;	170834;	1753270714.000;	           0
20250723;	170836;	1753270716.000;	           0
20250723;	170838;	1753270718.000;	           0
20250723;	170840;	1753270720.000;	           0
20250723;	170842;	1753270722.000;	           0
20250723;	170844;	1753270724.000;	           0
20250723;	170846;	1753270726.000;	           0
20250723;	170848;	1753270728.000;	           0
20250723;	170850;	1753270730.000;	           0
20250723;	170852;	1753270732.000;	           0
20250723;	170854;	1753270734.000;	           0
20250723;	170856;	1753270736.000;	           0
20250723;	170858;	1753270738.000;	           0
20250723;	170900;	1753270740.000;	           0
20250723;	170902;	1753270742.000;	           0
20250723;	170904;	1753270744.000;	           0
20250723;	170906;	1753270746.000;	           0
20250723;	170908;	1753270748.000;	           0
20250723;	170910;	1753270750.000;	           0
20250723;	170912;	1753270752.000;	           0
20250723;	170914;	1753270754.000;	           0
20250723;	170916;	1753270756.000;	           0
20250723;	170918;	1753270758.000;	           0
20250723;	170920;	1753270760.000;	           0
20250723;	170922;	1753270762.000;	           0
20250723;	170924;	1753270764.000;	           0
20250723;	170926;	1753270766.000;	           0
20250723;	170928;	1753270768.000;	           0
20250723;	170930;	1753270770.000;	           0
20250723;	170932;	1753270772.000;	           0
20250723;	170934;	1753270774.000;	           0
20250723;	170936;	1753270776.000;	           0
20250723;	170938;	1753270778.000;	           0
20250723;	170940;	1753270780.000;	           0
20250723;	170942;	1753270782.000;	           0
20250723;	170944;	1753270784.000;	           0
20250723;	170946;	1753270786.000;	           0
20250723;	170948;	1753270788.000;	           0
20250723;	170950;	1753270790.000;	           0
20250723;	170952;	1753270792.000;	           0
20250723;	170954;	1753270794.000;	           0
20250723;	170956;	1753270796.000;	           0
20250723;	170958;	1753270798.000;	           0
20250723;	171000;	1753270800.000;	           0
20250723;	171002;	1753270802.000;	           0
20250723;	171004;	1753270804.000;	           0
20250723;	171006;	1753270806.000;	           0
20250723;	171008;	1753270808.000;	           0
20250723;	171010;	1753270810.000;	           0
20250723;	171012;	1753270812.000;	           0
20250723;	171014;	1753270814.000;	           0
20250723;	171016;	1753270816.000;	           0
20250723;	171018;	1753270818.000;	           0
20250723;	171020;	1753270820.000;	           0
20250723;	171022;	1753270822.000;	           0
20250723;	171024;	1753270824.000;	           0
20250723;	171026;	1753270826.000;	           0
20250723;	171028;	1753270828.000;	           0
20250723;	171030;	1753270830.000;	           0
20250723;	171032;	1753270832.000;	           0
20250723;	171034;	1753270834.000;	           0
20250723;	171036;	1753270836.000;	           0
20250723;	171038;	1753270838.000;	           0
20250723;	171040;	1753270840.000;	           0
20250723;	171042;	1753270842.000;	           0
20250723;	171044;	1753270844.000;	           0
20250723;	171046;	1753270846.000;	           0
20250723;	171048;	1753270848.000;	           0
20250723;	171050;	1753270850.000;	           0
20250723;	171052;	1753270852.000;	           0
20250723;	171054;	1753270854.000;	           0
20250723;	171056;	1753270856.000;	           0
20250723;	171058;	1753270858.000;	           0
20250723;	171100;	1753270860.000;	           0
20250723;	171102;	1753270862.000;	           0
20250723;	171104;	1753270864.000;	           0
20250723;	171106;	1753270866.000;	           0
20250723;	171108;	1753270868.000;	           0
20250723;	171110;	1753270870.000;	           0
20250723;	171112;	1753270872.000;	           0
20250723;	171114;	1753270874.000;	           0
20250723;	171116;	1753270876.000;	           0
20250723;	171118;	1753270878.000;	           0
20250723;	171120;	1753270880.000;	           0
20250723;	171122;	1753270882.000;	           0
20250723;	171124;	1753270884.000;	           0
20250723;	171126;	1753270886.000;	           0
20250723;	171128;	1753270888.000;	           0
20250723;	171130;	1753270890.000;	           0
20250723;	171132;	1753270892.000;	           0
20250723;	171134;	1753270894.000;	           0
20250723;	171136;	1753270896.000;	           0
20250723;	171138;	1753270898.000;	           0
20250723;	171140;	1753270900.000;	           0
20250723;	171142;	1753270902.000;	           0
20250723;	171144;	1753270904.000;	           0
20250723;	171146;	1753270906.000;	           0
20250723;	171148;	1753270908.000;	           0
20250723;	171150;	1753270910.000;	           0
20250723;	171152;	1753270912.000;	           0
20250723;	171154;	1753270914.000;	           0
20250723;	171156;	1753270916.000;	           0
20250723;	171158;	1753270918.000;	           0
20250723;	171200;	1753270920.000;	           0
20250723;	171202;	1753270922.000;	           0
20250723;	171204;	1753270924.000;	           0
20250723;	171206;	1753270926.000;	           0
20250723;	171208;	1753270928.000;	           0
20250723;	171210;	1753270930.000;	           0
20250723;	171212;	1753270932.000;	           0
20250723;	171214;	1753270934.000;	           0
20250723;	171216;	1753270936.000;	           0
20250723;	171218;	1753270938.000;	           0
20250723;	171220;	1753270940.000;	           0
20250723;	171222;	1753270942.000;	           0
20250723;	171224;	1753270944.000;	           0
20250723;	171226;	1753270946.000;	           0
20250723;	171228;	1753270948.000;	           0
20250723;	171230;	1753270950.000;	           0
20250723;	171232;	1753270952.000;	           0
20250723;	171234;	1753270954.000;	           0
20250723;	171236;	1753270956.000;	           0
20250723;	171238;	1753270958.000;	           0
20250723;	171240;	1753270960.000;	           0
20250723;	171242;	1753270962.000;	           0
20250723;	171244;	1753270964.000;	           0
20250723;	171246;	1753270966.000;	           0
20250723;	171248;	1753270968.000;	           0
20250723;	171250;	1753270970.000;	           0
20250723;	171252;	1753270972.000;	           0
20250723;	171254;	1753270974.000;	           0
20250723;	171256;	1753270976.000;	           0
20250723;	171258;	1753270978.000;	           0
20250723;	171300;	1753270980.000;	           0
20250723;	171302;	1753270982.000;	           0
20250723;	171304;	1753270984.000;	           0
20250723;	171306;	1753270986.000;	           0
20250723;	171308;	1753270988.000;	           0
20250723;	171310;	1753270990.000;	           0
20250723;	171312;	1753270992.000;	       err32
20250723;	171314;	1753270994.000;	       err32
20250723;	171316;	1753270996.000;	       err32
20250723;	171318;	1753270998.000;	       err32
20250723;	171320;	1753271000.000;	       err32
20250723;	171322;	1753271002.000;	       err32
20250723;	171324;	1753271004.000;	       err32
20250723;	171326;	1753271006.000;	       err32
20250723;	171328;	1753271008.000;	        err7
20250723;	171330;	1753271010.000;	           0
20250723;	171332;	1753271012.000;	           0
20250723;	171334;	1753271014.000;	           0
20250723;	171336;	1753271016.000;	           0
20250723;	171338;	1753271018.000;	           0
20250723;	171340;	1753271020.000;	           0
20250723;	171342;	1753271022.000;	           0
20250723;	171344;	1753271024.000;	           0
20250723;	171346;	1753271026.000;	           0
20250723;	171348;	1753271028.000;	           0
20250723;	171350;	1753271030.000;	           0
20250723;	171352;	1753271032.000;	           0
20250723;	171354;	1753271034.000;	           0
20250723;	171356;	1753271036.000;	           0
20250723;	171358;	1753271038.000;	           0
20250723;	171400;	1753271040.000;	           0
20250723;	171402;	1753271042.000;	           0
20250723;	171404;	1753271044.000;	           0
20250723;	171406;	1753271046.000;	           0
20250723;	171408;	1753271048.000;	           0
20250723;	171410;	1753271050.000;	           0
20250723;	171412;	1753271052.000;	           0
20250723;	171414;	1753271054.000;	           0
20250723;	171416;	1753271056.000;	           0
20250723;	171418;	1753271058.000;	           0
20250723;	171420;	1753271060.000;	           0
20250723;	171422;	1753271062.000;	           0
20250723;	171424;	1753271064.000;	           0
20250723;	171426;	1753271066.000;	           0
20250723;	171428;	1753271068.000;	           0
20250723;	171430;	1753271070.000;	           0
20250723;	171432;	1753271072.000;	           0
20250723;	171434;	1753271074.000;	           0
20250723;	171436;	1753271076.000;	           0
20250723;	171438;	1753271078.000;	           0
20250723;	171440;	1753271080.000;	           0
20250723;	171442;	1753271082.000;	           0
20250723;	171444;	1753271084.000;	           0
20250723;	171446;	1753271086.000;	           0
20250723;	171448;	1753271088.000;	           0
20250723;	171450;	1753271090.000;	           0
20250723;	171452;	1753271092.000;	           0
20250723;	171454;	1753271094.000;	           0
20250723;	171456;	1753271096.000;	           0
20250723;	171458;	1753271098.000;	           0
20250723;	171500;	1753271100.000;	           0
20250723;	171502;	1753271102.000;	           0
20250723;	171504;	1753271104.000;	           0
20250723;	171506;	1753271106.000;	           0
20250723;	171508;	1753271108.000;	           0
20250723;	171510;	1753271110.000;	           0
20250723;	171512;	1753271112.000;	           0
20250723;	171514;	1753271114.000;	           0
20250723;	171516;	1753271116.000;	           0
20250723;	171518;	1753271118.000;	           0
20250723;	171520;	1753271120.000;	           0
20250723;	171522;	1753271122.000;	           0
20250723;	171524;	1753271124.000;	           0
20250723;	171526;	1753271126.000;	           0
20250723;	171528;	1753271128.000;	           0
20250723;	171530;	1753271130.000;	           0
20250723;	171532;	1753271132.000;	           0
20250723;	171534;	1753271134.000;	           0
20250723;	171536;	1753271136.000;	           0
20250723;	171538;	1753271138.000;	           0
20250723;	171540;	1753271140.000;	           0
20250723;	171542;	1753271142.000;	           0
20250723;	171544;	1753271144.000;	           0
20250723;	171546;	1753271146.000;	           0
20250723;	171548;	1753271148.000;	           0
20250723;	171550;	1753271150.000;	           0
20250723;	171552;	1753271152.000;	           0
20250723;	171554;	1753271154.000;	           0
20250723;	171556;	1753271156.000;	           0
20250723;	171558;	1753271158.000;	           0
20250723;	171600;	1753271160.000;	           0
20250723;	171602;	1753271162.000;	           0
20250723;	171604;	1753271164.000;	           0
20250723;	171606;	1753271166.000;	           0
20250723;	171608;	1753271168.000;	           0
20250723;	171610;	1753271170.000;	           0
20250723;	171612;	1753271172.000;	           0
20250723;	171614;	1753271174.000;	           0
20250723;	171616;	1753271176.000;	           0
20250723;	171618;	1753271178.000;	           0
20250723;	171620;	1753271180.000;	           0
20250723;	171622;	1753271182.000;	           0
20250723;	171624;	1753271184.000;	           0
20250723;	171626;	1753271186.000;	           0
20250723;	171628;	1753271188.000;	           0
20250723;	171630;	1753271190.000;	           0
20250723;	171632;	1753271192.000;	           0
20250723;	171634;	1753271194.000;	           0
20250723;	171636;	1753271196.000;	           0
20250723;	171638;	1753271198.000;	           0
20250723;	171640;	1753271200.000;	           0
20250723;	171642;	1753271202.000;	           0
20250723;	171644;	1753271204.000;	           0
20250723;	171646;	1753271206.000;	           0
20250723;	171648;	1753271208.000;	           0
20250723;	171650;	1753271210.000;	           0
20250723;	171652;	1753271212.000;	           0
20250723;	171654;	1753271214.000;	           0
20250723;	171656;	1753271216.000;	           0
20250723;	171658;	1753271218.000;	           0
20250723;	171700;	1753271220.000;	           0
20250723;	171702;	1753271222.000;	           0
20250723;	171704;	1753271224.000;	           0
20250723;	171706;	1753271226.000;	           0
20250723;	171708;	1753271228.000;	           0
20250723;	171710;	1753271230.000;	           0
20250723;	171712;	1753271232.000;	           0
20250723;	171714;	1753271234.000;	           0
20250723;	171716;	1753271236.000;	           0
20250723;	171718;	1753271238.000;	           0
20250723;	171720;	1753271240.000;	           0
20250723;	171722;	1753271242.000;	           0
20250723;	171724;	1753271244.000;	           0
20250723;	171726;	1753271246.000;	           0
20250723;	171728;	1753271248.000;	           0
20250723;	171730;	1753271250.000;	           0
20250723;	171732;	1753271252.000;	           0
20250723;	171734;	1753271254.000;	           0
20250723;	171736;	1753271256.000;	           0
20250723;	171738;	1753271258.000;	           0
20250723;	171740;	1753271260.000;	           0
20250723;	171742;	1753271262.000;	           0
20250723;	171744;	1753271264.000;	           0
20250723;	171746;	1753271266.000;	           0
20250723;	171748;	1753271268.000;	           0
20250723;	171750;	1753271270.000;	           0
20250723;	171752;	1753271272.000;	           0
20250723;	171754;	1753271274.000;	           0
20250723;	171756;	1753271276.000;	           0
20250723;	171758;	1753271278.000;	           0
20250723;	171800;	1753271280.000;	           0
20250723;	171802;	1753271282.000;	           0
20250723;	171804;	1753271284.000;	           0
20250723;	171806;	1753271286.000;	           0
20250723;	171808;	1753271288.000;	           0
20250723;	171810;	1753271290.000;	           0
20250723;	171812;	1753271292.000;	           0
20250723;	171814;	1753271294.000;	           0
20250723;	171816;	1753271296.000;	           0
20250723;	171818;	1753271298.000;	           0
20250723;	171820;	1753271300.000;	           0
20250723;	171822;	1753271302.000;	           0
20250723;	171824;	1753271304.000;	           0
20250723;	171826;	1753271306.000;	           0
20250723;	171828;	1753271308.000;	           0
20250723;	171830;	1753271310.000;	           0
20250723;	171832;	1753271312.000;	           0
20250723;	171834;	1753271314.000;	           0
20250723;	171836;	1753271316.000;	           0
20250723;	171838;	1753271318.000;	           0
20250723;	171840;	1753271320.000;	           0
20250723;	171842;	1753271322.000;	           0
20250723;	171844;	1753271324.000;	           0
20250723;	171846;	1753271326.000;	           0
20250723;	171848;	1753271328.000;	           0
20250723;	171850;	1753271330.000;	           0
20250723;	171852;	1753271332.000;	           0
20250723;	171854;	1753271334.000;	           0
20250723;	171856;	1753271336.000;	           0
20250723;	171858;	1753271338.000;	           0
20250723;	171900;	1753271340.000;	           0
20250723;	171902;	1753271342.000;	           0
20250723;	171904;	1753271344.000;	           0
20250723;	171906;	1753271346.000;	           0
20250723;	171908;	1753271348.000;	           0
20250723;	171910;	1753271350.000;	           0
20250723;	171912;	1753271352.000;	           0
20250723;	171914;	1753271354.000;	           0
20250723;	171916;	1753271356.000;	           0
20250723;	171918;	1753271358.000;	           0
20250723;	171920;	1753271360.000;	           0
20250723;	171922;	1753271362.000;	           0
20250723;	171924;	1753271364.000;	           0
20250723;	171926;	1753271366.000;	           0
20250723;	171928;	1753271368.000;	           0
20250723;	171930;	1753271370.000;	           0
20250723;	171932;	1753271372.000;	           0
20250723;	171934;	1753271374.000;	           0
20250723;	171936;	1753271376.000;	           0
20250723;	171938;	1753271378.000;	           0
20250723;	171940;	1753271380.000;	           0
20250723;	171942;	1753271382.000;	           0
20250723;	171944;	1753271384.000;	           0
20250723;	171946;	1753271386.000;	           0
20250723;	171948;	1753271388.000;	           0
20250723;	171950;	1753271390.000;	           0
20250723;	171952;	1753271392.000;	           0
20250723;	171954;	1753271394.000;	           0
20250723;	171956;	1753271396.000;	           0
20250723;	171958;	1753271398.000;	           0
20250723;	172000;	1753271400.000;	           0
20250723;	172002;	1753271402.000;	           0
20250723;	172004;	1753271404.000;	           0
20250723;	172006;	1753271406.000;	           0
20250723;	172008;	1753271408.000;	           0
20250723;	172010;	1753271410.000;	           0
20250723;	172012;	1753271412.000;	           0
20250723;	172014;	1753271414.000;	           0
20250723;	172016;	1753271416.000;	           0
20250723;	172018;	1753271418.000;	           0
20250723;	172020;	1753271420.000;	           0
20250723;	172022;	1753271422.000;	           0
20250723;	172024;	1753271424.000;	           0
20250723;	172026;	1753271426.000;	           0
20250723;	172028;	1753271428.000;	           0
20250723;	172030;	1753271430.000;	           0
20250723;	172032;	1753271432.000;	           0
20250723;	172034;	1753271434.000;	           0
20250723;	172036;	1753271436.000;	           0
20250723;	172038;	1753271438.000;	           0
20250723;	172040;	1753271440.000;	           0
20250723;	172042;	1753271442.000;	           0
20250723;	172044;	1753271444.000;	           0
20250723;	172046;	1753271446.000;	           0
20250723;	172048;	1753271448.000;	           0
20250723;	172050;	1753271450.000;	           0
20250723;	172052;	1753271452.000;	           0
20250723;	172054;	1753271454.000;	           0
20250723;	172056;	1753271456.000;	           0
20250723;	172058;	1753271458.000;	           0
20250723;	172100;	1753271460.000;	           0
20250723;	172102;	1753271462.000;	           0
20250723;	172104;	1753271464.000;	           0
20250723;	172106;	1753271466.000;	           0
20250723;	172108;	1753271468.000;	           0
20250723;	172110;	1753271470.000;	           0
20250723;	172112;	1753271472.000;	           0
20250723;	172114;	1753271474.000;	           0
20250723;	172116;	1753271476.000;	           0
20250723;	172118;	1753271478.000;	           0
20250723;	172120;	1753271480.000;	           0
20250723;	172122;	1753271482.000;	           0
20250723;	172124;	1753271484.000;	           0
20250723;	172126;	1753271486.000;	           0
20250723;	172128;	1753271488.000;	           0
20250723;	172130;	1753271490.000;	           0
20250723;	172132;	1753271492.000;	           0
20250723;	172134;	1753271494.000;	           0
20250723;	172136;	1753271496.000;	           0
20250723;	172138;	1753271498.000;	           0
20250723;	172140;	1753271500.000;	           0
20250723;	172142;	1753271502.000;	           0
20250723;	172144;	1753271504.000;	           0
20250723;	172146;	1753271506.000;	           0
20250723;	172148;	1753271508.000;	           0
20250723;	172150;	1753271510.000;	           0
20250723;	172152;	1753271512.000;	           0
20250723;	172154;	1753271514.000;	           0
20250723;	172156;	1753271516.000;	           0
20250723;	172158;	1753271518.000;	           0
20250723;	172200;	1753271520.000;	           0
20250723;	172202;	1753271522.000;	           0
20250723;	172204;	1753271524.000;	           0
20250723;	172206;	1753271526.000;	           0
20250723;	172208;	1753271528.000;	           0
20250723;	172210;	1753271530.000;	           0
20250723;	172212;	1753271532.000;	           0
20250723;	172214;	1753271534.000;	           0
20250723;	172216;	1753271536.000;	           0
20250723;	172218;	1753271538.000;	           0
20250723;	172220;	1753271540.000;	           0
20250723;	172222;	1753271542.000;	           0
20250723;	172224;	1753271544.000;	           0
20250723;	172226;	1753271546.000;	           0
20250723;	172228;	1753271548.000;	           0
20250723;	172230;	1753271550.000;	           0
20250723;	172232;	1753271552.000;	           0
20250723;	172234;	1753271554.000;	           0
20250723;	172236;	1753271556.000;	           0
20250723;	172238;	1753271558.000;	           0
20250723;	172240;	1753271560.000;	           0
20250723;	172242;	1753271562.000;	           0
20250723;	172244;	1753271564.000;	           0
20250723;	172246;	1753271566.000;	           0
20250723;	172248;	1753271568.000;	           0
20250723;	172250;	1753271570.000;	           0
20250723;	172252;	1753271572.000;	           0
20250723;	172254;	1753271574.000;	           0
20250723;	172256;	1753271576.000;	           0
20250723;	172258;	1753271578.000;	           0
20250723;	172300;	1753271580.000;	           0
20250723;	172302;	1753271582.000;	           0
20250723;	172304;	1753271584.000;	           0
20250723;	172306;	1753271586.000;	           0
20250723;	172308;	1753271588.000;	           0
20250723;	172310;	1753271590.000;	           0
20250723;	172312;	1753271592.000;	           0
20250723;	172314;	1753271594.000;	           0
20250723;	172316;	1753271596.000;	           0
20250723;	172318;	1753271598.000;	           0
20250723;	172320;	1753271600.000;	           0
20250723;	172322;	1753271602.000;	           0
20250723;	172324;	1753271604.000;	           0
20250723;	172326;	1753271606.000;	           0
20250723;	172328;	1753271608.000;	           0
20250723;	172330;	1753271610.000;	           0
20250723;	172332;	1753271612.000;	           0
20250723;	172334;	1753271614.000;	           0
20250723;	172336;	1753271616.000;	           0
20250723;	172338;	1753271618.000;	           0
20250723;	172340;	1753271620.000;	           0
20250723;	172342;	1753271622.000;	           0
20250723;	172344;	1753271624.000;	           0
20250723;	172346;	1753271626.000;	           0
20250723;	172348;	1753271628.000;	           0
20250723;	172350;	1753271630.000;	           0
20250723;	172352;	1753271632.000;	           0
20250723;	172354;	1753271634.000;	           0
20250723;	172356;	1753271636.000;	           0
20250723;	172358;	1753271638.000;	           0
20250723;	172400;	1753271640.000;	           0
20250723;	172402;	1753271642.000;	           0
20250723;	172404;	1753271644.000;	           0
20250723;	172406;	1753271646.000;	           0
20250723;	172408;	1753271648.000;	           0
20250723;	172410;	1753271650.000;	           0
20250723;	172412;	1753271652.000;	           0
20250723;	172414;	1753271654.000;	           0
20250723;	172416;	1753271656.000;	           0
20250723;	172418;	1753271658.000;	           0
20250723;	172420;	1753271660.000;	           0
20250723;	172422;	1753271662.000;	           0
20250723;	172424;	1753271664.000;	           0
20250723;	172426;	1753271666.000;	           0
20250723;	172428;	1753271668.000;	           0
20250723;	172430;	1753271670.000;	           0
20250723;	172432;	1753271672.000;	           0
20250723;	172434;	1753271674.000;	           0
20250723;	172436;	1753271676.000;	           0
20250723;	172438;	1753271678.000;	           0
20250723;	172440;	1753271680.000;	           0
20250723;	172442;	1753271682.000;	           0
20250723;	172444;	1753271684.000;	           0
20250723;	172446;	1753271686.000;	           0
20250723;	172448;	1753271688.000;	           0
20250723;	172450;	1753271690.000;	           0
20250723;	172452;	1753271692.000;	           0
20250723;	172454;	1753271694.000;	           0
20250723;	172456;	1753271696.000;	           0
20250723;	172458;	1753271698.000;	           0
20250723;	172500;	1753271700.000;	           0
20250723;	172502;	1753271702.000;	           0
20250723;	172504;	1753271704.000;	           0
20250723;	172506;	1753271706.000;	           0
20250723;	172508;	1753271708.000;	           0
20250723;	172510;	1753271710.000;	           0
20250723;	172512;	1753271712.000;	           0
20250723;	172514;	1753271714.000;	           0
20250723;	172516;	1753271716.000;	           0
20250723;	172518;	1753271718.000;	           0
20250723;	172520;	1753271720.000;	           0
20250723;	172522;	1753271722.000;	           0
20250723;	172524;	1753271724.000;	           0
20250723;	172526;	1753271726.000;	           0
20250723;	172528;	1753271728.000;	           0
20250723;	172530;	1753271730.000;	           0
20250723;	172532;	1753271732.000;	           0
20250723;	172534;	1753271734.000;	           0
20250723;	172536;	1753271736.000;	           0
20250723;	172538;	1753271738.000;	           0
20250723;	172540;	1753271740.000;	           0
20250723;	172542;	1753271742.000;	           0
20250723;	172544;	1753271744.000;	           0
20250723;	172546;	1753271746.000;	           0
20250723;	172548;	1753271748.000;	           0
20250723;	172550;	1753271750.000;	           0
20250723;	172552;	1753271752.000;	           0
20250723;	172554;	1753271754.000;	           0
20250723;	172556;	1753271756.000;	           0
20250723;	172558;	1753271758.000;	           0
20250723;	172600;	1753271760.000;	           0
20250723;	172602;	1753271762.000;	           0
20250723;	172604;	1753271764.000;	           0
20250723;	172606;	1753271766.000;	           0
20250723;	172608;	1753271768.000;	           0
20250723;	172610;	1753271770.000;	           0
20250723;	172612;	1753271772.000;	       err32
20250723;	172614;	1753271774.000;	       err32
20250723;	172616;	1753271776.000;	       err32
20250723;	172618;	1753271778.000;	       err32
20250723;	172620;	1753271780.000;	       err32
20250723;	172622;	1753271782.000;	       err32
20250723;	172624;	1753271784.000;	       err32
20250723;	172626;	1753271786.000;	       err32
20250723;	172628;	1753271788.000;	           0
20250723;	172630;	1753271790.000;	           0
20250723;	172632;	1753271792.000;	           0
20250723;	172634;	1753271794.000;	           0
20250723;	172636;	1753271796.000;	           0
20250723;	172638;	1753271798.000;	           0
20250723;	172640;	1753271800.000;	           0
20250723;	172642;	1753271802.000;	           0
20250723;	172644;	1753271804.000;	           0
20250723;	172646;	1753271806.000;	           0
20250723;	172648;	1753271808.000;	           0
20250723;	172650;	1753271810.000;	           0
20250723;	172652;	1753271812.000;	           0
20250723;	172654;	1753271814.000;	           0
20250723;	172656;	1753271816.000;	           0
20250723;	172658;	1753271818.000;	           0
20250723;	172700;	1753271820.000;	           0
20250723;	172702;	1753271822.000;	           0
20250723;	172704;	1753271824.000;	           0
