#ies_format_version: 1.0
#file: 20250723_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250723;	170454;	1753270494.000;	           0
20250723;	170456;	1753270496.000;	           0
20250723;	170458;	1753270498.000;	           0
20250723;	170500;	1753270500.000;	           0
20250723;	170502;	1753270502.000;	           0
20250723;	170504;	1753270504.000;	           0
20250723;	170506;	1753270506.000;	           0
20250723;	170508;	1753270508.000;	           0
20250723;	170510;	1753270510.000;	           0
20250723;	170512;	1753270512.000;	           0
20250723;	170514;	1753270514.000;	           0
20250723;	170516;	1753270516.000;	           0
20250723;	170518;	1753270518.000;	           0
20250723;	170520;	1753270520.000;	           0
20250723;	170522;	1753270522.000;	           0
20250723;	170524;	1753270524.000;	           0
20250723;	170526;	1753270526.000;	           0
20250723;	170528;	1753270528.000;	           0
20250723;	170530;	1753270530.000;	           0
20250723;	170532;	1753270532.000;	           0
20250723;	170534;	1753270534.000;	           0
20250723;	170536;	1753270536.000;	           0
20250723;	170538;	1753270538.000;	           0
20250723;	170540;	1753270540.000;	           0
20250723;	170542;	1753270542.000;	           0
20250723;	170544;	1753270544.000;	           0
20250723;	170546;	1753270546.000;	           0
20250723;	170548;	1753270548.000;	           0
20250723;	170550;	1753270550.000;	           0
20250723;	170552;	1753270552.000;	           0
20250723;	170554;	1753270554.000;	           0
20250723;	170556;	1753270556.000;	           0
20250723;	170558;	1753270558.000;	           0
20250723;	170600;	1753270560.000;	           0
20250723;	170602;	1753270562.000;	           0
20250723;	170604;	1753270564.000;	           0
20250723;	170606;	1753270566.000;	           0
20250723;	170608;	1753270568.000;	           0
20250723;	170610;	1753270570.000;	           0
20250723;	170612;	1753270572.000;	           0
20250723;	170614;	1753270574.000;	           0
20250723;	170616;	1753270576.000;	           0
20250723;	170618;	1753270578.000;	           0
20250723;	170620;	1753270580.000;	           0
20250723;	170622;	1753270582.000;	           0
20250723;	170624;	1753270584.000;	           0
20250723;	170626;	1753270586.000;	           0
20250723;	170628;	1753270588.000;	           0
20250723;	170630;	1753270590.000;	           0
20250723;	170632;	1753270592.000;	           0
20250723;	170634;	1753270594.000;	           0
20250723;	170636;	1753270596.000;	           0
20250723;	170638;	1753270598.000;	           0
20250723;	170640;	1753270600.000;	           0
20250723;	170642;	1753270602.000;	           0
20250723;	170644;	1753270604.000;	           0
20250723;	170646;	1753270606.000;	           0
20250723;	170648;	1753270608.000;	           0
20250723;	170650;	1753270610.000;	           0
20250723;	170652;	1753270612.000;	           0
20250723;	170654;	1753270614.000;	           0
20250723;	170656;	1753270616.000;	           0
20250723;	170658;	1753270618.000;	           0
20250723;	170700;	1753270620.000;	           0
20250723;	170702;	1753270622.000;	           0
20250723;	170704;	1753270624.000;	           0
20250723;	170706;	1753270626.000;	           0
