#ies_format_version: 1.0
#file: 20250728_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250728;	102432;	1753678472.000;	         102
20250728;	102434;	1753678474.000;	         102
20250728;	102436;	1753678476.000;	         102
20250728;	102438;	1753678478.000;	         102
20250728;	102440;	1753678480.000;	         102
20250728;	102442;	1753678482.000;	         102
20250728;	102444;	1753678484.000;	         102
20250728;	102446;	1753678486.000;	         102
20250728;	102448;	1753678488.000;	         102
20250728;	102450;	1753678490.000;	         102
20250728;	102452;	1753678492.000;	         102
20250728;	102454;	1753678494.000;	         102
20250728;	102456;	1753678496.000;	         102
20250728;	102458;	1753678498.000;	         102
20250728;	102500;	1753678500.000;	         102
20250728;	102502;	1753678502.000;	         102
20250728;	102504;	1753678504.000;	         102
20250728;	102506;	1753678506.000;	         102
20250728;	102508;	1753678508.000;	         102
20250728;	102510;	1753678510.000;	         102
20250728;	102512;	1753678512.000;	         102
20250728;	102514;	1753678514.000;	         102
20250728;	102516;	1753678516.000;	         102
20250728;	102518;	1753678518.000;	         102
20250728;	102520;	1753678520.000;	         102
20250728;	102522;	1753678522.000;	         102
20250728;	102524;	1753678524.000;	         102
20250728;	102526;	1753678526.000;	         102
20250728;	102528;	1753678528.000;	         102
20250728;	102530;	1753678530.000;	         102
20250728;	102532;	1753678532.000;	         102
20250728;	102534;	1753678534.000;	         102
20250728;	102536;	1753678536.000;	         102
20250728;	102538;	1753678538.000;	         102
20250728;	102540;	1753678540.000;	         102
20250728;	102542;	1753678542.000;	         102
20250728;	102544;	1753678544.000;	         102
20250728;	102546;	1753678546.000;	         102
20250728;	102548;	1753678548.000;	         102
20250728;	102550;	1753678550.000;	         102
20250728;	102552;	1753678552.000;	         102
20250728;	102554;	1753678554.000;	         102
20250728;	102556;	1753678556.000;	         102
20250728;	102558;	1753678558.000;	         102
20250728;	102600;	1753678560.000;	         102
20250728;	102602;	1753678562.000;	         102
20250728;	102604;	1753678564.000;	         102
20250728;	102606;	1753678566.000;	         102
20250728;	102608;	1753678568.000;	         102
20250728;	102610;	1753678570.000;	         102
20250728;	102612;	1753678572.000;	         102
20250728;	102614;	1753678574.000;	         102
20250728;	102616;	1753678576.000;	         102
20250728;	102618;	1753678578.000;	         102
20250728;	102620;	1753678580.000;	         102
20250728;	102622;	1753678582.000;	         102
20250728;	102624;	1753678584.000;	         102
20250728;	102626;	1753678586.000;	         102
20250728;	102628;	1753678588.000;	         102
20250728;	102630;	1753678590.000;	         102
20250728;	102632;	1753678592.000;	         102
20250728;	102634;	1753678594.000;	         102
20250728;	102636;	1753678596.000;	         102
20250728;	102638;	1753678598.000;	         102
20250728;	102640;	1753678600.000;	         102
20250728;	102642;	1753678602.000;	         102
20250728;	102644;	1753678604.000;	         102
20250728;	102646;	1753678606.000;	         102
20250728;	102648;	1753678608.000;	         102
20250728;	102650;	1753678610.000;	         102
20250728;	102652;	1753678612.000;	         102
20250728;	102654;	1753678614.000;	         102
20250728;	102656;	1753678616.000;	         102
20250728;	102658;	1753678618.000;	         102
20250728;	102700;	1753678620.000;	         102
20250728;	102702;	1753678622.000;	         102
20250728;	102704;	1753678624.000;	         102
20250728;	102706;	1753678626.000;	         102
20250728;	102708;	1753678628.000;	         102
20250728;	102710;	1753678630.000;	         102
20250728;	102712;	1753678632.000;	         102
20250728;	102714;	1753678634.000;	         102
20250728;	102716;	1753678636.000;	         102
20250728;	102718;	1753678638.000;	         102
20250728;	102720;	1753678640.000;	         102
20250728;	102722;	1753678642.000;	         102
20250728;	102724;	1753678644.000;	         102
20250728;	102726;	1753678646.000;	         102
20250728;	102728;	1753678648.000;	         102
20250728;	102730;	1753678650.000;	         102
20250728;	102732;	1753678652.000;	         102
20250728;	102734;	1753678654.000;	         102
20250728;	102736;	1753678656.000;	         102
20250728;	102738;	1753678658.000;	         102
20250728;	102740;	1753678660.000;	         102
20250728;	102742;	1753678662.000;	         102
20250728;	102744;	1753678664.000;	         102
20250728;	102746;	1753678666.000;	         102
20250728;	102748;	1753678668.000;	         102
20250728;	102750;	1753678670.000;	         102
20250728;	102752;	1753678672.000;	         102
20250728;	102754;	1753678674.000;	         102
20250728;	102756;	1753678676.000;	         102
20250728;	102758;	1753678678.000;	         102
20250728;	102800;	1753678680.000;	         102
20250728;	102802;	1753678682.000;	         102
20250728;	102804;	1753678684.000;	         102
20250728;	102806;	1753678686.000;	         102
20250728;	102808;	1753678688.000;	         102
20250728;	102810;	1753678690.000;	         102
20250728;	102812;	1753678692.000;	         102
20250728;	102814;	1753678694.000;	         102
20250728;	102816;	1753678696.000;	         102
20250728;	102818;	1753678698.000;	         102
20250728;	102820;	1753678700.000;	         102
20250728;	102822;	1753678702.000;	         102
20250728;	102824;	1753678704.000;	         102
20250728;	102826;	1753678706.000;	         102
20250728;	102828;	1753678708.000;	         102
20250728;	102830;	1753678710.000;	         102
20250728;	102832;	1753678712.000;	         102
20250728;	102834;	1753678714.000;	         102
20250728;	102836;	1753678716.000;	         102
20250728;	102838;	1753678718.000;	         102
20250728;	102840;	1753678720.000;	         102
20250728;	102842;	1753678722.000;	         102
20250728;	102844;	1753678724.000;	         102
20250728;	102846;	1753678726.000;	         102
20250728;	102848;	1753678728.000;	         102
20250728;	102850;	1753678730.000;	         102
20250728;	102852;	1753678732.000;	         102
20250728;	102854;	1753678734.000;	         102
20250728;	102856;	1753678736.000;	         102
20250728;	102858;	1753678738.000;	         102
20250728;	102900;	1753678740.000;	         102
20250728;	102902;	1753678742.000;	         102
20250728;	102904;	1753678744.000;	         102
20250728;	102906;	1753678746.000;	         102
20250728;	102908;	1753678748.000;	         102
20250728;	102910;	1753678750.000;	         102
20250728;	102912;	1753678752.000;	         102
20250728;	102914;	1753678754.000;	         102
20250728;	102916;	1753678756.000;	         102
20250728;	102918;	1753678758.000;	         102
20250728;	102920;	1753678760.000;	         102
20250728;	102922;	1753678762.000;	         102
20250728;	102924;	1753678764.000;	         102
20250728;	102926;	1753678766.000;	         102
20250728;	102928;	1753678768.000;	         102
20250728;	102930;	1753678770.000;	         102
20250728;	102932;	1753678772.000;	         102
20250728;	102934;	1753678774.000;	         102
20250728;	102936;	1753678776.000;	         102
20250728;	102938;	1753678778.000;	         102
20250728;	102940;	1753678780.000;	         102
20250728;	102942;	1753678782.000;	         102
20250728;	102944;	1753678784.000;	         102
20250728;	102946;	1753678786.000;	         102
20250728;	102948;	1753678788.000;	         102
20250728;	102950;	1753678790.000;	         102
20250728;	102952;	1753678792.000;	         102
20250728;	102954;	1753678794.000;	         102
20250728;	102956;	1753678796.000;	         102
20250728;	102958;	1753678798.000;	         102
20250728;	103000;	1753678800.000;	         102
20250728;	103002;	1753678802.000;	         102
20250728;	103004;	1753678804.000;	         102
20250728;	103006;	1753678806.000;	         102
20250728;	103008;	1753678808.000;	         102
20250728;	103010;	1753678810.000;	         102
20250728;	103012;	1753678812.000;	         102
20250728;	103014;	1753678814.000;	         102
20250728;	103016;	1753678816.000;	         102
20250728;	103018;	1753678818.000;	         102
20250728;	103020;	1753678820.000;	         102
20250728;	103022;	1753678822.000;	         102
20250728;	103024;	1753678824.000;	         102
20250728;	103026;	1753678826.000;	         102
20250728;	103028;	1753678828.000;	         102
20250728;	103030;	1753678830.000;	         102
20250728;	103032;	1753678832.000;	         102
20250728;	103034;	1753678834.000;	         102
20250728;	103036;	1753678836.000;	         102
20250728;	103038;	1753678838.000;	         102
20250728;	103040;	1753678840.000;	         102
20250728;	103042;	1753678842.000;	         102
20250728;	103044;	1753678844.000;	         102
20250728;	103046;	1753678846.000;	         102
20250728;	103048;	1753678848.000;	         102
20250728;	103050;	1753678850.000;	         102
20250728;	103052;	1753678852.000;	         102
20250728;	103054;	1753678854.000;	         102
20250728;	103056;	1753678856.000;	         102
20250728;	103058;	1753678858.000;	         102
20250728;	103100;	1753678860.000;	         102
20250728;	103102;	1753678862.000;	         102
20250728;	103104;	1753678864.000;	         102
20250728;	103106;	1753678866.000;	         102
20250728;	103108;	1753678868.000;	         102
20250728;	103110;	1753678870.000;	         102
20250728;	103112;	1753678872.000;	         102
20250728;	103114;	1753678874.000;	         102
20250728;	103116;	1753678876.000;	         102
20250728;	103118;	1753678878.000;	         102
20250728;	103120;	1753678880.000;	         102
20250728;	103122;	1753678882.000;	         102
20250728;	103124;	1753678884.000;	         102
20250728;	103126;	1753678886.000;	         102
20250728;	103128;	1753678888.000;	         102
20250728;	103130;	1753678890.000;	         102
20250728;	103132;	1753678892.000;	         102
20250728;	103134;	1753678894.000;	         102
20250728;	103136;	1753678896.000;	         102
20250728;	103138;	1753678898.000;	         102
20250728;	103140;	1753678900.000;	         102
20250728;	103142;	1753678902.000;	         102
20250728;	103144;	1753678904.000;	         102
20250728;	103146;	1753678906.000;	         102
20250728;	103148;	1753678908.000;	         102
20250728;	103150;	1753678910.000;	         102
20250728;	103152;	1753678912.000;	         102
20250728;	103154;	1753678914.000;	         102
20250728;	103156;	1753678916.000;	         102
20250728;	103158;	1753678918.000;	       err32
20250728;	103200;	1753678920.000;	       err32
20250728;	103202;	1753678922.000;	       err32
20250728;	103204;	1753678924.000;	       err32
20250728;	103206;	1753678926.000;	       err32
20250728;	103208;	1753678928.000;	       err32
20250728;	103210;	1753678930.000;	       err32
20250728;	103212;	1753678932.000;	       err32
20250728;	103214;	1753678934.000;	       err32
20250728;	103216;	1753678936.000;	       err32
20250728;	103218;	1753678938.000;	       err32
20250728;	103220;	1753678940.000;	       err32
20250728;	103222;	1753678942.000;	       err32
20250728;	103224;	1753678944.000;	       err32
20250728;	103226;	1753678946.000;	       err32
20250728;	103228;	1753678948.000;	       err32
20250728;	103230;	1753678950.000;	       err32
20250728;	103232;	1753678952.000;	       err32
20250728;	103234;	1753678954.000;	       err32
20250728;	103236;	1753678956.000;	       err32
20250728;	103238;	1753678958.000;	       err32
20250728;	103240;	1753678960.000;	       err32
20250728;	103242;	1753678962.000;	       err32
20250728;	103244;	1753678964.000;	       err32
20250728;	103246;	1753678966.000;	       err32
20250728;	103248;	1753678968.000;	       err32
20250728;	103250;	1753678970.000;	       err32
20250728;	103252;	1753678972.000;	       err32
20250728;	103254;	1753678974.000;	       err32
20250728;	103256;	1753678976.000;	       err32
20250728;	103258;	1753678978.000;	       err32
20250728;	103300;	1753678980.000;	       err32
20250728;	103302;	1753678982.000;	       err32
20250728;	103304;	1753678984.000;	       err32
20250728;	103306;	1753678986.000;	       err32
20250728;	103308;	1753678988.000;	       err32
20250728;	103310;	1753678990.000;	       err32
20250728;	103312;	1753678992.000;	        err8
20250728;	103314;	1753678994.000;	         102
20250728;	103316;	1753678996.000;	         102
20250728;	103318;	1753678998.000;	         102
20250728;	103320;	1753679000.000;	         102
20250728;	103322;	1753679002.000;	         102
20250728;	103324;	1753679004.000;	         102
20250728;	103326;	1753679006.000;	         102
20250728;	103328;	1753679008.000;	         102
20250728;	103330;	1753679010.000;	         102
20250728;	103332;	1753679012.000;	         102
20250728;	103334;	1753679014.000;	         102
20250728;	103336;	1753679016.000;	         102
20250728;	103338;	1753679018.000;	         102
20250728;	103340;	1753679020.000;	         102
20250728;	103342;	1753679022.000;	         102
20250728;	103344;	1753679024.000;	         102
20250728;	103346;	1753679026.000;	         102
20250728;	103348;	1753679028.000;	         102
20250728;	103350;	1753679030.000;	         102
20250728;	103352;	1753679032.000;	         102
20250728;	103354;	1753679034.000;	         102
20250728;	103356;	1753679036.000;	         102
20250728;	103358;	1753679038.000;	         102
20250728;	103400;	1753679040.000;	         102
20250728;	103402;	1753679042.000;	         102
20250728;	103404;	1753679044.000;	         102
20250728;	103406;	1753679046.000;	         102
20250728;	103408;	1753679048.000;	         102
20250728;	103410;	1753679050.000;	         102
20250728;	103412;	1753679052.000;	         102
20250728;	103414;	1753679054.000;	         102
20250728;	103416;	1753679056.000;	         102
20250728;	103418;	1753679058.000;	         102
20250728;	103420;	1753679060.000;	         102
20250728;	103422;	1753679062.000;	         102
20250728;	103424;	1753679064.000;	         102
20250728;	103426;	1753679066.000;	         102
20250728;	103428;	1753679068.000;	         102
20250728;	103430;	1753679070.000;	       err32
20250728;	103432;	1753679072.000;	       err32
20250728;	103434;	1753679074.000;	       err32
20250728;	103436;	1753679076.000;	       err32
20250728;	103438;	1753679078.000;	        err7
20250728;	103440;	1753679080.000;	         102
20250728;	103442;	1753679082.000;	         102
20250728;	103444;	1753679084.000;	         102
20250728;	103446;	1753679086.000;	         102
20250728;	103448;	1753679088.000;	         102
20250728;	103450;	1753679090.000;	         102
20250728;	103452;	1753679092.000;	         102
20250728;	103454;	1753679094.000;	         102
20250728;	103456;	1753679096.000;	         102
20250728;	103458;	1753679098.000;	         102
20250728;	103500;	1753679100.000;	         102
20250728;	103502;	1753679102.000;	         102
20250728;	103504;	1753679104.000;	         102
20250728;	103506;	1753679106.000;	         102
20250728;	103508;	1753679108.000;	         102
20250728;	103510;	1753679110.000;	         102
20250728;	103512;	1753679112.000;	         102
20250728;	103514;	1753679114.000;	         102
20250728;	103516;	1753679116.000;	         102
20250728;	103518;	1753679118.000;	         102
20250728;	103520;	1753679120.000;	         102
20250728;	103522;	1753679122.000;	         102
20250728;	103524;	1753679124.000;	         102
20250728;	103526;	1753679126.000;	         102
20250728;	103528;	1753679128.000;	         102
20250728;	103530;	1753679130.000;	         102
20250728;	103532;	1753679132.000;	         102
20250728;	103534;	1753679134.000;	         102
20250728;	103536;	1753679136.000;	         102
20250728;	103538;	1753679138.000;	         102
20250728;	103540;	1753679140.000;	         102
20250728;	103542;	1753679142.000;	         102
20250728;	103544;	1753679144.000;	         102
20250728;	103546;	1753679146.000;	         102
20250728;	103548;	1753679148.000;	         102
20250728;	103550;	1753679150.000;	         102
20250728;	103552;	1753679152.000;	         102
20250728;	103554;	1753679154.000;	         102
20250728;	103556;	1753679156.000;	         102
20250728;	103558;	1753679158.000;	         102
20250728;	103600;	1753679160.000;	         102
20250728;	103602;	1753679162.000;	         102
20250728;	103604;	1753679164.000;	         102
20250728;	103606;	1753679166.000;	         102
20250728;	103608;	1753679168.000;	         102
20250728;	103610;	1753679170.000;	         102
20250728;	103612;	1753679172.000;	         102
20250728;	103614;	1753679174.000;	         102
20250728;	103616;	1753679176.000;	         102
20250728;	103618;	1753679178.000;	         102
20250728;	103620;	1753679180.000;	         102
20250728;	103622;	1753679182.000;	         102
20250728;	103624;	1753679184.000;	         102
20250728;	103626;	1753679186.000;	         102
20250728;	103628;	1753679188.000;	         102
20250728;	103630;	1753679190.000;	         102
20250728;	103632;	1753679192.000;	         102
20250728;	103634;	1753679194.000;	         102
20250728;	103636;	1753679196.000;	         102
20250728;	103638;	1753679198.000;	         102
20250728;	103640;	1753679200.000;	         102
20250728;	103642;	1753679202.000;	         102
20250728;	103644;	1753679204.000;	         102
20250728;	103646;	1753679206.000;	         102
20250728;	103648;	1753679208.000;	         102
20250728;	103650;	1753679210.000;	         102
20250728;	103652;	1753679212.000;	         102
20250728;	103654;	1753679214.000;	         102
20250728;	103656;	1753679216.000;	         102
20250728;	103658;	1753679218.000;	         102
20250728;	103700;	1753679220.000;	         102
20250728;	103702;	1753679222.000;	         102
20250728;	103704;	1753679224.000;	         102
20250728;	103706;	1753679226.000;	         102
20250728;	103708;	1753679228.000;	         102
20250728;	103710;	1753679230.000;	         102
20250728;	103712;	1753679232.000;	         102
20250728;	103714;	1753679234.000;	         102
20250728;	103716;	1753679236.000;	         102
20250728;	103718;	1753679238.000;	         102
20250728;	103720;	1753679240.000;	         102
20250728;	103722;	1753679242.000;	         102
20250728;	103724;	1753679244.000;	         102
20250728;	103726;	1753679246.000;	         102
20250728;	103728;	1753679248.000;	         102
20250728;	103730;	1753679250.000;	         102
20250728;	103732;	1753679252.000;	         102
20250728;	103734;	1753679254.000;	         102
20250728;	103736;	1753679256.000;	         102
20250728;	103738;	1753679258.000;	         102
20250728;	103740;	1753679260.000;	         102
20250728;	103742;	1753679262.000;	         102
20250728;	103744;	1753679264.000;	         102
20250728;	103746;	1753679266.000;	         102
20250728;	103748;	1753679268.000;	         102
20250728;	103750;	1753679270.000;	         102
20250728;	103752;	1753679272.000;	         102
20250728;	103754;	1753679274.000;	         102
20250728;	103756;	1753679276.000;	         102
20250728;	103758;	1753679278.000;	         102
20250728;	103800;	1753679280.000;	         102
20250728;	103802;	1753679282.000;	         102
20250728;	103804;	1753679284.000;	         102
20250728;	103806;	1753679286.000;	         102
20250728;	103808;	1753679288.000;	         102
20250728;	103810;	1753679290.000;	         102
20250728;	103812;	1753679292.000;	         102
20250728;	103814;	1753679294.000;	         102
20250728;	103816;	1753679296.000;	         102
20250728;	103818;	1753679298.000;	         102
20250728;	103820;	1753679300.000;	         102
20250728;	103822;	1753679302.000;	         102
20250728;	103824;	1753679304.000;	         102
20250728;	103826;	1753679306.000;	         102
20250728;	103828;	1753679308.000;	         102
20250728;	103830;	1753679310.000;	         102
20250728;	103832;	1753679312.000;	         102
20250728;	103834;	1753679314.000;	         102
20250728;	103836;	1753679316.000;	         102
20250728;	103838;	1753679318.000;	         102
20250728;	103840;	1753679320.000;	         102
20250728;	103842;	1753679322.000;	         102
20250728;	103844;	1753679324.000;	         102
20250728;	103846;	1753679326.000;	         102
20250728;	103848;	1753679328.000;	         102
20250728;	103850;	1753679330.000;	         102
20250728;	103852;	1753679332.000;	         102
20250728;	103854;	1753679334.000;	         102
20250728;	103856;	1753679336.000;	         102
20250728;	103858;	1753679338.000;	         102
20250728;	103900;	1753679340.000;	         102
20250728;	103902;	1753679342.000;	         102
20250728;	103904;	1753679344.000;	         102
20250728;	103906;	1753679346.000;	         102
20250728;	103908;	1753679348.000;	         102
20250728;	103910;	1753679350.000;	         102
20250728;	103912;	1753679352.000;	         102
20250728;	103914;	1753679354.000;	         102
20250728;	103916;	1753679356.000;	         102
20250728;	103918;	1753679358.000;	         102
20250728;	103920;	1753679360.000;	         102
20250728;	103922;	1753679362.000;	         102
20250728;	103924;	1753679364.000;	         102
20250728;	103926;	1753679366.000;	         102
20250728;	103928;	1753679368.000;	         102
20250728;	103930;	1753679370.000;	         102
20250728;	103932;	1753679372.000;	         102
20250728;	103934;	1753679374.000;	         102
20250728;	103936;	1753679376.000;	         102
20250728;	103938;	1753679378.000;	         102
20250728;	103940;	1753679380.000;	         102
20250728;	103942;	1753679382.000;	         102
20250728;	103944;	1753679384.000;	         102
20250728;	103946;	1753679386.000;	         102
20250728;	103948;	1753679388.000;	         102
20250728;	103950;	1753679390.000;	         102
20250728;	103952;	1753679392.000;	         102
20250728;	103954;	1753679394.000;	         102
20250728;	103956;	1753679396.000;	         102
20250728;	103958;	1753679398.000;	         102
20250728;	104000;	1753679400.000;	         102
20250728;	104002;	1753679402.000;	         102
20250728;	104004;	1753679404.000;	         102
20250728;	104006;	1753679406.000;	         102
20250728;	104008;	1753679408.000;	         102
20250728;	104010;	1753679410.000;	         102
20250728;	104012;	1753679412.000;	         102
20250728;	104014;	1753679414.000;	         102
20250728;	104016;	1753679416.000;	         102
20250728;	104018;	1753679418.000;	         102
20250728;	104020;	1753679420.000;	         102
20250728;	104022;	1753679422.000;	         102
20250728;	104024;	1753679424.000;	         102
20250728;	104026;	1753679426.000;	         102
20250728;	104028;	1753679428.000;	         102
20250728;	104030;	1753679430.000;	         102
20250728;	104032;	1753679432.000;	         102
20250728;	104034;	1753679434.000;	         102
20250728;	104036;	1753679436.000;	         102
20250728;	104038;	1753679438.000;	         102
20250728;	104040;	1753679440.000;	         102
20250728;	104042;	1753679442.000;	         102
20250728;	104044;	1753679444.000;	         102
20250728;	104046;	1753679446.000;	         102
20250728;	104048;	1753679448.000;	         102
20250728;	104050;	1753679450.000;	         102
20250728;	104052;	1753679452.000;	         102
20250728;	104054;	1753679454.000;	         102
20250728;	104056;	1753679456.000;	         102
20250728;	104058;	1753679458.000;	         102
20250728;	104100;	1753679460.000;	         102
20250728;	104102;	1753679462.000;	         102
20250728;	104104;	1753679464.000;	         102
20250728;	104106;	1753679466.000;	         102
20250728;	104108;	1753679468.000;	         102
20250728;	104110;	1753679470.000;	         102
20250728;	104112;	1753679472.000;	         102
20250728;	104114;	1753679474.000;	         102
20250728;	104116;	1753679476.000;	         102
20250728;	104118;	1753679478.000;	         102
20250728;	104120;	1753679480.000;	         102
20250728;	104122;	1753679482.000;	         102
20250728;	104124;	1753679484.000;	         102
20250728;	104126;	1753679486.000;	         102
20250728;	104128;	1753679488.000;	         102
20250728;	104130;	1753679490.000;	         102
20250728;	104132;	1753679492.000;	         102
20250728;	104134;	1753679494.000;	         102
20250728;	104136;	1753679496.000;	         102
20250728;	104138;	1753679498.000;	         102
20250728;	104140;	1753679500.000;	         102
20250728;	104142;	1753679502.000;	         102
20250728;	104144;	1753679504.000;	         102
20250728;	104146;	1753679506.000;	         102
20250728;	104148;	1753679508.000;	         102
20250728;	104150;	1753679510.000;	         102
20250728;	104152;	1753679512.000;	         102
20250728;	104154;	1753679514.000;	         102
20250728;	104156;	1753679516.000;	         102
20250728;	104158;	1753679518.000;	         102
20250728;	104200;	1753679520.000;	         102
20250728;	104202;	1753679522.000;	         102
20250728;	104204;	1753679524.000;	         102
20250728;	104206;	1753679526.000;	         102
20250728;	104208;	1753679528.000;	         102
20250728;	104210;	1753679530.000;	         102
20250728;	104212;	1753679532.000;	         102
20250728;	104214;	1753679534.000;	         102
20250728;	104216;	1753679536.000;	         102
20250728;	104218;	1753679538.000;	         102
20250728;	104220;	1753679540.000;	         102
20250728;	104222;	1753679542.000;	         102
20250728;	104224;	1753679544.000;	         102
20250728;	104226;	1753679546.000;	         102
20250728;	104228;	1753679548.000;	         102
20250728;	104230;	1753679550.000;	         102
20250728;	104232;	1753679552.000;	         102
20250728;	104234;	1753679554.000;	         102
20250728;	104236;	1753679556.000;	         102
20250728;	104238;	1753679558.000;	         102
20250728;	104240;	1753679560.000;	         102
20250728;	104242;	1753679562.000;	         102
20250728;	104244;	1753679564.000;	         102
20250728;	104246;	1753679566.000;	         102
20250728;	104248;	1753679568.000;	         102
20250728;	104250;	1753679570.000;	         102
20250728;	104252;	1753679572.000;	         102
20250728;	104254;	1753679574.000;	         102
20250728;	104256;	1753679576.000;	         102
20250728;	104258;	1753679578.000;	         102
20250728;	104300;	1753679580.000;	         102
20250728;	104302;	1753679582.000;	         102
20250728;	104304;	1753679584.000;	         102
20250728;	104306;	1753679586.000;	         102
20250728;	104308;	1753679588.000;	         102
20250728;	104310;	1753679590.000;	         102
20250728;	104312;	1753679592.000;	         102
20250728;	104314;	1753679594.000;	         102
20250728;	104316;	1753679596.000;	         102
20250728;	104318;	1753679598.000;	         102
20250728;	104320;	1753679600.000;	         102
20250728;	104322;	1753679602.000;	         102
20250728;	104324;	1753679604.000;	         102
20250728;	104326;	1753679606.000;	         102
20250728;	104328;	1753679608.000;	         102
20250728;	104330;	1753679610.000;	         102
20250728;	104332;	1753679612.000;	         102
20250728;	104334;	1753679614.000;	         102
20250728;	104336;	1753679616.000;	         102
20250728;	104338;	1753679618.000;	         102
20250728;	104340;	1753679620.000;	         102
20250728;	104342;	1753679622.000;	         102
20250728;	104344;	1753679624.000;	         102
20250728;	104346;	1753679626.000;	         102
20250728;	104348;	1753679628.000;	         102
20250728;	104350;	1753679630.000;	         102
20250728;	104352;	1753679632.000;	         102
20250728;	104354;	1753679634.000;	         102
20250728;	104356;	1753679636.000;	         102
20250728;	104358;	1753679638.000;	         102
20250728;	104400;	1753679640.000;	         102
20250728;	104402;	1753679642.000;	         102
20250728;	104404;	1753679644.000;	         102
20250728;	104406;	1753679646.000;	         102
20250728;	104408;	1753679648.000;	         102
20250728;	104410;	1753679650.000;	         102
20250728;	104412;	1753679652.000;	         102
20250728;	104414;	1753679654.000;	         102
20250728;	104416;	1753679656.000;	         102
20250728;	104418;	1753679658.000;	         102
20250728;	104420;	1753679660.000;	         102
20250728;	104422;	1753679662.000;	         102
20250728;	104424;	1753679664.000;	         102
20250728;	104426;	1753679666.000;	         102
20250728;	104428;	1753679668.000;	         102
20250728;	104430;	1753679670.000;	         102
20250728;	104432;	1753679672.000;	         102
20250728;	104434;	1753679674.000;	         102
