#ies_format_version: 1.0
#file: 20250728_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250728;	102226;	1753678346.000;	         102
20250728;	102228;	1753678348.000;	         102
20250728;	102230;	1753678350.000;	         102
20250728;	102232;	1753678352.000;	         102
20250728;	102234;	1753678354.000;	         102
20250728;	102236;	1753678356.000;	         102
20250728;	102238;	1753678358.000;	         102
20250728;	102240;	1753678360.000;	         102
20250728;	102242;	1753678362.000;	         102
20250728;	102244;	1753678364.000;	         102
20250728;	102246;	1753678366.000;	         102
20250728;	102248;	1753678368.000;	         102
20250728;	102250;	1753678370.000;	         102
20250728;	102252;	1753678372.000;	         102
20250728;	102254;	1753678374.000;	         102
20250728;	102256;	1753678376.000;	         102
20250728;	102258;	1753678378.000;	         102
20250728;	102300;	1753678380.000;	         102
20250728;	102302;	1753678382.000;	         102
20250728;	102304;	1753678384.000;	         102
20250728;	102306;	1753678386.000;	         102
20250728;	102308;	1753678388.000;	         102
20250728;	102310;	1753678390.000;	         102
20250728;	102312;	1753678392.000;	         102
20250728;	102314;	1753678394.000;	         102
20250728;	102316;	1753678396.000;	         102
20250728;	102318;	1753678398.000;	         102
20250728;	102320;	1753678400.000;	         102
20250728;	102322;	1753678402.000;	         102
20250728;	102324;	1753678404.000;	         102
20250728;	102326;	1753678406.000;	         102
20250728;	102328;	1753678408.000;	         102
20250728;	102330;	1753678410.000;	         102
20250728;	102332;	1753678412.000;	         102
20250728;	102334;	1753678414.000;	         102
20250728;	102336;	1753678416.000;	         102
20250728;	102338;	1753678418.000;	         102
20250728;	102340;	1753678420.000;	         102
20250728;	102342;	1753678422.000;	         102
20250728;	102344;	1753678424.000;	         102
20250728;	102346;	1753678426.000;	         102
20250728;	102348;	1753678428.000;	         102
20250728;	102350;	1753678430.000;	         102
20250728;	102352;	1753678432.000;	         102
20250728;	102354;	1753678434.000;	         102
20250728;	102356;	1753678436.000;	         102
20250728;	102358;	1753678438.000;	         102
20250728;	102400;	1753678440.000;	         102
20250728;	102402;	1753678442.000;	         102
20250728;	102404;	1753678444.000;	         102
20250728;	102406;	1753678446.000;	         102
20250728;	102408;	1753678448.000;	         102
20250728;	102410;	1753678450.000;	         102
20250728;	102412;	1753678452.000;	         102
20250728;	102414;	1753678454.000;	         102
20250728;	102416;	1753678456.000;	         102
20250728;	102418;	1753678458.000;	         102
20250728;	102420;	1753678460.000;	         102
20250728;	102422;	1753678462.000;	         102
20250728;	102424;	1753678464.000;	         102
20250728;	102426;	1753678466.000;	         102
20250728;	102428;	1753678468.000;	         102
20250728;	102430;	1753678470.000;	         102
