#ies_format_version: 1.0
#file: 20250801_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250801;	154657;	1754043417.000;	       err32;	 err32
20250801;	154700;	1754043420.000;	       err32;	 err32
20250801;	154703;	1754043423.000;	       err32;	 err32
20250801;	154706;	1754043426.000;	       err32;	 err32
20250801;	154709;	1754043429.000;	       err32;	 err32
20250801;	154712;	1754043432.000;	       err32;	 err32
20250801;	154715;	1754043435.000;	       err32;	 err32
20250801;	154718;	1754043438.000;	       err32;	 err32
20250801;	154721;	1754043441.000;	       err32;	 err32
20250801;	154724;	1754043444.000;	       err32;	 err32
20250801;	154727;	1754043447.000;	       err32;	 err32
20250801;	154730;	1754043450.000;	       err32;	 err32
20250801;	154733;	1754043453.000;	       err32;	 err32
20250801;	154736;	1754043456.000;	       err32;	 err32
20250801;	154739;	1754043459.000;	       err32;	 err32
20250801;	154742;	1754043462.000;	       err32;	 err32
20250801;	154745;	1754043465.000;	       err32;	 err32
20250801;	154748;	1754043468.000;	       err32;	 err32
20250801;	154751;	1754043471.000;	       err32;	 err32
20250801;	154754;	1754043474.000;	       err32;	 err32
20250801;	154757;	1754043477.000;	       err32;	 err32
20250801;	154800;	1754043480.000;	       err32;	 err32
20250801;	154803;	1754043483.000;	       err32;	 err32
20250801;	154806;	1754043486.000;	       err32;	 err32
20250801;	154809;	1754043489.000;	       err32;	 err32
20250801;	154812;	1754043492.000;	       err32;	 err32
20250801;	154815;	1754043495.000;	       err32;	 err32
20250801;	154818;	1754043498.000;	       err32;	 err32
20250801;	154821;	1754043501.000;	       err32;	 err32
20250801;	154824;	1754043504.000;	       err32;	 err32
20250801;	154827;	1754043507.000;	       err32;	 err32
20250801;	154830;	1754043510.000;	       err32;	 err32
20250801;	154833;	1754043513.000;	       err32;	 err32
20250801;	154836;	1754043516.000;	       err32;	 err32
20250801;	154839;	1754043519.000;	       err32;	 err32
20250801;	154842;	1754043522.000;	       err32;	 err32
20250801;	154845;	1754043525.000;	       err32;	 err32
20250801;	154848;	1754043528.000;	       err32;	 err32
20250801;	154851;	1754043531.000;	       err32;	 err32
20250801;	154854;	1754043534.000;	       err32;	 err32
20250801;	154857;	1754043537.000;	       err32;	 err32
20250801;	154900;	1754043540.000;	       err32;	 err32
20250801;	154903;	1754043543.000;	       err32;	 err32
20250801;	154906;	1754043546.000;	       err32;	 err32
20250801;	154909;	1754043549.000;	       err32;	 err32
20250801;	154912;	1754043552.000;	       err32;	 err32
20250801;	154915;	1754043555.000;	       err32;	 err32
20250801;	154918;	1754043558.000;	       err32;	 err32
20250801;	154921;	1754043561.000;	       err32;	 err32
20250801;	154924;	1754043564.000;	       err32;	 err32
20250801;	154927;	1754043567.000;	       err32;	 err32
20250801;	154930;	1754043570.000;	       err32;	 err32
20250801;	154933;	1754043573.000;	       err32;	 err32
20250801;	154936;	1754043576.000;	       err32;	 err32
20250801;	154939;	1754043579.000;	       err32;	 err32
20250801;	154942;	1754043582.000;	       err32;	 err32
20250801;	154945;	1754043585.000;	       err32;	 err32
20250801;	154948;	1754043588.000;	       err32;	 err32
20250801;	154951;	1754043591.000;	       err32;	 err32
20250801;	154954;	1754043594.000;	       err32;	 err32
20250801;	154957;	1754043597.000;	       err32;	 err32
20250801;	155000;	1754043600.000;	       err32;	 err32
20250801;	155003;	1754043603.000;	       err32;	 err32
20250801;	155006;	1754043606.000;	       err32;	 err32
20250801;	155009;	1754043609.000;	       err32;	 err32
20250801;	155012;	1754043612.000;	       err32;	 err32
20250801;	155015;	1754043615.000;	       err32;	 err32
20250801;	155018;	1754043618.000;	       err32;	 err32
20250801;	155021;	1754043621.000;	       err32;	 err32
20250801;	155024;	1754043624.000;	       err32;	 err32
20250801;	155027;	1754043627.000;	       err32;	 err32
20250801;	155030;	1754043630.000;	       err32;	 err32
20250801;	155033;	1754043633.000;	       err32;	 err32
20250801;	155036;	1754043636.000;	       err32;	 err32
20250801;	155039;	1754043639.000;	       err32;	 err32
20250801;	155042;	1754043642.000;	       err32;	 err32
20250801;	155045;	1754043645.000;	       err32;	 err32
20250801;	155048;	1754043648.000;	       err32;	 err32
20250801;	155051;	1754043651.000;	       err32;	 err32
20250801;	155054;	1754043654.000;	       err32;	 err32
20250801;	155057;	1754043657.000;	       err32;	 err32
20250801;	155100;	1754043660.000;	       err32;	 err32
20250801;	155103;	1754043663.000;	       err32;	 err32
20250801;	155106;	1754043666.000;	       err32;	 err32
20250801;	155109;	1754043669.000;	       err32;	 err32
20250801;	155112;	1754043672.000;	       err32;	 err32
20250801;	155115;	1754043675.000;	       err32;	 err32
20250801;	155118;	1754043678.000;	       err32;	 err32
20250801;	155121;	1754043681.000;	       err32;	 err32
20250801;	155124;	1754043684.000;	       err32;	 err32
20250801;	155127;	1754043687.000;	       err32;	 err32
20250801;	155130;	1754043690.000;	       err32;	 err32
20250801;	155133;	1754043693.000;	       err32;	 err32
20250801;	155136;	1754043696.000;	       err32;	 err32
20250801;	155139;	1754043699.000;	       err32;	 err32
20250801;	155142;	1754043702.000;	       err32;	 err32
20250801;	155145;	1754043705.000;	       err32;	 err32
20250801;	155148;	1754043708.000;	       err32;	 err32
20250801;	155151;	1754043711.000;	       err32;	 err32
20250801;	155154;	1754043714.000;	       err32;	 err32
20250801;	155157;	1754043717.000;	       err32;	 err32
20250801;	155200;	1754043720.000;	       err32;	 err32
20250801;	155203;	1754043723.000;	       err32;	 err32
20250801;	155206;	1754043726.000;	       err32;	 err32
20250801;	155209;	1754043729.000;	       err32;	 err32
20250801;	155212;	1754043732.000;	       err32;	 err32
20250801;	155215;	1754043735.000;	       err32;	 err32
20250801;	155218;	1754043738.000;	       err32;	 err32
20250801;	155221;	1754043741.000;	       err32;	 err32
20250801;	155224;	1754043744.000;	       err32;	 err32
20250801;	155227;	1754043747.000;	       err32;	 err32
20250801;	155230;	1754043750.000;	       err32;	 err32
