#ies_format_version: 1.0
#file: 20250722_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250722;	114626;	1753164986.000;	        err7
20250722;	114628;	1753164988.000;	           0
20250722;	114630;	1753164990.000;	           0
20250722;	114632;	1753164992.000;	           0
20250722;	114634;	1753164994.000;	           0
20250722;	114636;	1753164996.000;	           0
20250722;	114638;	1753164998.000;	           0
20250722;	114640;	1753165000.000;	           0
20250722;	114642;	1753165002.000;	           0
20250722;	114644;	1753165004.000;	           0
20250722;	114646;	1753165006.000;	           0
20250722;	114648;	1753165008.000;	           0
20250722;	114650;	1753165010.000;	           0
20250722;	114652;	1753165012.000;	           0
20250722;	114654;	1753165014.000;	           0
20250722;	114656;	1753165016.000;	           0
20250722;	114658;	1753165018.000;	           0
20250722;	114700;	1753165020.000;	           0
20250722;	114702;	1753165022.000;	           0
20250722;	114704;	1753165024.000;	           0
20250722;	114706;	1753165026.000;	           0
20250722;	114708;	1753165028.000;	           0
20250722;	114710;	1753165030.000;	           0
20250722;	114712;	1753165032.000;	           0
20250722;	114714;	1753165034.000;	           0
20250722;	114716;	1753165036.000;	           0
20250722;	114718;	1753165038.000;	           0
20250722;	114720;	1753165040.000;	           0
20250722;	114722;	1753165042.000;	       err32
20250722;	114724;	1753165044.000;	       err32
20250722;	114726;	1753165046.000;	       err32
20250722;	114728;	1753165048.000;	       err32
20250722;	114730;	1753165050.000;	       err32
20250722;	114732;	1753165052.000;	       err32
20250722;	114734;	1753165054.000;	       err32
20250722;	114736;	1753165056.000;	       err32
20250722;	114738;	1753165058.000;	       err32
20250722;	114740;	1753165060.000;	       err32
20250722;	114742;	1753165062.000;	       err32
20250722;	114744;	1753165064.000;	       err32
20250722;	114746;	1753165066.000;	       err32
20250722;	114748;	1753165068.000;	       err32
20250722;	114750;	1753165070.000;	       err32
20250722;	114752;	1753165072.000;	       err32
20250722;	114754;	1753165074.000;	       err32
20250722;	114756;	1753165076.000;	        err7
20250722;	114758;	1753165078.000;	           0
20250722;	114800;	1753165080.000;	           0
20250722;	114802;	1753165082.000;	           0
20250722;	114804;	1753165084.000;	           0
20250722;	114806;	1753165086.000;	           0
20250722;	114808;	1753165088.000;	           0
20250722;	114810;	1753165090.000;	           0
20250722;	114812;	1753165092.000;	           0
20250722;	114814;	1753165094.000;	           0
20250722;	114816;	1753165096.000;	           0
20250722;	114818;	1753165098.000;	           0
20250722;	114820;	1753165100.000;	           0
20250722;	114822;	1753165102.000;	           0
20250722;	114824;	1753165104.000;	           0
20250722;	114826;	1753165106.000;	           0
20250722;	114828;	1753165108.000;	           0
20250722;	114830;	1753165110.000;	           0
20250722;	114832;	1753165112.000;	           0
20250722;	114834;	1753165114.000;	           0
20250722;	114836;	1753165116.000;	           0
20250722;	114838;	1753165118.000;	           0
20250722;	114840;	1753165120.000;	           0
20250722;	114842;	1753165122.000;	           0
20250722;	114844;	1753165124.000;	           0
20250722;	114846;	1753165126.000;	           0
20250722;	114848;	1753165128.000;	           0
20250722;	114850;	1753165130.000;	           0
20250722;	114852;	1753165132.000;	           0
20250722;	114854;	1753165134.000;	           0
20250722;	114856;	1753165136.000;	           0
20250722;	114858;	1753165138.000;	           0
20250722;	114900;	1753165140.000;	           0
20250722;	114902;	1753165142.000;	           0
20250722;	114904;	1753165144.000;	           0
20250722;	114906;	1753165146.000;	           0
20250722;	114908;	1753165148.000;	           0
20250722;	114910;	1753165150.000;	           0
20250722;	114912;	1753165152.000;	           0
20250722;	114914;	1753165154.000;	           0
20250722;	114916;	1753165156.000;	           0
20250722;	114918;	1753165158.000;	           0
20250722;	114920;	1753165160.000;	           0
20250722;	114922;	1753165162.000;	           0
20250722;	114924;	1753165164.000;	           0
20250722;	114926;	1753165166.000;	           0
20250722;	114928;	1753165168.000;	           0
20250722;	114930;	1753165170.000;	           0
20250722;	114932;	1753165172.000;	           0
20250722;	114934;	1753165174.000;	           0
20250722;	114936;	1753165176.000;	           0
20250722;	114938;	1753165178.000;	           0
20250722;	114940;	1753165180.000;	           0
20250722;	114942;	1753165182.000;	           0
20250722;	114944;	1753165184.000;	           0
20250722;	114946;	1753165186.000;	           0
20250722;	114948;	1753165188.000;	           0
20250722;	114950;	1753165190.000;	           0
20250722;	114952;	1753165192.000;	           0
20250722;	114954;	1753165194.000;	           0
20250722;	114956;	1753165196.000;	           0
20250722;	114958;	1753165198.000;	           0
