#ies_format_version: 1.0
#file: 20250718_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250718;	102357;	1752814437.000;	    err11
20250718;	102402;	1752814442.000;	    err11
20250718;	102407;	1752814447.000;	    err11
20250718;	102412;	1752814452.000;	    err11
20250718;	102417;	1752814457.000;	    err11
20250718;	102422;	1752814462.000;	    err11
20250718;	102427;	1752814467.000;	    err11
20250718;	102432;	1752814472.000;	    err11
20250718;	102437;	1752814477.000;	    err11
20250718;	102442;	1752814482.000;	    err11
20250718;	102447;	1752814487.000;	    err11
20250718;	102452;	1752814492.000;	    err11
20250718;	102457;	1752814497.000;	    err11
20250718;	102502;	1752814502.000;	    err11
20250718;	102507;	1752814507.000;	    err11
20250718;	102512;	1752814512.000;	    err11
20250718;	102517;	1752814517.000;	    err11
20250718;	102522;	1752814522.000;	    err11
20250718;	102527;	1752814527.000;	    err11
20250718;	102532;	1752814532.000;	    err11
20250718;	102537;	1752814537.000;	    err11
20250718;	102542;	1752814542.000;	    err11
20250718;	102547;	1752814547.000;	    err11
20250718;	102552;	1752814552.000;	    err11
20250718;	102557;	1752814557.000;	    err11
20250718;	102602;	1752814562.000;	    err11
20250718;	102607;	1752814567.000;	    err11
20250718;	102612;	1752814572.000;	    err11
20250718;	102617;	1752814577.000;	    err11
20250718;	102622;	1752814582.000;	    err11
20250718;	102627;	1752814587.000;	    err11
20250718;	102632;	1752814592.000;	    err11
20250718;	102637;	1752814597.000;	    err11
20250718;	102642;	1752814602.000;	    err11
20250718;	102647;	1752814607.000;	    err11
20250718;	102652;	1752814612.000;	    err11
20250718;	102657;	1752814617.000;	    err11
20250718;	102702;	1752814622.000;	    err11
20250718;	102707;	1752814627.000;	    err11
20250718;	102712;	1752814632.000;	    err11
20250718;	102717;	1752814637.000;	    err11
20250718;	102722;	1752814642.000;	    err11
20250718;	102727;	1752814647.000;	    err11
20250718;	102732;	1752814652.000;	    err11
20250718;	102737;	1752814657.000;	    err11
20250718;	102742;	1752814662.000;	    err11
20250718;	102747;	1752814667.000;	    err11
20250718;	102752;	1752814672.000;	    err11
20250718;	102757;	1752814677.000;	    err11
20250718;	102802;	1752814682.000;	    err11
20250718;	102807;	1752814687.000;	    err11
20250718;	102812;	1752814692.000;	    err11
20250718;	102817;	1752814697.000;	    err11
20250718;	102822;	1752814702.000;	    err11
20250718;	102827;	1752814707.000;	    err11
20250718;	102832;	1752814712.000;	    err11
20250718;	102837;	1752814717.000;	    err11
20250718;	102842;	1752814722.000;	    err11
20250718;	102847;	1752814727.000;	    err11
20250718;	102852;	1752814732.000;	    err11
20250718;	102857;	1752814737.000;	    err11
20250718;	102902;	1752814742.000;	    err11
20250718;	102907;	1752814747.000;	    err11
20250718;	102912;	1752814752.000;	    err11
20250718;	102917;	1752814757.000;	    err11
20250718;	102922;	1752814762.000;	    err11
20250718;	102927;	1752814767.000;	    err11
20250718;	102932;	1752814772.000;	    err11
20250718;	102937;	1752814777.000;	    err11
20250718;	102942;	1752814782.000;	    err11
20250718;	102947;	1752814787.000;	    err11
20250718;	102952;	1752814792.000;	    err11
20250718;	102957;	1752814797.000;	    err11
20250718;	103002;	1752814802.000;	    err11
20250718;	103007;	1752814807.000;	    err11
20250718;	103012;	1752814812.000;	    err11
20250718;	103017;	1752814817.000;	    err11
20250718;	103022;	1752814822.000;	    err11
20250718;	103027;	1752814827.000;	    err11
20250718;	103032;	1752814832.000;	    err11
20250718;	103037;	1752814837.000;	    err11
20250718;	103042;	1752814842.000;	    err11
20250718;	103047;	1752814847.000;	    err11
20250718;	103052;	1752814852.000;	    err32
20250718;	103057;	1752814857.000;	    err32
20250718;	103102;	1752814862.000;	    err32
20250718;	103107;	1752814867.000;	    err11
20250718;	103112;	1752814872.000;	    err11
20250718;	103117;	1752814877.000;	    err11
20250718;	103122;	1752814882.000;	    err11
20250718;	103127;	1752814887.000;	    err11
20250718;	103132;	1752814892.000;	    err11
20250718;	103137;	1752814897.000;	    err11
20250718;	103142;	1752814902.000;	    err11
20250718;	103147;	1752814907.000;	    err11
20250718;	103152;	1752814912.000;	    err11
20250718;	103157;	1752814917.000;	    err11
20250718;	103202;	1752814922.000;	    err11
20250718;	103207;	1752814927.000;	    err11
20250718;	103212;	1752814932.000;	    err11
20250718;	103217;	1752814937.000;	    err11
20250718;	103222;	1752814942.000;	    err11
20250718;	103227;	1752814947.000;	    err11
20250718;	103232;	1752814952.000;	    err11
20250718;	103237;	1752814957.000;	    err11
20250718;	103242;	1752814962.000;	    err11
20250718;	103247;	1752814967.000;	    err11
20250718;	103252;	1752814972.000;	    err11
20250718;	103257;	1752814977.000;	    err11
20250718;	103302;	1752814982.000;	    err11
20250718;	103307;	1752814987.000;	    err11
20250718;	103312;	1752814992.000;	    err11
20250718;	103317;	1752814997.000;	    err11
20250718;	103322;	1752815002.000;	    err11
20250718;	103327;	1752815007.000;	    err11
20250718;	103332;	1752815012.000;	    err11
20250718;	103337;	1752815017.000;	    err11
20250718;	103342;	1752815022.000;	    err11
20250718;	103347;	1752815027.000;	    err11
20250718;	103352;	1752815032.000;	    err11
20250718;	103357;	1752815037.000;	    err11
20250718;	103402;	1752815042.000;	    err11
20250718;	103407;	1752815047.000;	    err11
20250718;	103412;	1752815052.000;	    err11
20250718;	103417;	1752815057.000;	    err11
20250718;	103422;	1752815062.000;	    err11
20250718;	103427;	1752815067.000;	    err11
20250718;	103432;	1752815072.000;	    err11
20250718;	103437;	1752815077.000;	    err11
20250718;	103442;	1752815082.000;	    err11
20250718;	103447;	1752815087.000;	    err11
20250718;	103452;	1752815092.000;	    err11
20250718;	103457;	1752815097.000;	    err11
20250718;	103502;	1752815102.000;	    err11
20250718;	103507;	1752815107.000;	    err11
20250718;	103512;	1752815112.000;	    err11
20250718;	103517;	1752815117.000;	    err11
20250718;	103522;	1752815122.000;	    err11
20250718;	103527;	1752815127.000;	    err11
20250718;	103532;	1752815132.000;	    err11
20250718;	103537;	1752815137.000;	    err11
20250718;	103542;	1752815142.000;	    err11
20250718;	103547;	1752815147.000;	    err11
20250718;	103552;	1752815152.000;	    err11
20250718;	103557;	1752815157.000;	    err11
20250718;	103602;	1752815162.000;	    err11
20250718;	103607;	1752815167.000;	    err11
20250718;	103612;	1752815172.000;	    err11
20250718;	103617;	1752815177.000;	    err11
20250718;	103622;	1752815182.000;	    err11
20250718;	103627;	1752815187.000;	    err11
20250718;	103632;	1752815192.000;	    err11
20250718;	103637;	1752815197.000;	    err11
20250718;	103642;	1752815202.000;	    err11
20250718;	103647;	1752815207.000;	    err11
20250718;	103652;	1752815212.000;	    err11
20250718;	103657;	1752815217.000;	    err11
20250718;	103702;	1752815222.000;	    err11
20250718;	103707;	1752815227.000;	    err11
20250718;	103712;	1752815232.000;	    err11
20250718;	103717;	1752815237.000;	    err11
20250718;	103722;	1752815242.000;	    err11
20250718;	103727;	1752815247.000;	    err11
20250718;	103732;	1752815252.000;	    err11
20250718;	103737;	1752815257.000;	    err11
20250718;	103742;	1752815262.000;	    err11
20250718;	103747;	1752815267.000;	    err11
20250718;	103752;	1752815272.000;	    err11
20250718;	103757;	1752815277.000;	    err11
20250718;	103802;	1752815282.000;	    err11
20250718;	103807;	1752815287.000;	    err11
20250718;	103812;	1752815292.000;	    err11
20250718;	103817;	1752815297.000;	    err11
20250718;	103822;	1752815302.000;	    err11
20250718;	103827;	1752815307.000;	    err11
20250718;	103832;	1752815312.000;	    err11
20250718;	103837;	1752815317.000;	    err11
20250718;	103842;	1752815322.000;	    err11
20250718;	103847;	1752815327.000;	    err11
20250718;	103852;	1752815332.000;	    err11
20250718;	103857;	1752815337.000;	    err11
20250718;	103902;	1752815342.000;	    err11
20250718;	103907;	1752815347.000;	    err11
20250718;	103912;	1752815352.000;	    err11
20250718;	103917;	1752815357.000;	    err11
20250718;	103922;	1752815362.000;	    err11
20250718;	103927;	1752815367.000;	    err11
20250718;	103932;	1752815372.000;	    err11
20250718;	103937;	1752815377.000;	    err11
20250718;	103942;	1752815382.000;	    err11
20250718;	103947;	1752815387.000;	    err11
20250718;	103952;	1752815392.000;	    err11
20250718;	103957;	1752815397.000;	    err11
20250718;	104002;	1752815402.000;	    err11
20250718;	104007;	1752815407.000;	    err11
20250718;	104012;	1752815412.000;	    err11
20250718;	104017;	1752815417.000;	    err11
20250718;	104022;	1752815422.000;	    err11
20250718;	104027;	1752815427.000;	    err11
20250718;	104032;	1752815432.000;	    err11
20250718;	104037;	1752815437.000;	    err11
20250718;	104042;	1752815442.000;	    err11
20250718;	104047;	1752815447.000;	    err11
20250718;	104052;	1752815452.000;	    err11
20250718;	104057;	1752815457.000;	    err11
20250718;	104102;	1752815462.000;	    err11
20250718;	104107;	1752815467.000;	    err11
20250718;	104112;	1752815472.000;	    err11
20250718;	104117;	1752815477.000;	    err11
20250718;	104122;	1752815482.000;	    err32
20250718;	104127;	1752815487.000;	    err32
20250718;	104132;	1752815492.000;	    err32
20250718;	104137;	1752815497.000;	    err32
20250718;	104142;	1752815502.000;	    err32
20250718;	104147;	1752815507.000;	    err32
20250718;	104152;	1752815512.000;	    err32
20250718;	104157;	1752815517.000;	    err32
20250718;	104202;	1752815522.000;	    err32
20250718;	104207;	1752815527.000;	    err32
20250718;	104212;	1752815532.000;	    err32
20250718;	104217;	1752815537.000;	    err32
20250718;	104222;	1752815542.000;	    err32
20250718;	104227;	1752815547.000;	    err32
20250718;	104232;	1752815552.000;	    err32
20250718;	104237;	1752815557.000;	    err32
20250718;	104242;	1752815562.000;	    err32
20250718;	104247;	1752815567.000;	    err32
20250718;	104252;	1752815572.000;	    err32
20250718;	104257;	1752815577.000;	    err32
20250718;	104302;	1752815582.000;	    err32
20250718;	104307;	1752815587.000;	    err32
20250718;	104312;	1752815592.000;	    err32
20250718;	104317;	1752815597.000;	    err32
20250718;	104322;	1752815602.000;	    err32
20250718;	104327;	1752815607.000;	    err32
20250718;	104332;	1752815612.000;	    err32
20250718;	104337;	1752815617.000;	    err32
20250718;	104342;	1752815622.000;	    err32
20250718;	104347;	1752815627.000;	    err32
20250718;	104352;	1752815632.000;	    err32
20250718;	104357;	1752815637.000;	    err32
20250718;	104402;	1752815642.000;	    err32
20250718;	104407;	1752815647.000;	    err32
20250718;	104412;	1752815652.000;	    err32
20250718;	104417;	1752815657.000;	    err32
20250718;	104422;	1752815662.000;	    err32
20250718;	104427;	1752815667.000;	    err32
20250718;	104432;	1752815672.000;	    err32
20250718;	104437;	1752815677.000;	    err32
20250718;	104442;	1752815682.000;	    err32
20250718;	104447;	1752815687.000;	    err32
20250718;	104452;	1752815692.000;	    err32
20250718;	104457;	1752815697.000;	    err32
20250718;	104502;	1752815702.000;	    err32
20250718;	104507;	1752815707.000;	    err32
20250718;	104512;	1752815712.000;	    err32
20250718;	104517;	1752815717.000;	    err32
20250718;	104522;	1752815722.000;	    err32
20250718;	104527;	1752815727.000;	    err32
20250718;	104532;	1752815732.000;	    err32
20250718;	104537;	1752815737.000;	    err32
20250718;	104542;	1752815742.000;	    err32
20250718;	104547;	1752815747.000;	    err32
20250718;	104552;	1752815752.000;	    err32
20250718;	104557;	1752815757.000;	    err32
20250718;	104602;	1752815762.000;	    err32
20250718;	104607;	1752815767.000;	    err32
20250718;	104612;	1752815772.000;	    err32
20250718;	104617;	1752815777.000;	    err32
20250718;	104622;	1752815782.000;	    err32
20250718;	104627;	1752815787.000;	    err32
20250718;	104632;	1752815792.000;	    err32
20250718;	104637;	1752815797.000;	    err32
20250718;	104642;	1752815802.000;	    err32
20250718;	104647;	1752815807.000;	    err32
20250718;	104652;	1752815812.000;	    err32
20250718;	104657;	1752815817.000;	    err32
20250718;	104702;	1752815822.000;	    err32
20250718;	104707;	1752815827.000;	    err32
20250718;	104712;	1752815832.000;	    err32
20250718;	104717;	1752815837.000;	    err32
20250718;	104722;	1752815842.000;	    err32
20250718;	104727;	1752815847.000;	    err32
20250718;	104732;	1752815852.000;	    err32
20250718;	104737;	1752815857.000;	    err32
20250718;	104742;	1752815862.000;	    err32
20250718;	104747;	1752815867.000;	    err32
20250718;	104752;	1752815872.000;	    err32
20250718;	104757;	1752815877.000;	    err32
20250718;	104802;	1752815882.000;	    err32
20250718;	104807;	1752815887.000;	    err32
20250718;	104812;	1752815892.000;	    err32
20250718;	104817;	1752815897.000;	    err32
20250718;	104822;	1752815902.000;	    err32
20250718;	104827;	1752815907.000;	    err32
20250718;	104832;	1752815912.000;	    err32
20250718;	104837;	1752815917.000;	    err32
20250718;	104842;	1752815922.000;	    err32
20250718;	104847;	1752815927.000;	    err32
20250718;	104852;	1752815932.000;	    err32
20250718;	104857;	1752815937.000;	    err32
20250718;	104902;	1752815942.000;	    err32
20250718;	104907;	1752815947.000;	    err32
20250718;	104912;	1752815952.000;	    err32
20250718;	104917;	1752815957.000;	    err32
20250718;	104922;	1752815962.000;	    err32
20250718;	104927;	1752815967.000;	    err32
20250718;	104932;	1752815972.000;	    err32
20250718;	104937;	1752815977.000;	    err32
20250718;	104942;	1752815982.000;	    err32
20250718;	104947;	1752815987.000;	    err32
20250718;	104952;	1752815992.000;	    err32
20250718;	104957;	1752815997.000;	    err32
20250718;	105002;	1752816002.000;	    err32
20250718;	105007;	1752816007.000;	    err32
20250718;	105012;	1752816012.000;	    err32
20250718;	105017;	1752816017.000;	    err32
20250718;	105022;	1752816022.000;	    err32
20250718;	105027;	1752816027.000;	    err32
20250718;	105032;	1752816032.000;	    err32
20250718;	105037;	1752816037.000;	    err32
20250718;	105042;	1752816042.000;	    err32
20250718;	105047;	1752816047.000;	    err32
20250718;	105052;	1752816052.000;	    err32
20250718;	105057;	1752816057.000;	    err32
20250718;	105102;	1752816062.000;	    err32
20250718;	105107;	1752816067.000;	    err32
20250718;	105112;	1752816072.000;	    err32
20250718;	105117;	1752816077.000;	    err32
20250718;	105122;	1752816082.000;	    err32
20250718;	105127;	1752816087.000;	    err32
20250718;	105132;	1752816092.000;	    err32
20250718;	105137;	1752816097.000;	    err32
20250718;	105142;	1752816102.000;	    err32
20250718;	105147;	1752816107.000;	    err32
20250718;	105152;	1752816112.000;	    err32
20250718;	105157;	1752816117.000;	    err32
20250718;	105202;	1752816122.000;	    err32
20250718;	105207;	1752816127.000;	    err32
20250718;	105212;	1752816132.000;	    err32
20250718;	105217;	1752816137.000;	    err32
20250718;	105222;	1752816142.000;	    err32
20250718;	105227;	1752816147.000;	    err32
20250718;	105232;	1752816152.000;	    err32
20250718;	105237;	1752816157.000;	    err32
20250718;	105242;	1752816162.000;	    err32
20250718;	105247;	1752816167.000;	    err32
20250718;	105252;	1752816172.000;	    err32
20250718;	105257;	1752816177.000;	    err32
20250718;	105302;	1752816182.000;	    err32
20250718;	105307;	1752816187.000;	    err32
20250718;	105312;	1752816192.000;	    err32
20250718;	105317;	1752816197.000;	    err32
20250718;	105322;	1752816202.000;	    err32
20250718;	105327;	1752816207.000;	    err32
20250718;	105332;	1752816212.000;	    err32
20250718;	105337;	1752816217.000;	    err32
20250718;	105342;	1752816222.000;	    err32
20250718;	105347;	1752816227.000;	    err32
20250718;	105352;	1752816232.000;	    err32
20250718;	105357;	1752816237.000;	    err32
20250718;	105402;	1752816242.000;	    err32
20250718;	105407;	1752816247.000;	    err32
20250718;	105412;	1752816252.000;	    err32
20250718;	105417;	1752816257.000;	    err32
20250718;	105422;	1752816262.000;	    err32
20250718;	105427;	1752816267.000;	    err32
20250718;	105432;	1752816272.000;	    err32
20250718;	105437;	1752816277.000;	    err32
20250718;	105442;	1752816282.000;	    err32
20250718;	105447;	1752816287.000;	    err32
20250718;	105452;	1752816292.000;	    err32
20250718;	105457;	1752816297.000;	    err32
20250718;	105502;	1752816302.000;	    err32
20250718;	105507;	1752816307.000;	    err32
20250718;	105512;	1752816312.000;	    err32
20250718;	105517;	1752816317.000;	    err32
20250718;	105522;	1752816322.000;	    err32
20250718;	105527;	1752816327.000;	    err32
20250718;	105532;	1752816332.000;	    err32
20250718;	105537;	1752816337.000;	    err32
20250718;	105542;	1752816342.000;	    err32
20250718;	105547;	1752816347.000;	    err32
20250718;	105552;	1752816352.000;	    err32
20250718;	105557;	1752816357.000;	    err32
20250718;	105602;	1752816362.000;	    err32
20250718;	105607;	1752816367.000;	    err32
20250718;	105612;	1752816372.000;	    err32
20250718;	105617;	1752816377.000;	    err32
20250718;	105622;	1752816382.000;	    err32
20250718;	105627;	1752816387.000;	    err32
20250718;	105632;	1752816392.000;	    err32
20250718;	105637;	1752816397.000;	    err32
20250718;	105642;	1752816402.000;	    err32
20250718;	105647;	1752816407.000;	    err32
20250718;	105652;	1752816412.000;	    err32
20250718;	105657;	1752816417.000;	    err32
20250718;	105702;	1752816422.000;	    err32
20250718;	105707;	1752816427.000;	    err32
20250718;	105712;	1752816432.000;	    err32
20250718;	105717;	1752816437.000;	    err32
20250718;	105722;	1752816442.000;	    err32
20250718;	105727;	1752816447.000;	    err32
20250718;	105732;	1752816452.000;	    err32
20250718;	105737;	1752816457.000;	    err32
20250718;	105742;	1752816462.000;	    err32
20250718;	105747;	1752816467.000;	    err32
20250718;	105752;	1752816472.000;	    err32
20250718;	105757;	1752816477.000;	    err32
20250718;	105802;	1752816482.000;	    err32
20250718;	105807;	1752816487.000;	    err32
20250718;	105812;	1752816492.000;	    err32
20250718;	105817;	1752816497.000;	    err32
20250718;	105822;	1752816502.000;	    err32
20250718;	105827;	1752816507.000;	    err32
20250718;	105832;	1752816512.000;	    err32
20250718;	105837;	1752816517.000;	    err32
20250718;	105842;	1752816522.000;	    err32
20250718;	105847;	1752816527.000;	    err32
20250718;	105852;	1752816532.000;	    err32
20250718;	105857;	1752816537.000;	    err32
20250718;	105902;	1752816542.000;	    err32
20250718;	105907;	1752816547.000;	    err32
20250718;	105912;	1752816552.000;	    err32
20250718;	105917;	1752816557.000;	    err32
20250718;	105922;	1752816562.000;	    err32
20250718;	105927;	1752816567.000;	    err32
20250718;	105932;	1752816572.000;	    err32
20250718;	105937;	1752816577.000;	    err32
20250718;	105942;	1752816582.000;	    err32
20250718;	105947;	1752816587.000;	    err32
20250718;	105952;	1752816592.000;	    err32
20250718;	105957;	1752816597.000;	    err32
20250718;	110002;	1752816602.000;	    err32
20250718;	110007;	1752816607.000;	    err32
20250718;	110012;	1752816612.000;	    err32
20250718;	110017;	1752816617.000;	    err32
20250718;	110022;	1752816622.000;	    err32
20250718;	110027;	1752816627.000;	    err32
20250718;	110032;	1752816632.000;	    err32
20250718;	110037;	1752816637.000;	    err32
20250718;	110042;	1752816642.000;	    err32
20250718;	110047;	1752816647.000;	    err32
20250718;	110052;	1752816652.000;	    err32
20250718;	110057;	1752816657.000;	    err32
20250718;	110102;	1752816662.000;	    err32
20250718;	110107;	1752816667.000;	    err32
20250718;	110112;	1752816672.000;	    err32
