#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	165729;	1754047649.000;	           9
20250801;	165730;	1754047650.000;	           9
20250801;	165731;	1754047651.000;	           9
20250801;	165732;	1754047652.000;	           9
20250801;	165733;	1754047653.000;	           9
20250801;	165734;	1754047654.000;	           9
20250801;	165735;	1754047655.000;	           9
20250801;	165736;	1754047656.000;	           9
20250801;	165737;	1754047657.000;	           9
20250801;	165738;	1754047658.000;	           9
20250801;	165739;	1754047659.000;	           9
20250801;	165740;	1754047660.000;	           9
20250801;	165741;	1754047661.000;	           9
20250801;	165742;	1754047662.000;	           9
20250801;	165743;	1754047663.000;	           9
20250801;	165744;	1754047664.000;	           9
20250801;	165745;	1754047665.000;	           9
20250801;	165746;	1754047666.000;	           9
20250801;	165747;	1754047667.000;	           9
20250801;	165748;	1754047668.000;	           9
20250801;	165749;	1754047669.000;	           9
20250801;	165750;	1754047670.000;	           9
20250801;	165751;	1754047671.000;	           9
20250801;	165752;	1754047672.000;	           9
20250801;	165753;	1754047673.000;	           9
20250801;	165754;	1754047674.000;	           9
20250801;	165755;	1754047675.000;	           9
20250801;	165756;	1754047676.000;	           9
20250801;	165757;	1754047677.000;	           9
20250801;	165758;	1754047678.000;	           9
20250801;	165759;	1754047679.000;	           9
20250801;	165800;	1754047680.000;	           9
20250801;	165801;	1754047681.000;	           9
20250801;	165802;	1754047682.000;	           9
20250801;	165803;	1754047683.000;	           9
20250801;	165804;	1754047684.000;	           9
20250801;	165805;	1754047685.000;	           9
20250801;	165806;	1754047686.000;	           9
20250801;	165807;	1754047687.000;	           9
20250801;	165808;	1754047688.000;	           9
20250801;	165809;	1754047689.000;	           9
20250801;	165810;	1754047690.000;	           9
20250801;	165811;	1754047691.000;	           9
20250801;	165812;	1754047692.000;	           9
20250801;	165813;	1754047693.000;	           9
20250801;	165814;	1754047694.000;	           9
20250801;	165815;	1754047695.000;	           9
20250801;	165816;	1754047696.000;	           9
20250801;	165817;	1754047697.000;	           9
20250801;	165818;	1754047698.000;	           9
20250801;	165819;	1754047699.000;	           9
20250801;	165820;	1754047700.000;	           9
20250801;	165821;	1754047701.000;	           9
20250801;	165822;	1754047702.000;	           9
20250801;	165823;	1754047703.000;	           9
20250801;	165824;	1754047704.000;	           9
20250801;	165825;	1754047705.000;	           9
20250801;	165826;	1754047706.000;	           9
20250801;	165827;	1754047707.000;	           9
20250801;	165828;	1754047708.000;	           9
20250801;	165829;	1754047709.000;	           9
20250801;	165830;	1754047710.000;	           9
20250801;	165831;	1754047711.000;	           9
20250801;	165832;	1754047712.000;	           9
20250801;	165833;	1754047713.000;	           9
20250801;	165834;	1754047714.000;	           9
20250801;	165835;	1754047715.000;	           9
20250801;	165836;	1754047716.000;	           9
20250801;	165837;	1754047717.000;	           9
20250801;	165838;	1754047718.000;	           9
20250801;	165839;	1754047719.000;	           9
20250801;	165840;	1754047720.000;	           9
20250801;	165841;	1754047721.000;	           9
20250801;	165842;	1754047722.000;	           9
20250801;	165843;	1754047723.000;	           9
20250801;	165844;	1754047724.000;	           9
20250801;	165845;	1754047725.000;	           9
20250801;	165846;	1754047726.000;	           9
20250801;	165847;	1754047727.000;	           9
20250801;	165848;	1754047728.000;	           9
20250801;	165849;	1754047729.000;	           9
20250801;	165850;	1754047730.000;	           9
20250801;	165851;	1754047731.000;	           9
20250801;	165852;	1754047732.000;	           9
20250801;	165853;	1754047733.000;	           9
20250801;	165854;	1754047734.000;	           9
20250801;	165855;	1754047735.000;	           9
20250801;	165856;	1754047736.000;	           9
20250801;	165857;	1754047737.000;	           9
20250801;	165858;	1754047738.000;	           9
20250801;	165859;	1754047739.000;	           9
20250801;	165900;	1754047740.000;	           9
20250801;	165901;	1754047741.000;	           9
20250801;	165902;	1754047742.000;	           9
20250801;	165903;	1754047743.000;	           9
20250801;	165904;	1754047744.000;	           9
20250801;	165905;	1754047745.000;	           9
20250801;	165906;	1754047746.000;	           9
20250801;	165907;	1754047747.000;	           9
20250801;	165908;	1754047748.000;	           9
20250801;	165909;	1754047749.000;	           9
20250801;	165910;	1754047750.000;	           9
20250801;	165911;	1754047751.000;	           9
20250801;	165912;	1754047752.000;	           9
20250801;	165913;	1754047753.000;	           9
20250801;	165914;	1754047754.000;	           9
20250801;	165915;	1754047755.000;	           9
20250801;	165916;	1754047756.000;	           9
20250801;	165917;	1754047757.000;	           9
20250801;	165918;	1754047758.000;	           9
20250801;	165919;	1754047759.000;	           9
20250801;	165920;	1754047760.000;	           9
20250801;	165921;	1754047761.000;	           9
20250801;	165922;	1754047762.000;	           9
20250801;	165923;	1754047763.000;	           9
20250801;	165924;	1754047764.000;	           9
20250801;	165925;	1754047765.000;	           9
20250801;	165926;	1754047766.000;	           9
20250801;	165927;	1754047767.000;	           9
20250801;	165928;	1754047768.000;	           9
20250801;	165929;	1754047769.000;	           9
20250801;	165930;	1754047770.000;	           9
20250801;	165931;	1754047771.000;	           9
20250801;	165932;	1754047772.000;	           9
20250801;	165933;	1754047773.000;	           9
20250801;	165934;	1754047774.000;	           9
20250801;	165935;	1754047775.000;	           9
20250801;	165936;	1754047776.000;	           9
20250801;	165937;	1754047777.000;	           9
20250801;	165938;	1754047778.000;	           9
20250801;	165939;	1754047779.000;	           9
20250801;	165940;	1754047780.000;	           9
20250801;	165941;	1754047781.000;	           9
20250801;	165942;	1754047782.000;	           9
20250801;	165943;	1754047783.000;	           9
20250801;	165944;	1754047784.000;	           9
20250801;	165945;	1754047785.000;	           9
20250801;	165946;	1754047786.000;	           9
20250801;	165947;	1754047787.000;	           9
20250801;	165948;	1754047788.000;	           9
20250801;	165949;	1754047789.000;	           9
20250801;	165950;	1754047790.000;	           9
20250801;	165951;	1754047791.000;	           9
20250801;	165952;	1754047792.000;	           9
20250801;	165953;	1754047793.000;	           9
20250801;	165954;	1754047794.000;	           9
20250801;	165955;	1754047795.000;	           9
20250801;	165956;	1754047796.000;	           9
20250801;	165957;	1754047797.000;	           9
20250801;	165958;	1754047798.000;	           9
20250801;	165959;	1754047799.000;	           9
20250801;	170000;	1754047800.000;	           9
20250801;	170001;	1754047801.000;	           9
20250801;	170002;	1754047802.000;	           9
20250801;	170003;	1754047803.000;	           9
20250801;	170004;	1754047804.000;	           9
20250801;	170005;	1754047805.000;	           9
20250801;	170006;	1754047806.000;	           9
20250801;	170007;	1754047807.000;	           9
20250801;	170008;	1754047808.000;	           9
20250801;	170009;	1754047809.000;	           9
20250801;	170010;	1754047810.000;	           9
20250801;	170011;	1754047811.000;	           9
20250801;	170012;	1754047812.000;	           9
20250801;	170013;	1754047813.000;	           9
20250801;	170014;	1754047814.000;	           9
20250801;	170015;	1754047815.000;	           9
20250801;	170016;	1754047816.000;	           9
20250801;	170017;	1754047817.000;	           9
20250801;	170018;	1754047818.000;	           9
20250801;	170019;	1754047819.000;	           9
20250801;	170020;	1754047820.000;	           9
20250801;	170021;	1754047821.000;	           9
20250801;	170022;	1754047822.000;	           9
20250801;	170023;	1754047823.000;	           9
20250801;	170024;	1754047824.000;	           9
20250801;	170025;	1754047825.000;	           9
20250801;	170026;	1754047826.000;	           9
20250801;	170027;	1754047827.000;	           9
20250801;	170028;	1754047828.000;	           9
20250801;	170029;	1754047829.000;	           9
20250801;	170030;	1754047830.000;	           9
20250801;	170031;	1754047831.000;	           9
20250801;	170032;	1754047832.000;	           9
20250801;	170033;	1754047833.000;	           9
20250801;	170034;	1754047834.000;	           9
20250801;	170035;	1754047835.000;	           9
20250801;	170036;	1754047836.000;	           9
20250801;	170037;	1754047837.000;	           9
20250801;	170038;	1754047838.000;	           9
20250801;	170039;	1754047839.000;	           9
20250801;	170040;	1754047840.000;	           9
20250801;	170041;	1754047841.000;	           9
20250801;	170042;	1754047842.000;	           9
20250801;	170043;	1754047843.000;	           9
20250801;	170044;	1754047844.000;	           9
20250801;	170045;	1754047845.000;	           9
20250801;	170046;	1754047846.000;	           9
20250801;	170047;	1754047847.000;	           9
20250801;	170048;	1754047848.000;	           9
20250801;	170049;	1754047849.000;	           9
20250801;	170050;	1754047850.000;	           9
20250801;	170051;	1754047851.000;	           9
20250801;	170052;	1754047852.000;	           9
20250801;	170053;	1754047853.000;	           9
20250801;	170054;	1754047854.000;	           9
20250801;	170055;	1754047855.000;	           9
20250801;	170056;	1754047856.000;	           9
20250801;	170057;	1754047857.000;	           9
20250801;	170058;	1754047858.000;	           9
20250801;	170059;	1754047859.000;	           9
20250801;	170100;	1754047860.000;	           9
20250801;	170101;	1754047861.000;	           9
20250801;	170102;	1754047862.000;	           9
20250801;	170103;	1754047863.000;	           9
20250801;	170104;	1754047864.000;	           9
20250801;	170105;	1754047865.000;	           9
20250801;	170106;	1754047866.000;	           9
20250801;	170107;	1754047867.000;	           9
20250801;	170108;	1754047868.000;	           9
20250801;	170109;	1754047869.000;	           9
20250801;	170110;	1754047870.000;	           9
20250801;	170111;	1754047871.000;	           9
20250801;	170112;	1754047872.000;	           9
20250801;	170113;	1754047873.000;	           9
20250801;	170114;	1754047874.000;	           9
20250801;	170115;	1754047875.000;	           9
20250801;	170116;	1754047876.000;	           9
20250801;	170117;	1754047877.000;	           9
20250801;	170118;	1754047878.000;	           9
20250801;	170119;	1754047879.000;	           9
20250801;	170120;	1754047880.000;	           9
20250801;	170121;	1754047881.000;	           9
20250801;	170122;	1754047882.000;	           9
20250801;	170123;	1754047883.000;	           9
20250801;	170124;	1754047884.000;	           9
20250801;	170125;	1754047885.000;	           9
20250801;	170126;	1754047886.000;	           9
20250801;	170127;	1754047887.000;	           9
20250801;	170128;	1754047888.000;	           9
20250801;	170129;	1754047889.000;	           9
20250801;	170130;	1754047890.000;	           9
20250801;	170131;	1754047891.000;	           9
20250801;	170132;	1754047892.000;	           9
20250801;	170133;	1754047893.000;	           9
20250801;	170134;	1754047894.000;	           9
20250801;	170135;	1754047895.000;	           9
20250801;	170136;	1754047896.000;	           9
20250801;	170137;	1754047897.000;	           9
20250801;	170138;	1754047898.000;	           9
20250801;	170139;	1754047899.000;	           9
20250801;	170140;	1754047900.000;	           9
20250801;	170141;	1754047901.000;	           9
20250801;	170142;	1754047902.000;	           9
20250801;	170143;	1754047903.000;	           9
20250801;	170144;	1754047904.000;	           9
20250801;	170145;	1754047905.000;	           9
20250801;	170146;	1754047906.000;	           9
20250801;	170147;	1754047907.000;	           9
20250801;	170148;	1754047908.000;	           9
20250801;	170149;	1754047909.000;	           9
20250801;	170150;	1754047910.000;	           9
20250801;	170151;	1754047911.000;	           9
20250801;	170152;	1754047912.000;	           9
20250801;	170153;	1754047913.000;	           9
20250801;	170154;	1754047914.000;	           9
20250801;	170155;	1754047915.000;	           9
20250801;	170156;	1754047916.000;	           9
20250801;	170157;	1754047917.000;	           9
20250801;	170158;	1754047918.000;	           9
20250801;	170159;	1754047919.000;	           9
20250801;	170200;	1754047920.000;	           9
20250801;	170201;	1754047921.000;	           9
20250801;	170202;	1754047922.000;	           9
20250801;	170203;	1754047923.000;	           9
20250801;	170204;	1754047924.000;	           9
20250801;	170205;	1754047925.000;	           9
20250801;	170206;	1754047926.000;	           9
20250801;	170207;	1754047927.000;	           9
20250801;	170208;	1754047928.000;	           9
20250801;	170209;	1754047929.000;	           9
20250801;	170210;	1754047930.000;	           9
20250801;	170211;	1754047931.000;	           9
20250801;	170212;	1754047932.000;	           9
20250801;	170213;	1754047933.000;	           9
20250801;	170214;	1754047934.000;	           9
20250801;	170215;	1754047935.000;	           9
20250801;	170216;	1754047936.000;	           9
20250801;	170217;	1754047937.000;	           9
20250801;	170218;	1754047938.000;	           9
20250801;	170219;	1754047939.000;	           9
20250801;	170220;	1754047940.000;	           9
20250801;	170221;	1754047941.000;	           9
20250801;	170222;	1754047942.000;	           9
20250801;	170223;	1754047943.000;	           9
20250801;	170224;	1754047944.000;	           9
20250801;	170225;	1754047945.000;	           9
20250801;	170226;	1754047946.000;	           9
20250801;	170227;	1754047947.000;	           9
20250801;	170228;	1754047948.000;	           9
20250801;	170229;	1754047949.000;	           9
20250801;	170230;	1754047950.000;	           9
20250801;	170231;	1754047951.000;	           9
20250801;	170232;	1754047952.000;	           9
20250801;	170233;	1754047953.000;	           9
20250801;	170234;	1754047954.000;	           9
20250801;	170235;	1754047955.000;	           9
20250801;	170236;	1754047956.000;	           9
20250801;	170237;	1754047957.000;	           9
20250801;	170238;	1754047958.000;	           9
20250801;	170239;	1754047959.000;	           9
20250801;	170240;	1754047960.000;	           9
20250801;	170241;	1754047961.000;	           9
20250801;	170242;	1754047962.000;	           9
20250801;	170243;	1754047963.000;	           9
20250801;	170244;	1754047964.000;	           9
20250801;	170245;	1754047965.000;	           9
20250801;	170246;	1754047966.000;	           9
20250801;	170247;	1754047967.000;	           9
20250801;	170248;	1754047968.000;	           9
20250801;	170249;	1754047969.000;	           9
20250801;	170250;	1754047970.000;	           9
20250801;	170251;	1754047971.000;	           9
20250801;	170252;	1754047972.000;	           9
20250801;	170253;	1754047973.000;	           9
20250801;	170254;	1754047974.000;	           9
20250801;	170255;	1754047975.000;	           9
20250801;	170256;	1754047976.000;	           9
20250801;	170257;	1754047977.000;	           9
20250801;	170258;	1754047978.000;	           9
20250801;	170259;	1754047979.000;	           9
20250801;	170300;	1754047980.000;	           9
20250801;	170301;	1754047981.000;	           9
20250801;	170302;	1754047982.000;	           9
20250801;	170303;	1754047983.000;	           9
20250801;	170304;	1754047984.000;	           9
20250801;	170305;	1754047985.000;	           9
20250801;	170306;	1754047986.000;	           9
20250801;	170307;	1754047987.000;	           9
20250801;	170308;	1754047988.000;	           9
20250801;	170309;	1754047989.000;	           9
20250801;	170310;	1754047990.000;	           9
20250801;	170311;	1754047991.000;	           9
20250801;	170312;	1754047992.000;	           9
20250801;	170313;	1754047993.000;	           9
20250801;	170314;	1754047994.000;	           9
20250801;	170315;	1754047995.000;	           9
20250801;	170316;	1754047996.000;	           9
20250801;	170317;	1754047997.000;	           9
20250801;	170318;	1754047998.000;	           9
20250801;	170319;	1754047999.000;	           9
20250801;	170320;	1754048000.000;	           9
20250801;	170321;	1754048001.000;	           9
20250801;	170322;	1754048002.000;	           9
20250801;	170323;	1754048003.000;	           9
20250801;	170324;	1754048004.000;	           9
20250801;	170325;	1754048005.000;	           9
20250801;	170326;	1754048006.000;	           9
20250801;	170327;	1754048007.000;	           9
20250801;	170328;	1754048008.000;	           9
20250801;	170329;	1754048009.000;	           9
20250801;	170330;	1754048010.000;	           9
20250801;	170331;	1754048011.000;	           9
20250801;	170332;	1754048012.000;	           9
20250801;	170333;	1754048013.000;	           9
20250801;	170334;	1754048014.000;	           9
20250801;	170335;	1754048015.000;	           9
20250801;	170336;	1754048016.000;	           9
20250801;	170337;	1754048017.000;	           9
20250801;	170338;	1754048018.000;	           9
20250801;	170339;	1754048019.000;	           9
20250801;	170340;	1754048020.000;	           9
20250801;	170341;	1754048021.000;	           9
20250801;	170342;	1754048022.000;	           9
20250801;	170343;	1754048023.000;	           9
20250801;	170344;	1754048024.000;	           9
20250801;	170345;	1754048025.000;	           9
20250801;	170346;	1754048026.000;	           9
20250801;	170347;	1754048027.000;	           9
20250801;	170348;	1754048028.000;	           9
20250801;	170349;	1754048029.000;	           9
20250801;	170350;	1754048030.000;	           9
20250801;	170351;	1754048031.000;	           9
20250801;	170352;	1754048032.000;	           9
20250801;	170353;	1754048033.000;	           9
20250801;	170354;	1754048034.000;	           9
20250801;	170355;	1754048035.000;	           9
20250801;	170356;	1754048036.000;	           9
20250801;	170357;	1754048037.000;	           9
20250801;	170358;	1754048038.000;	           9
20250801;	170359;	1754048039.000;	           9
20250801;	170400;	1754048040.000;	           9
20250801;	170401;	1754048041.000;	           9
20250801;	170402;	1754048042.000;	           9
20250801;	170403;	1754048043.000;	           9
20250801;	170404;	1754048044.000;	           9
20250801;	170405;	1754048045.000;	           9
20250801;	170406;	1754048046.000;	           9
20250801;	170407;	1754048047.000;	           9
20250801;	170408;	1754048048.000;	           9
20250801;	170409;	1754048049.000;	           9
20250801;	170410;	1754048050.000;	           9
20250801;	170411;	1754048051.000;	           9
20250801;	170412;	1754048052.000;	           9
20250801;	170413;	1754048053.000;	           9
20250801;	170414;	1754048054.000;	           9
20250801;	170415;	1754048055.000;	           9
20250801;	170416;	1754048056.000;	           9
20250801;	170417;	1754048057.000;	           9
20250801;	170418;	1754048058.000;	           9
20250801;	170419;	1754048059.000;	           9
20250801;	170420;	1754048060.000;	           9
20250801;	170421;	1754048061.000;	           9
20250801;	170422;	1754048062.000;	           9
20250801;	170423;	1754048063.000;	           9
20250801;	170424;	1754048064.000;	           9
20250801;	170425;	1754048065.000;	           9
20250801;	170426;	1754048066.000;	           9
20250801;	170427;	1754048067.000;	           9
20250801;	170428;	1754048068.000;	           9
20250801;	170429;	1754048069.000;	           9
20250801;	170430;	1754048070.000;	           9
20250801;	170431;	1754048071.000;	           9
20250801;	170432;	1754048072.000;	           9
20250801;	170433;	1754048073.000;	           9
20250801;	170434;	1754048074.000;	           9
20250801;	170435;	1754048075.000;	           9
20250801;	170436;	1754048076.000;	           9
20250801;	170437;	1754048077.000;	           9
20250801;	170438;	1754048078.000;	           9
20250801;	170439;	1754048079.000;	           9
20250801;	170440;	1754048080.000;	           9
20250801;	170441;	1754048081.000;	           9
20250801;	170442;	1754048082.000;	           9
20250801;	170443;	1754048083.000;	           9
20250801;	170444;	1754048084.000;	           9
20250801;	170445;	1754048085.000;	           9
20250801;	170446;	1754048086.000;	           9
20250801;	170447;	1754048087.000;	           9
20250801;	170448;	1754048088.000;	           9
20250801;	170449;	1754048089.000;	           9
20250801;	170450;	1754048090.000;	           9
20250801;	170451;	1754048091.000;	           9
20250801;	170452;	1754048092.000;	           9
20250801;	170453;	1754048093.000;	           9
20250801;	170454;	1754048094.000;	           9
20250801;	170455;	1754048095.000;	           9
20250801;	170456;	1754048096.000;	           9
20250801;	170457;	1754048097.000;	           9
20250801;	170458;	1754048098.000;	           9
20250801;	170459;	1754048099.000;	           9
20250801;	170500;	1754048100.000;	           9
20250801;	170501;	1754048101.000;	           9
20250801;	170502;	1754048102.000;	           9
20250801;	170503;	1754048103.000;	           9
20250801;	170504;	1754048104.000;	           9
20250801;	170505;	1754048105.000;	           9
20250801;	170506;	1754048106.000;	           9
20250801;	170507;	1754048107.000;	           9
20250801;	170508;	1754048108.000;	           9
20250801;	170509;	1754048109.000;	           9
20250801;	170510;	1754048110.000;	           9
20250801;	170511;	1754048111.000;	           9
20250801;	170512;	1754048112.000;	           9
20250801;	170513;	1754048113.000;	           9
20250801;	170514;	1754048114.000;	           9
20250801;	170515;	1754048115.000;	           9
20250801;	170516;	1754048116.000;	           9
20250801;	170517;	1754048117.000;	           9
20250801;	170518;	1754048118.000;	           9
20250801;	170519;	1754048119.000;	           9
20250801;	170520;	1754048120.000;	           9
20250801;	170521;	1754048121.000;	           9
20250801;	170522;	1754048122.000;	           9
20250801;	170523;	1754048123.000;	           9
20250801;	170524;	1754048124.000;	           9
20250801;	170525;	1754048125.000;	           9
20250801;	170526;	1754048126.000;	           9
20250801;	170527;	1754048127.000;	           9
20250801;	170528;	1754048128.000;	           9
20250801;	170529;	1754048129.000;	           9
20250801;	170530;	1754048130.000;	           9
20250801;	170531;	1754048131.000;	           9
20250801;	170532;	1754048132.000;	           9
20250801;	170533;	1754048133.000;	           9
20250801;	170534;	1754048134.000;	           9
20250801;	170535;	1754048135.000;	           9
20250801;	170536;	1754048136.000;	           9
20250801;	170537;	1754048137.000;	           9
20250801;	170538;	1754048138.000;	           9
20250801;	170539;	1754048139.000;	           9
20250801;	170540;	1754048140.000;	           9
20250801;	170541;	1754048141.000;	           9
20250801;	170542;	1754048142.000;	           9
20250801;	170543;	1754048143.000;	           9
20250801;	170544;	1754048144.000;	           9
20250801;	170545;	1754048145.000;	           9
20250801;	170546;	1754048146.000;	           9
20250801;	170547;	1754048147.000;	           9
20250801;	170548;	1754048148.000;	           9
20250801;	170549;	1754048149.000;	           9
20250801;	170550;	1754048150.000;	           9
20250801;	170551;	1754048151.000;	           9
20250801;	170552;	1754048152.000;	           9
20250801;	170553;	1754048153.000;	           9
20250801;	170554;	1754048154.000;	           9
20250801;	170555;	1754048155.000;	           9
20250801;	170556;	1754048156.000;	           9
20250801;	170557;	1754048157.000;	           9
20250801;	170558;	1754048158.000;	           9
20250801;	170559;	1754048159.000;	           9
20250801;	170600;	1754048160.000;	           9
20250801;	170601;	1754048161.000;	           9
20250801;	170602;	1754048162.000;	           9
20250801;	170603;	1754048163.000;	           9
20250801;	170604;	1754048164.000;	           9
20250801;	170605;	1754048165.000;	           9
20250801;	170606;	1754048166.000;	           9
20250801;	170607;	1754048167.000;	           9
20250801;	170608;	1754048168.000;	           9
20250801;	170609;	1754048169.000;	           9
20250801;	170610;	1754048170.000;	           9
20250801;	170611;	1754048171.000;	           9
20250801;	170612;	1754048172.000;	           9
20250801;	170613;	1754048173.000;	           9
20250801;	170614;	1754048174.000;	           9
20250801;	170615;	1754048175.000;	           9
20250801;	170616;	1754048176.000;	           9
20250801;	170617;	1754048177.000;	           9
20250801;	170618;	1754048178.000;	           9
20250801;	170619;	1754048179.000;	           9
20250801;	170620;	1754048180.000;	           9
20250801;	170621;	1754048181.000;	           9
20250801;	170622;	1754048182.000;	           9
20250801;	170623;	1754048183.000;	           9
20250801;	170624;	1754048184.000;	           9
20250801;	170625;	1754048185.000;	           9
20250801;	170626;	1754048186.000;	           9
20250801;	170627;	1754048187.000;	           9
20250801;	170628;	1754048188.000;	           9
20250801;	170629;	1754048189.000;	           9
20250801;	170630;	1754048190.000;	           9
20250801;	170631;	1754048191.000;	           9
20250801;	170632;	1754048192.000;	           9
20250801;	170633;	1754048193.000;	           9
20250801;	170634;	1754048194.000;	           9
20250801;	170635;	1754048195.000;	           9
20250801;	170636;	1754048196.000;	           9
20250801;	170637;	1754048197.000;	           9
20250801;	170638;	1754048198.000;	           9
20250801;	170639;	1754048199.000;	           9
20250801;	170640;	1754048200.000;	           9
20250801;	170641;	1754048201.000;	           9
20250801;	170642;	1754048202.000;	           9
20250801;	170643;	1754048203.000;	           9
20250801;	170644;	1754048204.000;	           9
20250801;	170645;	1754048205.000;	           9
20250801;	170646;	1754048206.000;	           9
20250801;	170647;	1754048207.000;	           9
20250801;	170648;	1754048208.000;	           9
20250801;	170649;	1754048209.000;	           9
20250801;	170650;	1754048210.000;	           9
20250801;	170651;	1754048211.000;	           9
20250801;	170652;	1754048212.000;	           9
20250801;	170653;	1754048213.000;	           9
20250801;	170654;	1754048214.000;	           9
20250801;	170655;	1754048215.000;	           9
20250801;	170656;	1754048216.000;	           9
20250801;	170657;	1754048217.000;	           9
20250801;	170658;	1754048218.000;	           9
20250801;	170659;	1754048219.000;	           9
20250801;	170700;	1754048220.000;	           9
20250801;	170701;	1754048221.000;	           9
20250801;	170702;	1754048222.000;	           9
20250801;	170703;	1754048223.000;	           9
20250801;	170704;	1754048224.000;	           9
20250801;	170705;	1754048225.000;	           9
20250801;	170706;	1754048226.000;	           9
20250801;	170707;	1754048227.000;	           9
20250801;	170708;	1754048228.000;	           9
20250801;	170709;	1754048229.000;	           9
20250801;	170710;	1754048230.000;	           9
20250801;	170711;	1754048231.000;	           9
20250801;	170712;	1754048232.000;	           9
20250801;	170713;	1754048233.000;	           9
20250801;	170714;	1754048234.000;	           9
20250801;	170715;	1754048235.000;	           9
20250801;	170716;	1754048236.000;	           9
20250801;	170717;	1754048237.000;	           9
20250801;	170718;	1754048238.000;	           9
20250801;	170719;	1754048239.000;	           9
20250801;	170720;	1754048240.000;	           9
20250801;	170721;	1754048241.000;	           9
20250801;	170722;	1754048242.000;	           9
20250801;	170723;	1754048243.000;	           9
20250801;	170724;	1754048244.000;	           9
20250801;	170725;	1754048245.000;	           9
20250801;	170726;	1754048246.000;	           9
20250801;	170727;	1754048247.000;	           9
20250801;	170728;	1754048248.000;	           9
20250801;	170729;	1754048249.000;	           9
20250801;	170730;	1754048250.000;	           9
20250801;	170731;	1754048251.000;	           9
20250801;	170732;	1754048252.000;	           9
20250801;	170733;	1754048253.000;	           9
20250801;	170734;	1754048254.000;	           9
20250801;	170735;	1754048255.000;	           9
20250801;	170736;	1754048256.000;	           9
20250801;	170737;	1754048257.000;	           9
20250801;	170738;	1754048258.000;	           9
20250801;	170739;	1754048259.000;	           9
20250801;	170740;	1754048260.000;	           9
20250801;	170741;	1754048261.000;	           9
20250801;	170742;	1754048262.000;	           9
20250801;	170743;	1754048263.000;	           9
20250801;	170744;	1754048264.000;	           9
20250801;	170745;	1754048265.000;	           9
20250801;	170746;	1754048266.000;	           9
20250801;	170747;	1754048267.000;	           9
20250801;	170748;	1754048268.000;	           9
20250801;	170749;	1754048269.000;	           9
20250801;	170750;	1754048270.000;	           9
20250801;	170751;	1754048271.000;	           9
20250801;	170752;	1754048272.000;	           9
20250801;	170753;	1754048273.000;	           9
20250801;	170754;	1754048274.000;	           9
20250801;	170755;	1754048275.000;	           9
20250801;	170756;	1754048276.000;	           9
20250801;	170757;	1754048277.000;	           9
20250801;	170758;	1754048278.000;	           9
20250801;	170759;	1754048279.000;	           9
20250801;	170800;	1754048280.000;	           9
20250801;	170801;	1754048281.000;	           9
20250801;	170802;	1754048282.000;	           9
20250801;	170803;	1754048283.000;	           9
20250801;	170804;	1754048284.000;	           9
20250801;	170805;	1754048285.000;	           9
20250801;	170806;	1754048286.000;	           9
20250801;	170807;	1754048287.000;	           9
20250801;	170808;	1754048288.000;	           9
20250801;	170809;	1754048289.000;	           9
20250801;	170810;	1754048290.000;	           9
20250801;	170811;	1754048291.000;	           9
20250801;	170812;	1754048292.000;	           9
20250801;	170813;	1754048293.000;	           9
20250801;	170814;	1754048294.000;	           9
20250801;	170815;	1754048295.000;	           9
20250801;	170816;	1754048296.000;	           9
20250801;	170817;	1754048297.000;	           9
20250801;	170818;	1754048298.000;	           9
20250801;	170819;	1754048299.000;	           9
20250801;	170820;	1754048300.000;	           9
20250801;	170821;	1754048301.000;	           9
20250801;	170822;	1754048302.000;	           9
20250801;	170823;	1754048303.000;	           9
20250801;	170824;	1754048304.000;	           9
20250801;	170825;	1754048305.000;	           9
20250801;	170826;	1754048306.000;	           9
20250801;	170827;	1754048307.000;	           9
20250801;	170828;	1754048308.000;	           9
20250801;	170829;	1754048309.000;	           9
20250801;	170830;	1754048310.000;	           9
20250801;	170831;	1754048311.000;	           9
20250801;	170832;	1754048312.000;	           9
20250801;	170833;	1754048313.000;	           9
20250801;	170834;	1754048314.000;	           9
20250801;	170835;	1754048315.000;	           9
20250801;	170836;	1754048316.000;	           9
20250801;	170837;	1754048317.000;	           9
20250801;	170838;	1754048318.000;	           9
20250801;	170839;	1754048319.000;	           9
20250801;	170840;	1754048320.000;	           9
20250801;	170841;	1754048321.000;	           9
20250801;	170842;	1754048322.000;	           9
20250801;	170843;	1754048323.000;	           9
20250801;	170844;	1754048324.000;	           9
20250801;	170845;	1754048325.000;	           9
20250801;	170846;	1754048326.000;	           9
20250801;	170847;	1754048327.000;	           9
20250801;	170848;	1754048328.000;	           9
20250801;	170849;	1754048329.000;	           9
20250801;	170850;	1754048330.000;	           9
20250801;	170851;	1754048331.000;	           9
