#ies_format_version: 1.0
#file: 20250717_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250717;	112652;	1752731812.000;	    err11
20250717;	112657;	1752731817.000;	    err11
20250717;	112702;	1752731822.000;	    err32
20250717;	112707;	1752731827.000;	    err32
20250717;	112712;	1752731832.000;	    err32
20250717;	112717;	1752731837.000;	    err32
20250717;	112722;	1752731842.000;	    err32
20250717;	112727;	1752731847.000;	    err32
20250717;	112732;	1752731852.000;	    err32
20250717;	112737;	1752731857.000;	    err32
20250717;	112742;	1752731862.000;	    err32
20250717;	112747;	1752731867.000;	    err32
20250717;	112752;	1752731872.000;	    err32
20250717;	112757;	1752731877.000;	    err32
20250717;	112802;	1752731882.000;	    err32
20250717;	112807;	1752731887.000;	    err32
20250717;	112812;	1752731892.000;	    err32
20250717;	112817;	1752731897.000;	    err32
20250717;	112822;	1752731902.000;	    err32
20250717;	112827;	1752731907.000;	    err32
20250717;	112832;	1752731912.000;	    err32
20250717;	112837;	1752731917.000;	    err32
20250717;	112842;	1752731922.000;	    err32
20250717;	112847;	1752731927.000;	    err32
20250717;	112852;	1752731932.000;	    err32
20250717;	112857;	1752731937.000;	    err32
20250717;	112902;	1752731942.000;	    err32
20250717;	112907;	1752731947.000;	    err32
20250717;	112912;	1752731952.000;	    err32
20250717;	112917;	1752731957.000;	    err32
20250717;	112922;	1752731962.000;	    err32
20250717;	112927;	1752731967.000;	    err32
20250717;	112932;	1752731972.000;	    err32
20250717;	112937;	1752731977.000;	    err32
