#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124942;	1753082382.000;	       err11
20250721;	124943;	1753082383.000;	       err11
20250721;	124944;	1753082384.000;	       err11
20250721;	124945;	1753082385.000;	       err11
20250721;	124946;	1753082386.000;	       err11
20250721;	124947;	1753082387.000;	       err11
20250721;	124948;	1753082388.000;	       err11
20250721;	124949;	1753082389.000;	       err11
20250721;	124950;	1753082390.000;	       err11
20250721;	124951;	1753082391.000;	       err11
20250721;	124952;	1753082392.000;	       err11
20250721;	124953;	1753082393.000;	       err11
20250721;	124954;	1753082394.000;	       err11
20250721;	124955;	1753082395.000;	       err11
20250721;	124956;	1753082396.000;	       err11
20250721;	124957;	1753082397.000;	       err11
20250721;	124958;	1753082398.000;	       err11
20250721;	124959;	1753082399.000;	       err11
20250721;	125000;	1753082400.000;	       err11
20250721;	125001;	1753082401.000;	       err11
20250721;	125002;	1753082402.000;	       err11
20250721;	125003;	1753082403.000;	       err11
20250721;	125004;	1753082404.000;	       err11
20250721;	125005;	1753082405.000;	       err11
20250721;	125006;	1753082406.000;	       err11
20250721;	125007;	1753082407.000;	       err11
20250721;	125008;	1753082408.000;	       err11
20250721;	125009;	1753082409.000;	       err11
20250721;	125010;	1753082410.000;	       err11
20250721;	125011;	1753082411.000;	       err11
20250721;	125012;	1753082412.000;	       err11
20250721;	125013;	1753082413.000;	       err11
20250721;	125014;	1753082414.000;	       err11
20250721;	125015;	1753082415.000;	       err11
20250721;	125016;	1753082416.000;	       err11
20250721;	125017;	1753082417.000;	       err11
20250721;	125018;	1753082418.000;	       err11
20250721;	125019;	1753082419.000;	       err11
20250721;	125020;	1753082420.000;	       err11
20250721;	125021;	1753082421.000;	       err11
20250721;	125022;	1753082422.000;	       err11
20250721;	125023;	1753082423.000;	       err11
20250721;	125024;	1753082424.000;	       err11
20250721;	125025;	1753082425.000;	       err11
20250721;	125026;	1753082426.000;	       err11
20250721;	125027;	1753082427.000;	       err11
20250721;	125028;	1753082428.000;	       err11
20250721;	125029;	1753082429.000;	       err11
20250721;	125030;	1753082430.000;	       err11
20250721;	125031;	1753082431.000;	       err11
20250721;	125032;	1753082432.000;	       err11
20250721;	125033;	1753082433.000;	       err11
20250721;	125034;	1753082434.000;	       err11
20250721;	125035;	1753082435.000;	       err11
20250721;	125036;	1753082436.000;	       err11
20250721;	125037;	1753082437.000;	       err11
20250721;	125038;	1753082438.000;	       err11
20250721;	125039;	1753082439.000;	       err11
20250721;	125040;	1753082440.000;	       err11
20250721;	125041;	1753082441.000;	       err11
20250721;	125042;	1753082442.000;	       err11
20250721;	125043;	1753082443.000;	       err11
20250721;	125044;	1753082444.000;	       err11
20250721;	125045;	1753082445.000;	       err11
20250721;	125046;	1753082446.000;	       err11
20250721;	125047;	1753082447.000;	       err11
20250721;	125048;	1753082448.000;	       err11
20250721;	125049;	1753082449.000;	       err11
20250721;	125050;	1753082450.000;	       err11
20250721;	125051;	1753082451.000;	       err11
20250721;	125052;	1753082452.000;	       err11
20250721;	125053;	1753082453.000;	       err11
20250721;	125054;	1753082454.000;	       err11
20250721;	125055;	1753082455.000;	       err11
20250721;	125056;	1753082456.000;	       err11
20250721;	125057;	1753082457.000;	       err11
20250721;	125058;	1753082458.000;	       err11
20250721;	125059;	1753082459.000;	       err11
20250721;	125100;	1753082460.000;	       err11
20250721;	125101;	1753082461.000;	       err11
20250721;	125102;	1753082462.000;	       err11
20250721;	125103;	1753082463.000;	       err11
20250721;	125104;	1753082464.000;	       err11
20250721;	125105;	1753082465.000;	       err11
20250721;	125106;	1753082466.000;	       err11
20250721;	125107;	1753082467.000;	       err11
20250721;	125108;	1753082468.000;	       err11
20250721;	125109;	1753082469.000;	       err11
20250721;	125110;	1753082470.000;	       err11
20250721;	125111;	1753082471.000;	       err11
20250721;	125112;	1753082472.000;	       err11
20250721;	125113;	1753082473.000;	       err11
20250721;	125114;	1753082474.000;	       err11
20250721;	125115;	1753082475.000;	       err11
20250721;	125116;	1753082476.000;	       err11
20250721;	125117;	1753082477.000;	       err11
20250721;	125118;	1753082478.000;	       err11
20250721;	125119;	1753082479.000;	       err11
20250721;	125120;	1753082480.000;	       err11
20250721;	125121;	1753082481.000;	       err11
20250721;	125122;	1753082482.000;	       err11
20250721;	125123;	1753082483.000;	       err11
20250721;	125124;	1753082484.000;	       err11
20250721;	125125;	1753082485.000;	       err11
20250721;	125126;	1753082486.000;	       err11
20250721;	125127;	1753082487.000;	       err11
20250721;	125128;	1753082488.000;	       err11
20250721;	125129;	1753082489.000;	       err11
20250721;	125130;	1753082490.000;	       err11
20250721;	125131;	1753082491.000;	       err11
20250721;	125132;	1753082492.000;	       err11
20250721;	125133;	1753082493.000;	       err11
20250721;	125134;	1753082494.000;	       err11
20250721;	125135;	1753082495.000;	       err11
20250721;	125136;	1753082496.000;	       err11
20250721;	125137;	1753082497.000;	       err11
20250721;	125138;	1753082498.000;	       err11
20250721;	125139;	1753082499.000;	       err11
20250721;	125140;	1753082500.000;	       err11
20250721;	125141;	1753082501.000;	       err11
20250721;	125142;	1753082502.000;	       err11
20250721;	125143;	1753082503.000;	       err11
20250721;	125144;	1753082504.000;	       err11
20250721;	125145;	1753082505.000;	       err11
20250721;	125146;	1753082506.000;	       err11
20250721;	125147;	1753082507.000;	       err11
20250721;	125148;	1753082508.000;	       err11
20250721;	125149;	1753082509.000;	       err11
20250721;	125150;	1753082510.000;	       err11
20250721;	125151;	1753082511.000;	       err11
20250721;	125152;	1753082512.000;	       err11
20250721;	125153;	1753082513.000;	       err11
20250721;	125154;	1753082514.000;	       err11
20250721;	125155;	1753082515.000;	       err11
20250721;	125156;	1753082516.000;	       err11
20250721;	125157;	1753082517.000;	       err11
20250721;	125158;	1753082518.000;	       err11
20250721;	125159;	1753082519.000;	       err11
20250721;	125200;	1753082520.000;	       err11
20250721;	125201;	1753082521.000;	       err11
20250721;	125202;	1753082522.000;	       err11
20250721;	125203;	1753082523.000;	       err11
20250721;	125204;	1753082524.000;	       err11
20250721;	125205;	1753082525.000;	       err11
20250721;	125206;	1753082526.000;	       err11
20250721;	125207;	1753082527.000;	       err11
20250721;	125208;	1753082528.000;	       err11
20250721;	125209;	1753082529.000;	       err11
20250721;	125210;	1753082530.000;	       err11
20250721;	125211;	1753082531.000;	       err11
20250721;	125212;	1753082532.000;	       err11
20250721;	125213;	1753082533.000;	       err11
20250721;	125214;	1753082534.000;	       err11
20250721;	125215;	1753082535.000;	       err11
20250721;	125216;	1753082536.000;	       err11
20250721;	125217;	1753082537.000;	       err11
20250721;	125218;	1753082538.000;	       err11
20250721;	125219;	1753082539.000;	       err11
20250721;	125220;	1753082540.000;	       err11
20250721;	125221;	1753082541.000;	       err11
20250721;	125222;	1753082542.000;	       err11
20250721;	125223;	1753082543.000;	       err11
20250721;	125224;	1753082544.000;	       err11
20250721;	125225;	1753082545.000;	       err11
20250721;	125226;	1753082546.000;	       err11
20250721;	125227;	1753082547.000;	       err11
20250721;	125228;	1753082548.000;	       err11
20250721;	125229;	1753082549.000;	       err11
20250721;	125230;	1753082550.000;	       err11
20250721;	125231;	1753082551.000;	       err11
20250721;	125232;	1753082552.000;	       err11
20250721;	125233;	1753082553.000;	       err11
20250721;	125234;	1753082554.000;	       err11
20250721;	125235;	1753082555.000;	       err11
20250721;	125236;	1753082556.000;	       err11
20250721;	125237;	1753082557.000;	       err11
20250721;	125238;	1753082558.000;	       err11
20250721;	125239;	1753082559.000;	       err11
20250721;	125240;	1753082560.000;	       err11
20250721;	125241;	1753082561.000;	       err11
20250721;	125242;	1753082562.000;	       err11
20250721;	125243;	1753082563.000;	       err11
20250721;	125244;	1753082564.000;	       err11
20250721;	125245;	1753082565.000;	       err11
20250721;	125246;	1753082566.000;	       err11
20250721;	125247;	1753082567.000;	       err11
20250721;	125248;	1753082568.000;	       err11
20250721;	125249;	1753082569.000;	       err11
20250721;	125250;	1753082570.000;	       err11
20250721;	125251;	1753082571.000;	       err11
20250721;	125252;	1753082572.000;	       err11
20250721;	125253;	1753082573.000;	       err11
20250721;	125254;	1753082574.000;	       err11
20250721;	125255;	1753082575.000;	       err11
20250721;	125256;	1753082576.000;	       err11
20250721;	125257;	1753082577.000;	       err11
20250721;	125258;	1753082578.000;	       err11
20250721;	125259;	1753082579.000;	       err11
20250721;	125300;	1753082580.000;	       err11
20250721;	125301;	1753082581.000;	       err11
20250721;	125302;	1753082582.000;	       err11
20250721;	125303;	1753082583.000;	       err11
20250721;	125304;	1753082584.000;	       err11
20250721;	125305;	1753082585.000;	       err11
20250721;	125306;	1753082586.000;	       err11
20250721;	125307;	1753082587.000;	       err11
20250721;	125308;	1753082588.000;	       err11
20250721;	125309;	1753082589.000;	       err11
20250721;	125310;	1753082590.000;	       err11
20250721;	125311;	1753082591.000;	       err11
20250721;	125312;	1753082592.000;	       err11
20250721;	125313;	1753082593.000;	       err11
20250721;	125314;	1753082594.000;	       err11
20250721;	125315;	1753082595.000;	       err11
20250721;	125316;	1753082596.000;	       err11
20250721;	125317;	1753082597.000;	       err11
20250721;	125318;	1753082598.000;	       err11
20250721;	125319;	1753082599.000;	       err11
20250721;	125320;	1753082600.000;	       err11
20250721;	125321;	1753082601.000;	       err11
20250721;	125322;	1753082602.000;	       err11
20250721;	125323;	1753082603.000;	       err11
20250721;	125324;	1753082604.000;	       err11
20250721;	125325;	1753082605.000;	       err11
20250721;	125326;	1753082606.000;	       err11
20250721;	125327;	1753082607.000;	       err11
20250721;	125328;	1753082608.000;	       err11
20250721;	125329;	1753082609.000;	       err11
20250721;	125330;	1753082610.000;	       err11
20250721;	125331;	1753082611.000;	       err11
20250721;	125332;	1753082612.000;	       err11
20250721;	125333;	1753082613.000;	       err11
20250721;	125334;	1753082614.000;	       err11
20250721;	125335;	1753082615.000;	       err11
20250721;	125336;	1753082616.000;	       err11
20250721;	125337;	1753082617.000;	       err11
20250721;	125338;	1753082618.000;	       err11
20250721;	125339;	1753082619.000;	       err11
20250721;	125340;	1753082620.000;	       err11
20250721;	125341;	1753082621.000;	       err11
20250721;	125342;	1753082622.000;	       err11
20250721;	125343;	1753082623.000;	       err11
20250721;	125344;	1753082624.000;	       err11
20250721;	125345;	1753082625.000;	       err11
20250721;	125346;	1753082626.000;	       err11
20250721;	125347;	1753082627.000;	       err11
20250721;	125348;	1753082628.000;	       err11
20250721;	125349;	1753082629.000;	       err11
20250721;	125350;	1753082630.000;	       err11
20250721;	125351;	1753082631.000;	       err11
20250721;	125352;	1753082632.000;	       err11
20250721;	125353;	1753082633.000;	       err11
20250721;	125354;	1753082634.000;	       err11
20250721;	125355;	1753082635.000;	       err11
20250721;	125356;	1753082636.000;	       err11
20250721;	125357;	1753082637.000;	       err11
20250721;	125358;	1753082638.000;	       err11
20250721;	125359;	1753082639.000;	       err11
20250721;	125400;	1753082640.000;	       err11
20250721;	125401;	1753082641.000;	       err11
20250721;	125402;	1753082642.000;	       err11
20250721;	125403;	1753082643.000;	       err11
20250721;	125404;	1753082644.000;	       err11
20250721;	125405;	1753082645.000;	       err11
20250721;	125406;	1753082646.000;	       err11
20250721;	125407;	1753082647.000;	       err11
20250721;	125408;	1753082648.000;	       err11
20250721;	125409;	1753082649.000;	       err11
20250721;	125410;	1753082650.000;	       err11
20250721;	125411;	1753082651.000;	       err11
20250721;	125412;	1753082652.000;	       err11
20250721;	125413;	1753082653.000;	       err11
20250721;	125414;	1753082654.000;	       err11
20250721;	125415;	1753082655.000;	       err11
20250721;	125416;	1753082656.000;	       err11
20250721;	125417;	1753082657.000;	       err11
20250721;	125418;	1753082658.000;	       err11
20250721;	125419;	1753082659.000;	       err11
20250721;	125420;	1753082660.000;	       err11
20250721;	125421;	1753082661.000;	       err11
20250721;	125422;	1753082662.000;	       err11
20250721;	125423;	1753082663.000;	       err11
20250721;	125424;	1753082664.000;	       err11
20250721;	125425;	1753082665.000;	       err11
20250721;	125426;	1753082666.000;	       err11
20250721;	125427;	1753082667.000;	       err11
20250721;	125428;	1753082668.000;	       err11
20250721;	125429;	1753082669.000;	       err11
20250721;	125430;	1753082670.000;	       err11
20250721;	125431;	1753082671.000;	       err11
20250721;	125432;	1753082672.000;	       err11
20250721;	125433;	1753082673.000;	       err11
20250721;	125434;	1753082674.000;	       err11
20250721;	125435;	1753082675.000;	       err11
20250721;	125436;	1753082676.000;	       err11
20250721;	125437;	1753082677.000;	       err11
20250721;	125438;	1753082678.000;	       err11
20250721;	125439;	1753082679.000;	       err11
20250721;	125440;	1753082680.000;	       err11
20250721;	125441;	1753082681.000;	       err11
20250721;	125442;	1753082682.000;	       err11
20250721;	125443;	1753082683.000;	       err11
20250721;	125444;	1753082684.000;	       err11
20250721;	125445;	1753082685.000;	       err11
20250721;	125446;	1753082686.000;	       err11
20250721;	125447;	1753082687.000;	       err11
20250721;	125448;	1753082688.000;	       err11
20250721;	125449;	1753082689.000;	       err11
20250721;	125450;	1753082690.000;	       err11
20250721;	125451;	1753082691.000;	       err11
20250721;	125452;	1753082692.000;	       err11
20250721;	125453;	1753082693.000;	       err11
20250721;	125454;	1753082694.000;	       err11
20250721;	125455;	1753082695.000;	       err11
20250721;	125456;	1753082696.000;	       err11
20250721;	125457;	1753082697.000;	       err11
20250721;	125458;	1753082698.000;	       err11
20250721;	125459;	1753082699.000;	       err11
20250721;	125500;	1753082700.000;	       err11
20250721;	125501;	1753082701.000;	       err11
20250721;	125502;	1753082702.000;	       err11
20250721;	125503;	1753082703.000;	       err11
20250721;	125504;	1753082704.000;	       err11
20250721;	125505;	1753082705.000;	       err11
20250721;	125506;	1753082706.000;	       err11
20250721;	125507;	1753082707.000;	       err11
20250721;	125508;	1753082708.000;	       err11
20250721;	125509;	1753082709.000;	       err11
20250721;	125510;	1753082710.000;	       err11
20250721;	125511;	1753082711.000;	       err11
20250721;	125512;	1753082712.000;	       err11
20250721;	125513;	1753082713.000;	       err11
20250721;	125514;	1753082714.000;	       err11
20250721;	125515;	1753082715.000;	       err11
20250721;	125516;	1753082716.000;	       err11
20250721;	125517;	1753082717.000;	       err11
20250721;	125518;	1753082718.000;	       err11
20250721;	125519;	1753082719.000;	       err11
20250721;	125520;	1753082720.000;	       err11
20250721;	125521;	1753082721.000;	       err11
20250721;	125522;	1753082722.000;	       err11
20250721;	125523;	1753082723.000;	       err11
20250721;	125524;	1753082724.000;	       err11
20250721;	125525;	1753082725.000;	       err11
20250721;	125526;	1753082726.000;	       err11
20250721;	125527;	1753082727.000;	       err11
20250721;	125528;	1753082728.000;	       err11
20250721;	125529;	1753082729.000;	       err11
20250721;	125530;	1753082730.000;	       err11
20250721;	125531;	1753082731.000;	       err11
20250721;	125532;	1753082732.000;	       err11
20250721;	125533;	1753082733.000;	       err11
20250721;	125534;	1753082734.000;	       err11
20250721;	125535;	1753082735.000;	       err11
20250721;	125536;	1753082736.000;	       err11
20250721;	125537;	1753082737.000;	       err11
20250721;	125538;	1753082738.000;	       err11
20250721;	125539;	1753082739.000;	       err11
20250721;	125540;	1753082740.000;	       err11
20250721;	125541;	1753082741.000;	       err11
20250721;	125542;	1753082742.000;	       err11
20250721;	125543;	1753082743.000;	       err11
20250721;	125544;	1753082744.000;	       err11
20250721;	125545;	1753082745.000;	       err11
20250721;	125546;	1753082746.000;	       err11
20250721;	125547;	1753082747.000;	       err11
20250721;	125548;	1753082748.000;	       err11
20250721;	125549;	1753082749.000;	       err11
20250721;	125550;	1753082750.000;	       err11
20250721;	125551;	1753082751.000;	       err11
20250721;	125552;	1753082752.000;	       err11
20250721;	125553;	1753082753.000;	       err11
20250721;	125554;	1753082754.000;	       err11
20250721;	125555;	1753082755.000;	       err11
20250721;	125556;	1753082756.000;	       err11
20250721;	125557;	1753082757.000;	       err11
20250721;	125558;	1753082758.000;	       err11
20250721;	125559;	1753082759.000;	       err11
20250721;	125600;	1753082760.000;	       err11
20250721;	125601;	1753082761.000;	       err11
20250721;	125602;	1753082762.000;	       err11
20250721;	125603;	1753082763.000;	       err11
20250721;	125604;	1753082764.000;	       err11
20250721;	125605;	1753082765.000;	       err11
20250721;	125606;	1753082766.000;	       err11
20250721;	125607;	1753082767.000;	       err11
20250721;	125608;	1753082768.000;	       err11
20250721;	125609;	1753082769.000;	       err11
20250721;	125610;	1753082770.000;	       err11
20250721;	125611;	1753082771.000;	       err11
20250721;	125612;	1753082772.000;	       err11
20250721;	125613;	1753082773.000;	       err11
20250721;	125614;	1753082774.000;	       err11
20250721;	125615;	1753082775.000;	       err11
20250721;	125616;	1753082776.000;	       err11
20250721;	125617;	1753082777.000;	       err11
20250721;	125618;	1753082778.000;	       err11
20250721;	125619;	1753082779.000;	       err11
20250721;	125620;	1753082780.000;	       err11
20250721;	125621;	1753082781.000;	       err11
20250721;	125622;	1753082782.000;	       err11
20250721;	125623;	1753082783.000;	       err11
20250721;	125624;	1753082784.000;	       err11
20250721;	125625;	1753082785.000;	       err11
20250721;	125626;	1753082786.000;	       err11
20250721;	125627;	1753082787.000;	       err11
20250721;	125628;	1753082788.000;	       err11
20250721;	125629;	1753082789.000;	       err11
20250721;	125630;	1753082790.000;	       err11
20250721;	125631;	1753082791.000;	       err11
20250721;	125632;	1753082792.000;	       err11
20250721;	125633;	1753082793.000;	       err11
20250721;	125634;	1753082794.000;	       err11
20250721;	125635;	1753082795.000;	       err11
20250721;	125636;	1753082796.000;	       err11
20250721;	125637;	1753082797.000;	       err11
20250721;	125638;	1753082798.000;	       err11
20250721;	125639;	1753082799.000;	       err11
20250721;	125640;	1753082800.000;	       err11
20250721;	125641;	1753082801.000;	       err11
20250721;	125642;	1753082802.000;	       err11
20250721;	125643;	1753082803.000;	       err11
20250721;	125644;	1753082804.000;	       err11
20250721;	125645;	1753082805.000;	       err11
20250721;	125646;	1753082806.000;	       err11
20250721;	125647;	1753082807.000;	       err11
20250721;	125648;	1753082808.000;	       err11
20250721;	125649;	1753082809.000;	       err11
20250721;	125650;	1753082810.000;	       err11
20250721;	125651;	1753082811.000;	       err11
20250721;	125652;	1753082812.000;	       err11
20250721;	125653;	1753082813.000;	       err11
20250721;	125654;	1753082814.000;	       err11
20250721;	125655;	1753082815.000;	       err11
20250721;	125656;	1753082816.000;	       err11
20250721;	125657;	1753082817.000;	       err11
20250721;	125658;	1753082818.000;	       err11
20250721;	125659;	1753082819.000;	       err11
20250721;	125700;	1753082820.000;	       err11
20250721;	125701;	1753082821.000;	       err11
20250721;	125702;	1753082822.000;	       err11
20250721;	125703;	1753082823.000;	       err11
20250721;	125704;	1753082824.000;	       err11
20250721;	125705;	1753082825.000;	       err11
20250721;	125706;	1753082826.000;	       err11
20250721;	125707;	1753082827.000;	       err11
20250721;	125708;	1753082828.000;	       err11
20250721;	125709;	1753082829.000;	       err11
20250721;	125710;	1753082830.000;	       err11
20250721;	125711;	1753082831.000;	       err11
20250721;	125712;	1753082832.000;	       err11
20250721;	125713;	1753082833.000;	       err11
20250721;	125714;	1753082834.000;	       err11
20250721;	125715;	1753082835.000;	       err11
20250721;	125716;	1753082836.000;	       err11
20250721;	125717;	1753082837.000;	       err11
20250721;	125718;	1753082838.000;	       err11
20250721;	125719;	1753082839.000;	       err11
20250721;	125720;	1753082840.000;	       err11
20250721;	125721;	1753082841.000;	       err11
20250721;	125722;	1753082842.000;	       err11
20250721;	125723;	1753082843.000;	       err11
20250721;	125724;	1753082844.000;	       err11
20250721;	125725;	1753082845.000;	       err11
20250721;	125726;	1753082846.000;	       err11
20250721;	125727;	1753082847.000;	       err11
20250721;	125728;	1753082848.000;	       err11
20250721;	125729;	1753082849.000;	       err11
20250721;	125730;	1753082850.000;	       err11
20250721;	125731;	1753082851.000;	       err11
20250721;	125732;	1753082852.000;	       err11
20250721;	125733;	1753082853.000;	       err11
20250721;	125734;	1753082854.000;	       err11
20250721;	125735;	1753082855.000;	       err11
20250721;	125736;	1753082856.000;	       err11
20250721;	125737;	1753082857.000;	       err11
20250721;	125738;	1753082858.000;	       err11
20250721;	125739;	1753082859.000;	       err11
20250721;	125740;	1753082860.000;	       err11
20250721;	125741;	1753082861.000;	       err11
20250721;	125742;	1753082862.000;	       err11
20250721;	125743;	1753082863.000;	       err11
20250721;	125744;	1753082864.000;	       err11
20250721;	125745;	1753082865.000;	       err11
20250721;	125746;	1753082866.000;	       err11
20250721;	125747;	1753082867.000;	       err11
20250721;	125748;	1753082868.000;	       err11
20250721;	125749;	1753082869.000;	       err11
20250721;	125750;	1753082870.000;	       err11
20250721;	125751;	1753082871.000;	       err11
20250721;	125752;	1753082872.000;	       err11
20250721;	125753;	1753082873.000;	       err11
20250721;	125754;	1753082874.000;	       err11
20250721;	125755;	1753082875.000;	       err11
20250721;	125756;	1753082876.000;	       err11
20250721;	125757;	1753082877.000;	       err11
20250721;	125758;	1753082878.000;	       err11
20250721;	125759;	1753082879.000;	       err11
20250721;	125800;	1753082880.000;	       err11
20250721;	125801;	1753082881.000;	       err11
20250721;	125802;	1753082882.000;	       err11
20250721;	125803;	1753082883.000;	       err11
20250721;	125804;	1753082884.000;	       err11
20250721;	125805;	1753082885.000;	       err11
20250721;	125806;	1753082886.000;	       err11
20250721;	125807;	1753082887.000;	       err11
20250721;	125808;	1753082888.000;	       err11
20250721;	125809;	1753082889.000;	       err11
20250721;	125810;	1753082890.000;	       err11
20250721;	125811;	1753082891.000;	       err11
20250721;	125812;	1753082892.000;	       err11
20250721;	125813;	1753082893.000;	       err11
20250721;	125814;	1753082894.000;	       err11
20250721;	125815;	1753082895.000;	       err11
20250721;	125816;	1753082896.000;	       err11
20250721;	125817;	1753082897.000;	       err11
20250721;	125818;	1753082898.000;	       err11
20250721;	125819;	1753082899.000;	       err11
20250721;	125820;	1753082900.000;	       err11
20250721;	125821;	1753082901.000;	       err11
20250721;	125822;	1753082902.000;	       err11
20250721;	125823;	1753082903.000;	       err11
20250721;	125824;	1753082904.000;	       err11
20250721;	125825;	1753082905.000;	       err11
20250721;	125826;	1753082906.000;	       err11
20250721;	125827;	1753082907.000;	       err11
20250721;	125828;	1753082908.000;	       err11
20250721;	125829;	1753082909.000;	       err11
20250721;	125830;	1753082910.000;	       err11
20250721;	125831;	1753082911.000;	       err11
20250721;	125832;	1753082912.000;	       err11
20250721;	125833;	1753082913.000;	       err11
20250721;	125834;	1753082914.000;	       err11
20250721;	125835;	1753082915.000;	       err11
20250721;	125836;	1753082916.000;	       err11
20250721;	125837;	1753082917.000;	       err11
20250721;	125838;	1753082918.000;	       err11
20250721;	125839;	1753082919.000;	       err11
20250721;	125840;	1753082920.000;	       err11
20250721;	125841;	1753082921.000;	       err11
20250721;	125842;	1753082922.000;	       err11
20250721;	125843;	1753082923.000;	       err11
20250721;	125844;	1753082924.000;	       err11
20250721;	125845;	1753082925.000;	       err11
20250721;	125846;	1753082926.000;	       err11
20250721;	125847;	1753082927.000;	       err11
20250721;	125848;	1753082928.000;	       err11
20250721;	125849;	1753082929.000;	       err11
20250721;	125850;	1753082930.000;	       err11
20250721;	125851;	1753082931.000;	       err11
20250721;	125852;	1753082932.000;	       err11
20250721;	125853;	1753082933.000;	       err11
20250721;	125854;	1753082934.000;	       err11
20250721;	125855;	1753082935.000;	       err11
20250721;	125856;	1753082936.000;	       err11
20250721;	125857;	1753082937.000;	       err11
20250721;	125858;	1753082938.000;	       err11
20250721;	125859;	1753082939.000;	       err11
20250721;	125900;	1753082940.000;	       err11
20250721;	125901;	1753082941.000;	       err11
20250721;	125902;	1753082942.000;	       err11
20250721;	125903;	1753082943.000;	       err11
20250721;	125904;	1753082944.000;	       err11
20250721;	125905;	1753082945.000;	       err11
20250721;	125906;	1753082946.000;	       err11
20250721;	125907;	1753082947.000;	       err11
20250721;	125908;	1753082948.000;	       err11
20250721;	125909;	1753082949.000;	       err11
20250721;	125910;	1753082950.000;	       err11
20250721;	125911;	1753082951.000;	       err11
20250721;	125912;	1753082952.000;	       err11
20250721;	125913;	1753082953.000;	       err11
20250721;	125914;	1753082954.000;	       err11
20250721;	125915;	1753082955.000;	       err11
20250721;	125916;	1753082956.000;	       err11
20250721;	125917;	1753082957.000;	       err11
20250721;	125918;	1753082958.000;	       err11
20250721;	125919;	1753082959.000;	       err11
20250721;	125920;	1753082960.000;	       err11
20250721;	125921;	1753082961.000;	       err11
20250721;	125922;	1753082962.000;	       err11
20250721;	125923;	1753082963.000;	       err11
20250721;	125924;	1753082964.000;	       err11
20250721;	125925;	1753082965.000;	       err11
20250721;	125926;	1753082966.000;	       err11
20250721;	125927;	1753082967.000;	       err11
20250721;	125928;	1753082968.000;	       err11
20250721;	125929;	1753082969.000;	       err11
20250721;	125930;	1753082970.000;	       err11
20250721;	125931;	1753082971.000;	       err11
20250721;	125932;	1753082972.000;	       err11
20250721;	125933;	1753082973.000;	       err11
20250721;	125934;	1753082974.000;	       err11
20250721;	125935;	1753082975.000;	       err11
20250721;	125936;	1753082976.000;	       err11
20250721;	125937;	1753082977.000;	       err11
20250721;	125938;	1753082978.000;	       err11
20250721;	125939;	1753082979.000;	       err11
20250721;	125940;	1753082980.000;	       err11
20250721;	125941;	1753082981.000;	       err11
20250721;	125942;	1753082982.000;	       err11
20250721;	125943;	1753082983.000;	       err11
20250721;	125944;	1753082984.000;	       err11
20250721;	125945;	1753082985.000;	       err11
20250721;	125946;	1753082986.000;	       err11
20250721;	125947;	1753082987.000;	       err11
20250721;	125948;	1753082988.000;	       err11
20250721;	125949;	1753082989.000;	       err11
20250721;	125950;	1753082990.000;	       err11
20250721;	125951;	1753082991.000;	       err11
20250721;	125952;	1753082992.000;	       err11
20250721;	125953;	1753082993.000;	       err11
20250721;	125954;	1753082994.000;	       err11
20250721;	125955;	1753082995.000;	       err11
20250721;	125956;	1753082996.000;	       err11
20250721;	125957;	1753082997.000;	       err11
20250721;	125958;	1753082998.000;	       err11
20250721;	125959;	1753082999.000;	       err11
20250721;	130000;	1753083000.000;	       err11
20250721;	130001;	1753083001.000;	       err11
20250721;	130002;	1753083002.000;	       err11
20250721;	130003;	1753083003.000;	       err11
20250721;	130004;	1753083004.000;	       err11
20250721;	130005;	1753083005.000;	       err11
20250721;	130006;	1753083006.000;	       err11
20250721;	130007;	1753083007.000;	       err11
20250721;	130008;	1753083008.000;	       err11
20250721;	130009;	1753083009.000;	       err11
20250721;	130010;	1753083010.000;	       err11
20250721;	130011;	1753083011.000;	       err11
20250721;	130012;	1753083012.000;	       err11
20250721;	130013;	1753083013.000;	       err11
20250721;	130014;	1753083014.000;	       err11
20250721;	130015;	1753083015.000;	       err11
20250721;	130016;	1753083016.000;	       err11
20250721;	130017;	1753083017.000;	       err11
20250721;	130018;	1753083018.000;	       err11
20250721;	130019;	1753083019.000;	       err11
20250721;	130020;	1753083020.000;	       err11
20250721;	130021;	1753083021.000;	       err11
20250721;	130022;	1753083022.000;	       err11
20250721;	130023;	1753083023.000;	       err11
20250721;	130024;	1753083024.000;	       err11
20250721;	130025;	1753083025.000;	       err11
20250721;	130026;	1753083026.000;	       err11
20250721;	130027;	1753083027.000;	       err11
20250721;	130028;	1753083028.000;	       err11
20250721;	130029;	1753083029.000;	       err11
20250721;	130030;	1753083030.000;	       err11
20250721;	130031;	1753083031.000;	       err11
20250721;	130032;	1753083032.000;	       err11
