#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124234;	1753081954.000;	       err11
20250721;	124235;	1753081955.000;	       err11
20250721;	124236;	1753081956.000;	       err11
20250721;	124237;	1753081957.000;	       err11
20250721;	124238;	1753081958.000;	       err11
20250721;	124239;	1753081959.000;	       err11
20250721;	124240;	1753081960.000;	       err11
20250721;	124241;	1753081961.000;	       err11
20250721;	124242;	1753081962.000;	       err11
20250721;	124243;	1753081963.000;	       err11
20250721;	124244;	1753081964.000;	       err11
20250721;	124245;	1753081965.000;	       err11
20250721;	124246;	1753081966.000;	       err11
20250721;	124247;	1753081967.000;	       err11
20250721;	124248;	1753081968.000;	       err11
20250721;	124249;	1753081969.000;	       err11
20250721;	124250;	1753081970.000;	       err11
20250721;	124251;	1753081971.000;	       err11
20250721;	124252;	1753081972.000;	       err11
20250721;	124253;	1753081973.000;	       err11
20250721;	124254;	1753081974.000;	       err11
20250721;	124255;	1753081975.000;	       err11
20250721;	124256;	1753081976.000;	       err11
20250721;	124257;	1753081977.000;	       err11
20250721;	124258;	1753081978.000;	       err11
20250721;	124259;	1753081979.000;	       err11
20250721;	124300;	1753081980.000;	       err11
20250721;	124301;	1753081981.000;	       err11
20250721;	124302;	1753081982.000;	       err11
20250721;	124303;	1753081983.000;	       err11
20250721;	124304;	1753081984.000;	       err11
20250721;	124305;	1753081985.000;	       err11
20250721;	124306;	1753081986.000;	       err11
20250721;	124307;	1753081987.000;	       err11
20250721;	124308;	1753081988.000;	       err11
20250721;	124309;	1753081989.000;	       err11
20250721;	124310;	1753081990.000;	       err11
20250721;	124311;	1753081991.000;	       err11
20250721;	124312;	1753081992.000;	       err11
20250721;	124313;	1753081993.000;	       err11
20250721;	124314;	1753081994.000;	       err11
20250721;	124315;	1753081995.000;	       err11
20250721;	124316;	1753081996.000;	       err11
20250721;	124317;	1753081997.000;	       err11
20250721;	124318;	1753081998.000;	       err11
20250721;	124319;	1753081999.000;	       err11
20250721;	124320;	1753082000.000;	       err11
20250721;	124321;	1753082001.000;	       err11
20250721;	124322;	1753082002.000;	       err11
20250721;	124323;	1753082003.000;	       err11
20250721;	124324;	1753082004.000;	       err11
20250721;	124325;	1753082005.000;	       err11
20250721;	124326;	1753082006.000;	       err11
20250721;	124327;	1753082007.000;	       err11
20250721;	124328;	1753082008.000;	       err11
20250721;	124329;	1753082009.000;	       err11
20250721;	124330;	1753082010.000;	       err11
20250721;	124331;	1753082011.000;	       err11
20250721;	124332;	1753082012.000;	       err11
20250721;	124333;	1753082013.000;	       err11
20250721;	124334;	1753082014.000;	       err11
20250721;	124335;	1753082015.000;	       err11
20250721;	124336;	1753082016.000;	       err11
20250721;	124337;	1753082017.000;	       err11
20250721;	124338;	1753082018.000;	       err11
20250721;	124339;	1753082019.000;	       err11
20250721;	124340;	1753082020.000;	       err11
20250721;	124341;	1753082021.000;	       err11
20250721;	124342;	1753082022.000;	       err11
20250721;	124343;	1753082023.000;	       err11
20250721;	124344;	1753082024.000;	       err11
20250721;	124345;	1753082025.000;	       err11
20250721;	124346;	1753082026.000;	       err11
