#ies_format_version: 1.0
#file: 20250729_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250729;	192248;	1753797168.000;	     1;	     1
20250729;	192251;	1753797171.000;	     1;	     1
20250729;	192254;	1753797174.000;	     1;	     1
20250729;	192257;	1753797177.000;	     1;	     1
20250729;	192300;	1753797180.000;	     1;	     1
20250729;	192303;	1753797183.000;	     1;	     1
20250729;	192306;	1753797186.000;	     1;	     1
20250729;	192309;	1753797189.000;	     1;	     1
20250729;	192312;	1753797192.000;	     1;	     1
20250729;	192315;	1753797195.000;	     1;	     1
20250729;	192318;	1753797198.000;	     1;	     1
20250729;	192321;	1753797201.000;	     1;	     1
20250729;	192324;	1753797204.000;	     1;	     1
20250729;	192327;	1753797207.000;	     1;	     1
20250729;	192330;	1753797210.000;	     1;	     1
20250729;	192333;	1753797213.000;	     1;	     1
20250729;	192336;	1753797216.000;	     1;	     1
20250729;	192339;	1753797219.000;	     1;	     1
20250729;	192342;	1753797222.000;	 err32;	 err32
20250729;	192345;	1753797225.000;	 err32;	 err32
20250729;	192348;	1753797228.000;	 err32;	 err32
20250729;	192351;	1753797231.000;	 err32;	 err32
20250729;	192354;	1753797234.000;	 err32;	 err32
20250729;	192357;	1753797237.000;	 err32;	 err32
20250729;	192400;	1753797240.000;	 err32;	 err32
20250729;	192403;	1753797243.000;	 err32;	 err32
20250729;	192406;	1753797246.000;	 err32;	 err32
20250729;	192409;	1753797249.000;	 err32;	 err32
20250729;	192412;	1753797252.000;	 err32;	 err32
20250729;	192415;	1753797255.000;	 err32;	 err32
20250729;	192418;	1753797258.000;	 err32;	 err32
20250729;	192421;	1753797261.000;	 err32;	 err32
20250729;	192424;	1753797264.000;	 err32;	 err32
20250729;	192427;	1753797267.000;	 err32;	 err32
20250729;	192430;	1753797270.000;	 err32;	 err32
20250729;	192433;	1753797273.000;	 err32;	 err32
20250729;	192436;	1753797276.000;	 err32;	 err32
20250729;	192439;	1753797279.000;	 err32;	 err32
20250729;	192442;	1753797282.000;	 err32;	 err32
20250729;	192445;	1753797285.000;	 err32;	 err32
20250729;	192448;	1753797288.000;	 err32;	 err32
20250729;	192451;	1753797291.000;	 err32;	 err32
20250729;	192454;	1753797294.000;	 err32;	 err32
20250729;	192457;	1753797297.000;	 err32;	 err32
20250729;	192500;	1753797300.000;	 err32;	 err32
20250729;	192503;	1753797303.000;	 err32;	 err32
20250729;	192506;	1753797306.000;	 err32;	 err32
20250729;	192509;	1753797309.000;	 err32;	 err32
20250729;	192512;	1753797312.000;	 err32;	 err32
20250729;	192515;	1753797315.000;	 err32;	 err32
20250729;	192518;	1753797318.000;	 err32;	 err32
20250729;	192521;	1753797321.000;	 err32;	 err32
20250729;	192524;	1753797324.000;	 err32;	 err32
20250729;	192527;	1753797327.000;	 err32;	 err32
20250729;	192530;	1753797330.000;	 err32;	 err32
20250729;	192533;	1753797333.000;	 err32;	 err32
20250729;	192536;	1753797336.000;	 err32;	 err32
20250729;	192539;	1753797339.000;	 err32;	 err32
20250729;	192542;	1753797342.000;	 err32;	 err32
20250729;	192545;	1753797345.000;	 err32;	 err32
20250729;	192548;	1753797348.000;	 err32;	 err32
20250729;	192551;	1753797351.000;	 err32;	 err32
20250729;	192554;	1753797354.000;	 err32;	 err32
20250729;	192557;	1753797357.000;	 err32;	 err32
20250729;	192600;	1753797360.000;	 err32;	 err32
20250729;	192603;	1753797363.000;	 err32;	 err32
20250729;	192606;	1753797366.000;	 err32;	 err32
20250729;	192609;	1753797369.000;	 err32;	 err32
20250729;	192612;	1753797372.000;	 err32;	 err32
20250729;	192615;	1753797375.000;	 err32;	 err32
20250729;	192618;	1753797378.000;	 err32;	 err32
20250729;	192621;	1753797381.000;	 err32;	 err32
20250729;	192624;	1753797384.000;	 err32;	 err32
20250729;	192627;	1753797387.000;	 err32;	 err32
20250729;	192630;	1753797390.000;	 err32;	 err32
20250729;	192633;	1753797393.000;	 err32;	 err32
20250729;	192636;	1753797396.000;	 err32;	 err32
20250729;	192639;	1753797399.000;	 err32;	 err32
20250729;	192642;	1753797402.000;	 err32;	 err32
20250729;	192645;	1753797405.000;	 err32;	 err32
20250729;	192648;	1753797408.000;	 err32;	 err32
20250729;	192651;	1753797411.000;	 err32;	 err32
20250729;	192654;	1753797414.000;	 err32;	 err32
20250729;	192657;	1753797417.000;	 err32;	 err32
20250729;	192700;	1753797420.000;	 err32;	 err32
20250729;	192703;	1753797423.000;	 err32;	 err32
20250729;	192706;	1753797426.000;	 err32;	 err32
20250729;	192709;	1753797429.000;	 err32;	 err32
20250729;	192712;	1753797432.000;	 err32;	 err32
20250729;	192715;	1753797435.000;	 err32;	 err32
20250729;	192718;	1753797438.000;	 err32;	 err32
20250729;	192721;	1753797441.000;	 err32;	 err32
20250729;	192724;	1753797444.000;	 err32;	 err32
20250729;	192727;	1753797447.000;	 err32;	 err32
20250729;	192730;	1753797450.000;	 err32;	 err32
20250729;	192733;	1753797453.000;	 err32;	 err32
20250729;	192736;	1753797456.000;	 err32;	 err32
20250729;	192739;	1753797459.000;	 err32;	 err32
20250729;	192742;	1753797462.000;	 err32;	 err32
20250729;	192745;	1753797465.000;	 err32;	 err32
20250729;	192748;	1753797468.000;	 err32;	 err32
20250729;	192751;	1753797471.000;	 err32;	 err32
20250729;	192754;	1753797474.000;	 err32;	 err32
20250729;	192757;	1753797477.000;	  err7;	  err7
20250729;	192800;	1753797480.000;	     1;	     1
20250729;	192803;	1753797483.000;	     1;	     1
20250729;	192806;	1753797486.000;	     1;	     1
20250729;	192809;	1753797489.000;	     1;	     1
20250729;	192812;	1753797492.000;	     1;	     1
20250729;	192815;	1753797495.000;	     1;	     1
20250729;	192818;	1753797498.000;	     1;	     1
20250729;	192821;	1753797501.000;	     1;	     1
20250729;	192824;	1753797504.000;	     1;	     1
20250729;	192827;	1753797507.000;	     1;	     1
20250729;	192830;	1753797510.000;	     1;	     1
20250729;	192833;	1753797513.000;	     1;	     1
20250729;	192836;	1753797516.000;	     1;	     1
20250729;	192839;	1753797519.000;	     1;	     1
20250729;	192842;	1753797522.000;	     1;	     1
20250729;	192845;	1753797525.000;	     1;	     1
20250729;	192848;	1753797528.000;	     1;	     1
20250729;	192851;	1753797531.000;	     1;	     1
20250729;	192854;	1753797534.000;	     1;	     1
20250729;	192857;	1753797537.000;	     1;	     1
20250729;	192900;	1753797540.000;	     1;	     1
20250729;	192903;	1753797543.000;	     1;	     1
20250729;	192906;	1753797546.000;	     1;	     1
20250729;	192909;	1753797549.000;	     1;	     1
20250729;	192912;	1753797552.000;	     1;	     1
20250729;	192915;	1753797555.000;	     1;	     1
20250729;	192918;	1753797558.000;	     1;	     1
20250729;	192921;	1753797561.000;	     1;	     1
20250729;	192924;	1753797564.000;	     1;	     1
20250729;	192927;	1753797567.000;	     1;	     1
20250729;	192930;	1753797570.000;	     1;	     1
20250729;	192933;	1753797573.000;	     1;	     1
20250729;	192936;	1753797576.000;	     1;	     1
20250729;	192939;	1753797579.000;	     1;	     1
20250729;	192942;	1753797582.000;	     1;	     1
20250729;	192945;	1753797585.000;	     1;	     1
20250729;	192948;	1753797588.000;	     1;	     1
20250729;	192951;	1753797591.000;	     1;	     1
20250729;	192954;	1753797594.000;	     1;	     1
20250729;	192957;	1753797597.000;	     1;	     1
20250729;	193000;	1753797600.000;	     1;	     1
20250729;	193003;	1753797603.000;	     1;	     1
20250729;	193006;	1753797606.000;	     1;	     1
20250729;	193009;	1753797609.000;	     1;	     1
20250729;	193012;	1753797612.000;	     1;	     1
20250729;	193015;	1753797615.000;	     1;	     1
20250729;	193018;	1753797618.000;	     1;	     1
20250729;	193021;	1753797621.000;	     1;	     1
20250729;	193024;	1753797624.000;	     1;	     1
20250729;	193027;	1753797627.000;	     1;	     1
20250729;	193030;	1753797630.000;	     1;	     1
20250729;	193033;	1753797633.000;	     1;	     1
20250729;	193036;	1753797636.000;	     1;	     1
20250729;	193039;	1753797639.000;	     1;	     1
20250729;	193042;	1753797642.000;	     1;	     1
20250729;	193045;	1753797645.000;	     1;	     1
20250729;	193048;	1753797648.000;	     1;	     1
20250729;	193051;	1753797651.000;	     1;	     1
20250729;	193054;	1753797654.000;	     1;	     1
20250729;	193057;	1753797657.000;	     1;	     1
20250729;	193100;	1753797660.000;	     1;	     1
20250729;	193103;	1753797663.000;	     1;	     1
20250729;	193106;	1753797666.000;	     1;	     1
20250729;	193109;	1753797669.000;	     1;	     1
20250729;	193112;	1753797672.000;	     1;	     1
20250729;	193115;	1753797675.000;	     1;	     1
20250729;	193118;	1753797678.000;	     1;	     1
20250729;	193121;	1753797681.000;	     1;	     1
20250729;	193124;	1753797684.000;	     1;	     1
20250729;	193127;	1753797687.000;	     1;	     1
20250729;	193130;	1753797690.000;	     1;	     1
20250729;	193133;	1753797693.000;	     1;	     1
20250729;	193136;	1753797696.000;	     1;	     1
20250729;	193139;	1753797699.000;	     1;	     1
20250729;	193142;	1753797702.000;	     1;	     1
20250729;	193145;	1753797705.000;	     1;	     1
20250729;	193148;	1753797708.000;	     1;	     1
20250729;	193151;	1753797711.000;	     1;	     1
20250729;	193154;	1753797714.000;	     1;	     1
20250729;	193157;	1753797717.000;	     1;	     1
20250729;	193200;	1753797720.000;	     1;	     1
20250729;	193203;	1753797723.000;	     1;	     1
20250729;	193206;	1753797726.000;	     1;	     1
20250729;	193209;	1753797729.000;	     1;	     1
20250729;	193212;	1753797732.000;	     1;	     1
20250729;	193215;	1753797735.000;	     1;	     1
20250729;	193218;	1753797738.000;	     1;	     1
20250729;	193221;	1753797741.000;	     1;	     1
20250729;	193224;	1753797744.000;	     1;	     1
20250729;	193227;	1753797747.000;	     1;	     1
20250729;	193230;	1753797750.000;	     1;	     1
20250729;	193233;	1753797753.000;	     1;	     1
20250729;	193236;	1753797756.000;	     1;	     1
20250729;	193239;	1753797759.000;	     1;	     1
20250729;	193242;	1753797762.000;	     1;	     1
20250729;	193245;	1753797765.000;	     1;	     1
20250729;	193248;	1753797768.000;	     1;	     1
