#ies_format_version: 1.0
#file: 20250721_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250721;	172214;	1753098734.000;	       err32
20250721;	172216;	1753098736.000;	       err32
20250721;	172218;	1753098738.000;	       err32
20250721;	172220;	1753098740.000;	       err32
20250721;	172222;	1753098742.000;	       err32
20250721;	172224;	1753098744.000;	       err32
20250721;	172226;	1753098746.000;	       err32
20250721;	172228;	1753098748.000;	       err32
20250721;	172230;	1753098750.000;	       err32
20250721;	172232;	1753098752.000;	       err32
20250721;	172234;	1753098754.000;	       err32
20250721;	172236;	1753098756.000;	       err32
20250721;	172238;	1753098758.000;	       err32
20250721;	172240;	1753098760.000;	       err32
20250721;	172242;	1753098762.000;	       err32
20250721;	172244;	1753098764.000;	       err32
20250721;	172246;	1753098766.000;	       err32
20250721;	172248;	1753098768.000;	       err32
20250721;	172250;	1753098770.000;	       err32
20250721;	172252;	1753098772.000;	       err32
20250721;	172254;	1753098774.000;	       err32
20250721;	172256;	1753098776.000;	       err32
20250721;	172258;	1753098778.000;	       err32
20250721;	172300;	1753098780.000;	       err32
20250721;	172302;	1753098782.000;	       err32
20250721;	172304;	1753098784.000;	       err32
20250721;	172306;	1753098786.000;	       err32
20250721;	172308;	1753098788.000;	       err32
20250721;	172310;	1753098790.000;	       err32
20250721;	172312;	1753098792.000;	       err32
20250721;	172314;	1753098794.000;	       err32
20250721;	172316;	1753098796.000;	       err32
20250721;	172318;	1753098798.000;	       err32
20250721;	172320;	1753098800.000;	       err32
20250721;	172322;	1753098802.000;	       err32
20250721;	172324;	1753098804.000;	       err32
20250721;	172326;	1753098806.000;	       err32
20250721;	172328;	1753098808.000;	       err32
20250721;	172330;	1753098810.000;	       err32
20250721;	172332;	1753098812.000;	       err32
20250721;	172334;	1753098814.000;	       err32
20250721;	172336;	1753098816.000;	       err32
20250721;	172338;	1753098818.000;	        err9
20250721;	172340;	1753098820.000;	        err9
20250721;	172342;	1753098822.000;	        err9
20250721;	172344;	1753098824.000;	        err9
20250721;	172346;	1753098826.000;	        err9
20250721;	172348;	1753098828.000;	        err9
20250721;	172350;	1753098830.000;	        err9
20250721;	172352;	1753098832.000;	        err9
20250721;	172354;	1753098834.000;	        err9
20250721;	172356;	1753098836.000;	        err9
20250721;	172358;	1753098838.000;	        err9
20250721;	172400;	1753098840.000;	        err9
20250721;	172402;	1753098842.000;	        err9
20250721;	172404;	1753098844.000;	        err9
20250721;	172406;	1753098846.000;	       err32
20250721;	172408;	1753098848.000;	       err32
20250721;	172410;	1753098850.000;	       err32
20250721;	172412;	1753098852.000;	       err32
20250721;	172414;	1753098854.000;	       err32
20250721;	172416;	1753098856.000;	           0
20250721;	172418;	1753098858.000;	           0
20250721;	172420;	1753098860.000;	           0
20250721;	172422;	1753098862.000;	           0
20250721;	172424;	1753098864.000;	           0
20250721;	172426;	1753098866.000;	           0
20250721;	172428;	1753098868.000;	           0
20250721;	172430;	1753098870.000;	           0
20250721;	172432;	1753098872.000;	           0
20250721;	172434;	1753098874.000;	           0
20250721;	172436;	1753098876.000;	           0
20250721;	172438;	1753098878.000;	           0
20250721;	172440;	1753098880.000;	           0
20250721;	172442;	1753098882.000;	           0
20250721;	172444;	1753098884.000;	           0
20250721;	172446;	1753098886.000;	           0
20250721;	172448;	1753098888.000;	           0
20250721;	172450;	1753098890.000;	           0
20250721;	172452;	1753098892.000;	           0
20250721;	172454;	1753098894.000;	           0
20250721;	172456;	1753098896.000;	           0
20250721;	172458;	1753098898.000;	           0
20250721;	172500;	1753098900.000;	           0
20250721;	172502;	1753098902.000;	           0
20250721;	172504;	1753098904.000;	           0
20250721;	172506;	1753098906.000;	           0
20250721;	172508;	1753098908.000;	           0
20250721;	172510;	1753098910.000;	           0
20250721;	172512;	1753098912.000;	           0
20250721;	172514;	1753098914.000;	           0
20250721;	172516;	1753098916.000;	           0
20250721;	172518;	1753098918.000;	           0
20250721;	172520;	1753098920.000;	           0
20250721;	172522;	1753098922.000;	           0
20250721;	172524;	1753098924.000;	           0
20250721;	172526;	1753098926.000;	           0
20250721;	172528;	1753098928.000;	           0
20250721;	172530;	1753098930.000;	           0
20250721;	172532;	1753098932.000;	           0
20250721;	172534;	1753098934.000;	           0
20250721;	172536;	1753098936.000;	           0
20250721;	172538;	1753098938.000;	           0
20250721;	172540;	1753098940.000;	           0
20250721;	172542;	1753098942.000;	           0
20250721;	172544;	1753098944.000;	           0
20250721;	172546;	1753098946.000;	           0
20250721;	172548;	1753098948.000;	           0
20250721;	172550;	1753098950.000;	           0
20250721;	172552;	1753098952.000;	           0
20250721;	172554;	1753098954.000;	           0
20250721;	172556;	1753098956.000;	           0
20250721;	172558;	1753098958.000;	           0
20250721;	172600;	1753098960.000;	           0
20250721;	172602;	1753098962.000;	           0
20250721;	172604;	1753098964.000;	           0
