#ies_format_version: 1.0
#file: 20250724_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test_B_19;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18;	test_B_19
20250724;	154120;	1753351880.000;	         100;	           0
20250724;	154122;	1753351882.000;	         100;	           0
20250724;	154124;	1753351884.000;	         100;	           0
20250724;	154126;	1753351886.000;	         100;	           0
20250724;	154128;	1753351888.000;	         100;	           0
20250724;	154130;	1753351890.000;	         100;	           0
20250724;	154132;	1753351892.000;	         100;	           0
20250724;	154134;	1753351894.000;	         100;	           0
20250724;	154136;	1753351896.000;	         100;	           0
20250724;	154138;	1753351898.000;	         100;	           0
20250724;	154140;	1753351900.000;	         100;	           0
20250724;	154142;	1753351902.000;	         100;	           0
20250724;	154144;	1753351904.000;	         100;	           0
20250724;	154146;	1753351906.000;	         100;	           0
20250724;	154148;	1753351908.000;	         100;	           0
20250724;	154150;	1753351910.000;	         100;	           0
20250724;	154152;	1753351912.000;	         100;	           0
20250724;	154154;	1753351914.000;	         100;	           0
20250724;	154156;	1753351916.000;	         100;	           0
20250724;	154158;	1753351918.000;	         100;	           0
20250724;	154200;	1753351920.000;	         100;	           0
20250724;	154202;	1753351922.000;	         100;	           0
20250724;	154204;	1753351924.000;	         100;	           0
20250724;	154206;	1753351926.000;	         100;	           0
20250724;	154208;	1753351928.000;	         100;	           0
20250724;	154210;	1753351930.000;	         100;	           0
20250724;	154212;	1753351932.000;	         100;	           0
20250724;	154214;	1753351934.000;	         100;	           0
20250724;	154216;	1753351936.000;	         100;	           0
20250724;	154218;	1753351938.000;	         100;	           0
20250724;	154220;	1753351940.000;	         100;	           0
20250724;	154222;	1753351942.000;	         100;	           0
20250724;	154224;	1753351944.000;	         100;	           0
20250724;	154226;	1753351946.000;	         100;	           0
20250724;	154228;	1753351948.000;	         100;	           0
20250724;	154230;	1753351950.000;	         100;	           0
20250724;	154232;	1753351952.000;	         100;	           0
20250724;	154234;	1753351954.000;	         100;	           0
20250724;	154236;	1753351956.000;	         100;	           0
20250724;	154238;	1753351958.000;	         100;	           0
20250724;	154240;	1753351960.000;	         100;	           0
20250724;	154242;	1753351962.000;	         100;	           0
20250724;	154244;	1753351964.000;	         100;	           0
20250724;	154246;	1753351966.000;	         100;	           0
20250724;	154248;	1753351968.000;	         100;	           0
20250724;	154250;	1753351970.000;	         100;	           0
20250724;	154252;	1753351972.000;	         100;	           0
20250724;	154254;	1753351974.000;	         100;	           0
20250724;	154256;	1753351976.000;	         100;	           0
20250724;	154258;	1753351978.000;	         100;	           0
20250724;	154300;	1753351980.000;	         100;	           0
20250724;	154302;	1753351982.000;	         100;	           0
20250724;	154304;	1753351984.000;	         100;	           0
20250724;	154306;	1753351986.000;	         100;	           0
20250724;	154308;	1753351988.000;	         100;	           0
20250724;	154310;	1753351990.000;	         100;	           0
20250724;	154312;	1753351992.000;	         100;	           0
20250724;	154314;	1753351994.000;	         100;	           0
20250724;	154316;	1753351996.000;	         100;	           0
20250724;	154318;	1753351998.000;	         100;	           0
20250724;	154320;	1753352000.000;	         100;	           0
20250724;	154322;	1753352002.000;	         100;	           0
20250724;	154324;	1753352004.000;	         100;	           0
20250724;	154326;	1753352006.000;	         100;	           0
20250724;	154328;	1753352008.000;	         100;	           0
20250724;	154330;	1753352010.000;	         100;	           0
20250724;	154332;	1753352012.000;	         100;	           0
20250724;	154334;	1753352014.000;	         100;	           0
20250724;	154336;	1753352016.000;	         100;	           0
20250724;	154338;	1753352018.000;	         100;	           0
20250724;	154340;	1753352020.000;	         100;	           0
20250724;	154342;	1753352022.000;	         100;	           0
20250724;	154344;	1753352024.000;	         100;	           0
20250724;	154346;	1753352026.000;	         100;	           0
20250724;	154348;	1753352028.000;	         100;	           0
20250724;	154350;	1753352030.000;	         100;	           0
20250724;	154352;	1753352032.000;	         100;	           0
20250724;	154354;	1753352034.000;	         100;	           0
20250724;	154356;	1753352036.000;	         100;	           0
20250724;	154358;	1753352038.000;	         100;	           0
20250724;	154400;	1753352040.000;	         100;	           0
20250724;	154402;	1753352042.000;	         100;	           0
20250724;	154404;	1753352044.000;	         100;	           0
20250724;	154406;	1753352046.000;	         100;	           0
20250724;	154408;	1753352048.000;	         100;	           0
20250724;	154410;	1753352050.000;	         100;	           0
20250724;	154412;	1753352052.000;	         100;	           0
20250724;	154414;	1753352054.000;	         100;	           0
20250724;	154416;	1753352056.000;	         100;	           0
20250724;	154418;	1753352058.000;	         100;	           0
20250724;	154420;	1753352060.000;	         100;	           0
20250724;	154422;	1753352062.000;	         100;	           0
20250724;	154424;	1753352064.000;	         100;	           0
20250724;	154426;	1753352066.000;	         100;	           0
20250724;	154428;	1753352068.000;	         101;	           0
20250724;	154430;	1753352070.000;	         101;	           0
