#ies_format_version: 1.0
#file: 20250728_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest2_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest2_A_18
20250728;	164221;	1753701141.000;	       err32
20250728;	164224;	1753701144.000;	       err32
20250728;	164227;	1753701147.000;	       err32
20250728;	164230;	1753701150.000;	       err32
20250728;	164233;	1753701153.000;	       err32
20250728;	164236;	1753701156.000;	       err32
20250728;	164239;	1753701159.000;	       err32
20250728;	164242;	1753701162.000;	       err32
20250728;	164245;	1753701165.000;	       err32
20250728;	164248;	1753701168.000;	       err20
20250728;	164251;	1753701171.000;	       err20
20250728;	164254;	1753701174.000;	       err20
20250728;	164257;	1753701177.000;	       err20
20250728;	164300;	1753701180.000;	       err20
20250728;	164303;	1753701183.000;	       err32
20250728;	164306;	1753701186.000;	       err32
20250728;	164309;	1753701189.000;	       err32
20250728;	164312;	1753701192.000;	       err32
20250728;	164315;	1753701195.000;	       err32
20250728;	164318;	1753701198.000;	       err32
20250728;	164321;	1753701201.000;	       err32
20250728;	164324;	1753701204.000;	       err32
20250728;	164327;	1753701207.000;	       err32
20250728;	164330;	1753701210.000;	       err32
20250728;	164333;	1753701213.000;	       err32
20250728;	164336;	1753701216.000;	       err32
20250728;	164339;	1753701219.000;	       err32
20250728;	164342;	1753701222.000;	       err32
20250728;	164345;	1753701225.000;	       err32
20250728;	164348;	1753701228.000;	       err32
20250728;	164351;	1753701231.000;	       err32
20250728;	164354;	1753701234.000;	       err32
20250728;	164357;	1753701237.000;	       err32
20250728;	164400;	1753701240.000;	       err32
20250728;	164403;	1753701243.000;	       err32
20250728;	164406;	1753701246.000;	       err32
20250728;	164409;	1753701249.000;	       err32
20250728;	164412;	1753701252.000;	       err32
20250728;	164415;	1753701255.000;	       err32
20250728;	164418;	1753701258.000;	       err32
20250728;	164421;	1753701261.000;	       err32
20250728;	164424;	1753701264.000;	       err32
20250728;	164427;	1753701267.000;	       err32
20250728;	164430;	1753701270.000;	       err32
20250728;	164433;	1753701273.000;	       err32
20250728;	164436;	1753701276.000;	       err32
20250728;	164439;	1753701279.000;	       err32
20250728;	164442;	1753701282.000;	       err32
20250728;	164445;	1753701285.000;	       err32
20250728;	164448;	1753701288.000;	       err32
20250728;	164451;	1753701291.000;	       err32
20250728;	164454;	1753701294.000;	       err32
20250728;	164457;	1753701297.000;	       err32
20250728;	164500;	1753701300.000;	       err32
20250728;	164503;	1753701303.000;	       err32
20250728;	164506;	1753701306.000;	       err32
20250728;	164509;	1753701309.000;	       err32
20250728;	164512;	1753701312.000;	       err32
20250728;	164515;	1753701315.000;	       err32
20250728;	164518;	1753701318.000;	       err32
20250728;	164521;	1753701321.000;	       err32
20250728;	164524;	1753701324.000;	       err32
20250728;	164527;	1753701327.000;	       err32
20250728;	164530;	1753701330.000;	       err32
20250728;	164533;	1753701333.000;	       err32
20250728;	164536;	1753701336.000;	       err32
20250728;	164539;	1753701339.000;	       err32
20250728;	164542;	1753701342.000;	       err32
20250728;	164545;	1753701345.000;	       err32
20250728;	164548;	1753701348.000;	       err32
20250728;	164551;	1753701351.000;	       err32
20250728;	164554;	1753701354.000;	       err32
20250728;	164557;	1753701357.000;	       err32
20250728;	164600;	1753701360.000;	       err32
20250728;	164603;	1753701363.000;	       err32
20250728;	164606;	1753701366.000;	       err32
20250728;	164609;	1753701369.000;	       err32
20250728;	164612;	1753701372.000;	       err32
20250728;	164615;	1753701375.000;	       err32
20250728;	164618;	1753701378.000;	       err32
20250728;	164621;	1753701381.000;	       err32
20250728;	164624;	1753701384.000;	       err32
20250728;	164627;	1753701387.000;	       err32
20250728;	164630;	1753701390.000;	       err32
20250728;	164633;	1753701393.000;	       err32
20250728;	164636;	1753701396.000;	       err32
20250728;	164639;	1753701399.000;	       err32
20250728;	164642;	1753701402.000;	       err32
20250728;	164645;	1753701405.000;	       err32
20250728;	164648;	1753701408.000;	       err32
20250728;	164651;	1753701411.000;	       err32
20250728;	164654;	1753701414.000;	       err32
20250728;	164657;	1753701417.000;	       err32
20250728;	164700;	1753701420.000;	       err32
20250728;	164703;	1753701423.000;	       err32
20250728;	164706;	1753701426.000;	       err32
20250728;	164709;	1753701429.000;	       err32
20250728;	164712;	1753701432.000;	       err32
20250728;	164715;	1753701435.000;	       err32
20250728;	164718;	1753701438.000;	       err32
20250728;	164721;	1753701441.000;	       err32
20250728;	164724;	1753701444.000;	       err32
20250728;	164727;	1753701447.000;	       err32
20250728;	164730;	1753701450.000;	       err32
20250728;	164733;	1753701453.000;	       err32
20250728;	164736;	1753701456.000;	       err32
20250728;	164739;	1753701459.000;	       err32
20250728;	164742;	1753701462.000;	       err32
20250728;	164745;	1753701465.000;	       err32
20250728;	164748;	1753701468.000;	       err32
20250728;	164751;	1753701471.000;	       err32
20250728;	164754;	1753701474.000;	       err32
20250728;	164757;	1753701477.000;	       err32
20250728;	164800;	1753701480.000;	       err32
20250728;	164803;	1753701483.000;	       err32
20250728;	164806;	1753701486.000;	       err32
20250728;	164809;	1753701489.000;	       err32
20250728;	164812;	1753701492.000;	       err32
20250728;	164815;	1753701495.000;	       err32
20250728;	164818;	1753701498.000;	       err32
20250728;	164821;	1753701501.000;	       err32
20250728;	164824;	1753701504.000;	       err32
20250728;	164827;	1753701507.000;	       err32
20250728;	164830;	1753701510.000;	       err32
20250728;	164833;	1753701513.000;	       err32
20250728;	164836;	1753701516.000;	           0
20250728;	164839;	1753701519.000;	           0
20250728;	164842;	1753701522.000;	           0
20250728;	164845;	1753701525.000;	           0
20250728;	164848;	1753701528.000;	           0
20250728;	164851;	1753701531.000;	           0
20250728;	164854;	1753701534.000;	           0
20250728;	164857;	1753701537.000;	           0
20250728;	164900;	1753701540.000;	           0
20250728;	164903;	1753701543.000;	           0
20250728;	164906;	1753701546.000;	           0
20250728;	164909;	1753701549.000;	           0
20250728;	164912;	1753701552.000;	           0
20250728;	164915;	1753701555.000;	           0
20250728;	164918;	1753701558.000;	           0
20250728;	164921;	1753701561.000;	           0
20250728;	164924;	1753701564.000;	           0
20250728;	164927;	1753701567.000;	           0
20250728;	164930;	1753701570.000;	           0
20250728;	164933;	1753701573.000;	           0
20250728;	164936;	1753701576.000;	           0
20250728;	164939;	1753701579.000;	           0
20250728;	164942;	1753701582.000;	           0
20250728;	164945;	1753701585.000;	           0
20250728;	164948;	1753701588.000;	           0
20250728;	164951;	1753701591.000;	           0
20250728;	164954;	1753701594.000;	           0
20250728;	164957;	1753701597.000;	           0
20250728;	165000;	1753701600.000;	           0
20250728;	165003;	1753701603.000;	           0
20250728;	165006;	1753701606.000;	           0
20250728;	165009;	1753701609.000;	           0
20250728;	165012;	1753701612.000;	           0
20250728;	165015;	1753701615.000;	           0
20250728;	165018;	1753701618.000;	           0
20250728;	165021;	1753701621.000;	           0
20250728;	165024;	1753701624.000;	           0
20250728;	165027;	1753701627.000;	           0
20250728;	165030;	1753701630.000;	           0
20250728;	165033;	1753701633.000;	           0
20250728;	165036;	1753701636.000;	           0
20250728;	165039;	1753701639.000;	           0
20250728;	165042;	1753701642.000;	           0
20250728;	165045;	1753701645.000;	           0
20250728;	165048;	1753701648.000;	           0
20250728;	165051;	1753701651.000;	           0
20250728;	165054;	1753701654.000;	           0
20250728;	165057;	1753701657.000;	           0
20250728;	165100;	1753701660.000;	           0
20250728;	165103;	1753701663.000;	           0
20250728;	165106;	1753701666.000;	           0
20250728;	165109;	1753701669.000;	           0
20250728;	165112;	1753701672.000;	           0
20250728;	165115;	1753701675.000;	           0
20250728;	165118;	1753701678.000;	           0
20250728;	165121;	1753701681.000;	           0
20250728;	165124;	1753701684.000;	           0
20250728;	165127;	1753701687.000;	           0
20250728;	165130;	1753701690.000;	           0
20250728;	165133;	1753701693.000;	           0
20250728;	165136;	1753701696.000;	           0
20250728;	165139;	1753701699.000;	           0
20250728;	165142;	1753701702.000;	           0
20250728;	165145;	1753701705.000;	           0
20250728;	165148;	1753701708.000;	           0
20250728;	165151;	1753701711.000;	           0
20250728;	165154;	1753701714.000;	           0
20250728;	165157;	1753701717.000;	           0
20250728;	165200;	1753701720.000;	           0
20250728;	165203;	1753701723.000;	           0
20250728;	165206;	1753701726.000;	           0
20250728;	165209;	1753701729.000;	           0
20250728;	165212;	1753701732.000;	           0
20250728;	165215;	1753701735.000;	           0
20250728;	165218;	1753701738.000;	           5
20250728;	165221;	1753701741.000;	           5
20250728;	165224;	1753701744.000;	           5
20250728;	165227;	1753701747.000;	           5
20250728;	165230;	1753701750.000;	           5
20250728;	165233;	1753701753.000;	         777
20250728;	165236;	1753701756.000;	         777
20250728;	165239;	1753701759.000;	         777
20250728;	165242;	1753701762.000;	         777
20250728;	165245;	1753701765.000;	         777
20250728;	165248;	1753701768.000;	         777
20250728;	165251;	1753701771.000;	         777
20250728;	165254;	1753701774.000;	         777
20250728;	165257;	1753701777.000;	         777
20250728;	165300;	1753701780.000;	         777
20250728;	165303;	1753701783.000;	         777
20250728;	165306;	1753701786.000;	         777
20250728;	165309;	1753701789.000;	         777
20250728;	165312;	1753701792.000;	         777
20250728;	165315;	1753701795.000;	         777
20250728;	165318;	1753701798.000;	         777
20250728;	165321;	1753701801.000;	         777
20250728;	165324;	1753701804.000;	         777
20250728;	165327;	1753701807.000;	         777
20250728;	165330;	1753701810.000;	         777
20250728;	165333;	1753701813.000;	         777
20250728;	165336;	1753701816.000;	         777
20250728;	165339;	1753701819.000;	         777
20250728;	165342;	1753701822.000;	         777
20250728;	165345;	1753701825.000;	         777
20250728;	165348;	1753701828.000;	         777
20250728;	165351;	1753701831.000;	         777
20250728;	165354;	1753701834.000;	         777
20250728;	165357;	1753701837.000;	         777
20250728;	165400;	1753701840.000;	         777
20250728;	165403;	1753701843.000;	         777
20250728;	165406;	1753701846.000;	         777
20250728;	165409;	1753701849.000;	         777
20250728;	165412;	1753701852.000;	         777
20250728;	165415;	1753701855.000;	         777
20250728;	165418;	1753701858.000;	         777
20250728;	165421;	1753701861.000;	         777
20250728;	165424;	1753701864.000;	         777
20250728;	165427;	1753701867.000;	         777
20250728;	165430;	1753701870.000;	         777
20250728;	165433;	1753701873.000;	         777
20250728;	165436;	1753701876.000;	         777
20250728;	165439;	1753701879.000;	         777
20250728;	165442;	1753701882.000;	         777
20250728;	165445;	1753701885.000;	         777
20250728;	165448;	1753701888.000;	         777
20250728;	165451;	1753701891.000;	         777
20250728;	165454;	1753701894.000;	         777
20250728;	165457;	1753701897.000;	         777
20250728;	165500;	1753701900.000;	         777
20250728;	165503;	1753701903.000;	         777
20250728;	165506;	1753701906.000;	         777
20250728;	165509;	1753701909.000;	         777
20250728;	165512;	1753701912.000;	         777
20250728;	165515;	1753701915.000;	         777
20250728;	165518;	1753701918.000;	         777
20250728;	165521;	1753701921.000;	         777
20250728;	165524;	1753701924.000;	         777
20250728;	165527;	1753701927.000;	         777
20250728;	165530;	1753701930.000;	         777
20250728;	165533;	1753701933.000;	         777
20250728;	165536;	1753701936.000;	         777
20250728;	165539;	1753701939.000;	         777
20250728;	165542;	1753701942.000;	         777
20250728;	165545;	1753701945.000;	         777
20250728;	165548;	1753701948.000;	         777
20250728;	165551;	1753701951.000;	         777
20250728;	165554;	1753701954.000;	         777
20250728;	165557;	1753701957.000;	         777
20250728;	165600;	1753701960.000;	         777
20250728;	165603;	1753701963.000;	         777
20250728;	165606;	1753701966.000;	         777
20250728;	165609;	1753701969.000;	         777
20250728;	165612;	1753701972.000;	         777
20250728;	165615;	1753701975.000;	         777
20250728;	165618;	1753701978.000;	         777
20250728;	165621;	1753701981.000;	         777
20250728;	165624;	1753701984.000;	         777
20250728;	165627;	1753701987.000;	         777
20250728;	165630;	1753701990.000;	         777
20250728;	165633;	1753701993.000;	         777
20250728;	165636;	1753701996.000;	         777
20250728;	165639;	1753701999.000;	         777
20250728;	165642;	1753702002.000;	         777
20250728;	165645;	1753702005.000;	         777
20250728;	165648;	1753702008.000;	         777
20250728;	165651;	1753702011.000;	         777
20250728;	165654;	1753702014.000;	         777
20250728;	165657;	1753702017.000;	         777
20250728;	165700;	1753702020.000;	         777
20250728;	165703;	1753702023.000;	         777
20250728;	165706;	1753702026.000;	         777
20250728;	165709;	1753702029.000;	         777
20250728;	165712;	1753702032.000;	         777
20250728;	165715;	1753702035.000;	         777
20250728;	165718;	1753702038.000;	         777
20250728;	165721;	1753702041.000;	         777
20250728;	165724;	1753702044.000;	         777
20250728;	165727;	1753702047.000;	         777
20250728;	165730;	1753702050.000;	         777
20250728;	165733;	1753702053.000;	         777
20250728;	165736;	1753702056.000;	         777
20250728;	165739;	1753702059.000;	         777
20250728;	165742;	1753702062.000;	         777
20250728;	165745;	1753702065.000;	         777
20250728;	165748;	1753702068.000;	         777
20250728;	165751;	1753702071.000;	         777
20250728;	165754;	1753702074.000;	         777
20250728;	165757;	1753702077.000;	         777
20250728;	165800;	1753702080.000;	         777
20250728;	165803;	1753702083.000;	         777
20250728;	165806;	1753702086.000;	         777
20250728;	165809;	1753702089.000;	         777
20250728;	165812;	1753702092.000;	         777
20250728;	165815;	1753702095.000;	         777
20250728;	165818;	1753702098.000;	         777
20250728;	165821;	1753702101.000;	         777
20250728;	165824;	1753702104.000;	         777
20250728;	165827;	1753702107.000;	         777
20250728;	165830;	1753702110.000;	         777
20250728;	165833;	1753702113.000;	         777
20250728;	165836;	1753702116.000;	         777
20250728;	165839;	1753702119.000;	         777
20250728;	165842;	1753702122.000;	         777
20250728;	165845;	1753702125.000;	         777
20250728;	165848;	1753702128.000;	         777
20250728;	165851;	1753702131.000;	         777
20250728;	165854;	1753702134.000;	         777
20250728;	165857;	1753702137.000;	         777
20250728;	165900;	1753702140.000;	         777
20250728;	165903;	1753702143.000;	         777
20250728;	165906;	1753702146.000;	         777
20250728;	165909;	1753702149.000;	         777
20250728;	165912;	1753702152.000;	         777
20250728;	165915;	1753702155.000;	         777
20250728;	165918;	1753702158.000;	         777
20250728;	165921;	1753702161.000;	         777
20250728;	165924;	1753702164.000;	         777
20250728;	165927;	1753702167.000;	         777
20250728;	165930;	1753702170.000;	         777
20250728;	165933;	1753702173.000;	         777
20250728;	165936;	1753702176.000;	         777
20250728;	165939;	1753702179.000;	         777
20250728;	165942;	1753702182.000;	         777
20250728;	165945;	1753702185.000;	         777
20250728;	165948;	1753702188.000;	         777
20250728;	165951;	1753702191.000;	         777
20250728;	165954;	1753702194.000;	         777
20250728;	165957;	1753702197.000;	         777
20250728;	170000;	1753702200.000;	         777
20250728;	170003;	1753702203.000;	         777
20250728;	170006;	1753702206.000;	         777
20250728;	170009;	1753702209.000;	         777
20250728;	170012;	1753702212.000;	         777
20250728;	170015;	1753702215.000;	         777
20250728;	170018;	1753702218.000;	         777
20250728;	170021;	1753702221.000;	         777
20250728;	170024;	1753702224.000;	         777
20250728;	170027;	1753702227.000;	         777
20250728;	170030;	1753702230.000;	         777
20250728;	170033;	1753702233.000;	         777
20250728;	170036;	1753702236.000;	         777
20250728;	170039;	1753702239.000;	         777
20250728;	170042;	1753702242.000;	         777
20250728;	170045;	1753702245.000;	         777
20250728;	170048;	1753702248.000;	         777
20250728;	170051;	1753702251.000;	         777
20250728;	170054;	1753702254.000;	         777
20250728;	170057;	1753702257.000;	         777
20250728;	170100;	1753702260.000;	         777
20250728;	170103;	1753702263.000;	         777
20250728;	170106;	1753702266.000;	         777
20250728;	170109;	1753702269.000;	         777
20250728;	170112;	1753702272.000;	         777
20250728;	170115;	1753702275.000;	         777
20250728;	170118;	1753702278.000;	         777
20250728;	170121;	1753702281.000;	         777
20250728;	170124;	1753702284.000;	         777
20250728;	170127;	1753702287.000;	         777
20250728;	170130;	1753702290.000;	         777
20250728;	170133;	1753702293.000;	         777
20250728;	170136;	1753702296.000;	         777
20250728;	170139;	1753702299.000;	         777
20250728;	170142;	1753702302.000;	         777
20250728;	170145;	1753702305.000;	         777
20250728;	170148;	1753702308.000;	         777
20250728;	170151;	1753702311.000;	         777
20250728;	170154;	1753702314.000;	         777
20250728;	170157;	1753702317.000;	         777
20250728;	170200;	1753702320.000;	         777
20250728;	170203;	1753702323.000;	         777
20250728;	170206;	1753702326.000;	         777
20250728;	170209;	1753702329.000;	         777
20250728;	170212;	1753702332.000;	         777
20250728;	170215;	1753702335.000;	         777
20250728;	170218;	1753702338.000;	         777
20250728;	170221;	1753702341.000;	         777
20250728;	170224;	1753702344.000;	         777
20250728;	170227;	1753702347.000;	         777
20250728;	170230;	1753702350.000;	         777
20250728;	170233;	1753702353.000;	         777
20250728;	170236;	1753702356.000;	         777
20250728;	170239;	1753702359.000;	         777
20250728;	170242;	1753702362.000;	         777
20250728;	170245;	1753702365.000;	         777
20250728;	170248;	1753702368.000;	         777
20250728;	170251;	1753702371.000;	         777
20250728;	170254;	1753702374.000;	         777
20250728;	170257;	1753702377.000;	         777
20250728;	170300;	1753702380.000;	         777
20250728;	170303;	1753702383.000;	         777
