#ies_format_version: 1.0
#file: 20250728_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest2_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest2_A_18
20250728;	170724;	1753702644.000;	         777
20250728;	170727;	1753702647.000;	         777
20250728;	170730;	1753702650.000;	         777
20250728;	170733;	1753702653.000;	         777
20250728;	170736;	1753702656.000;	         777
20250728;	170739;	1753702659.000;	         777
20250728;	170742;	1753702662.000;	         777
20250728;	170745;	1753702665.000;	         777
20250728;	170748;	1753702668.000;	         777
20250728;	170751;	1753702671.000;	         777
20250728;	170754;	1753702674.000;	         777
20250728;	170757;	1753702677.000;	         777
20250728;	170800;	1753702680.000;	         777
20250728;	170803;	1753702683.000;	         777
20250728;	170806;	1753702686.000;	         777
20250728;	170809;	1753702689.000;	         777
20250728;	170812;	1753702692.000;	         777
20250728;	170815;	1753702695.000;	         777
20250728;	170818;	1753702698.000;	         777
20250728;	170821;	1753702701.000;	         777
20250728;	170824;	1753702704.000;	         777
20250728;	170827;	1753702707.000;	         777
20250728;	170830;	1753702710.000;	         777
20250728;	170833;	1753702713.000;	         777
20250728;	170836;	1753702716.000;	         777
20250728;	170839;	1753702719.000;	         777
20250728;	170842;	1753702722.000;	         777
20250728;	170845;	1753702725.000;	         777
20250728;	170848;	1753702728.000;	         777
20250728;	170851;	1753702731.000;	         777
20250728;	170854;	1753702734.000;	         777
20250728;	170857;	1753702737.000;	         777
20250728;	170900;	1753702740.000;	         777
20250728;	170903;	1753702743.000;	         777
20250728;	170906;	1753702746.000;	         777
20250728;	170909;	1753702749.000;	         777
20250728;	170912;	1753702752.000;	         777
20250728;	170915;	1753702755.000;	         777
20250728;	170918;	1753702758.000;	         777
20250728;	170921;	1753702761.000;	         777
20250728;	170924;	1753702764.000;	         777
20250728;	170927;	1753702767.000;	         777
20250728;	170930;	1753702770.000;	         777
20250728;	170933;	1753702773.000;	         777
20250728;	170936;	1753702776.000;	         777
20250728;	170939;	1753702779.000;	         777
20250728;	170942;	1753702782.000;	         777
20250728;	170945;	1753702785.000;	         777
20250728;	170948;	1753702788.000;	         777
20250728;	170951;	1753702791.000;	         777
20250728;	170954;	1753702794.000;	         777
20250728;	170957;	1753702797.000;	         777
20250728;	171000;	1753702800.000;	         777
20250728;	171003;	1753702803.000;	         777
20250728;	171006;	1753702806.000;	         777
20250728;	171009;	1753702809.000;	         777
20250728;	171012;	1753702812.000;	         777
20250728;	171015;	1753702815.000;	         777
20250728;	171018;	1753702818.000;	         777
20250728;	171021;	1753702821.000;	         777
20250728;	171024;	1753702824.000;	         777
20250728;	171027;	1753702827.000;	         777
20250728;	171030;	1753702830.000;	         777
20250728;	171033;	1753702833.000;	         777
20250728;	171036;	1753702836.000;	         777
20250728;	171039;	1753702839.000;	         777
20250728;	171042;	1753702842.000;	         777
20250728;	171045;	1753702845.000;	         777
20250728;	171048;	1753702848.000;	         777
20250728;	171051;	1753702851.000;	         777
20250728;	171054;	1753702854.000;	         777
20250728;	171057;	1753702857.000;	         777
20250728;	171100;	1753702860.000;	         777
20250728;	171103;	1753702863.000;	         777
20250728;	171106;	1753702866.000;	         777
20250728;	171109;	1753702869.000;	         777
20250728;	171112;	1753702872.000;	         777
20250728;	171115;	1753702875.000;	         777
20250728;	171118;	1753702878.000;	         777
20250728;	171121;	1753702881.000;	         777
20250728;	171124;	1753702884.000;	         777
20250728;	171127;	1753702887.000;	         777
20250728;	171130;	1753702890.000;	         777
20250728;	171133;	1753702893.000;	         777
20250728;	171136;	1753702896.000;	         777
20250728;	171139;	1753702899.000;	         777
20250728;	171142;	1753702902.000;	         777
20250728;	171145;	1753702905.000;	         777
20250728;	171148;	1753702908.000;	         777
20250728;	171151;	1753702911.000;	         777
20250728;	171154;	1753702914.000;	         777
20250728;	171157;	1753702917.000;	         777
20250728;	171200;	1753702920.000;	         777
20250728;	171203;	1753702923.000;	         777
20250728;	171206;	1753702926.000;	         777
20250728;	171209;	1753702929.000;	         777
20250728;	171212;	1753702932.000;	         777
20250728;	171215;	1753702935.000;	         777
20250728;	171218;	1753702938.000;	         777
20250728;	171221;	1753702941.000;	         777
20250728;	171224;	1753702944.000;	         777
20250728;	171227;	1753702947.000;	         777
20250728;	171230;	1753702950.000;	         777
20250728;	171233;	1753702953.000;	         777
20250728;	171236;	1753702956.000;	         777
20250728;	171239;	1753702959.000;	         777
20250728;	171242;	1753702962.000;	         777
20250728;	171245;	1753702965.000;	         777
20250728;	171248;	1753702968.000;	         777
20250728;	171251;	1753702971.000;	         777
20250728;	171254;	1753702974.000;	         777
20250728;	171257;	1753702977.000;	         777
20250728;	171300;	1753702980.000;	         777
20250728;	171303;	1753702983.000;	         777
20250728;	171306;	1753702986.000;	         777
20250728;	171309;	1753702989.000;	         777
20250728;	171312;	1753702992.000;	         777
20250728;	171315;	1753702995.000;	         777
20250728;	171318;	1753702998.000;	         777
20250728;	171321;	1753703001.000;	         777
20250728;	171324;	1753703004.000;	         777
20250728;	171327;	1753703007.000;	         777
20250728;	171330;	1753703010.000;	         777
20250728;	171333;	1753703013.000;	         777
20250728;	171336;	1753703016.000;	         777
20250728;	171339;	1753703019.000;	         777
20250728;	171342;	1753703022.000;	         777
20250728;	171345;	1753703025.000;	         777
20250728;	171348;	1753703028.000;	         777
20250728;	171351;	1753703031.000;	         777
20250728;	171354;	1753703034.000;	         777
20250728;	171357;	1753703037.000;	         777
20250728;	171400;	1753703040.000;	         777
20250728;	171403;	1753703043.000;	         777
20250728;	171406;	1753703046.000;	         777
20250728;	171409;	1753703049.000;	         777
20250728;	171412;	1753703052.000;	         777
20250728;	171415;	1753703055.000;	         777
20250728;	171418;	1753703058.000;	         777
20250728;	171421;	1753703061.000;	         777
20250728;	171424;	1753703064.000;	         777
20250728;	171427;	1753703067.000;	         777
20250728;	171430;	1753703070.000;	         777
20250728;	171433;	1753703073.000;	         777
20250728;	171436;	1753703076.000;	         777
20250728;	171439;	1753703079.000;	         777
20250728;	171442;	1753703082.000;	         777
20250728;	171445;	1753703085.000;	         777
20250728;	171448;	1753703088.000;	         777
20250728;	171451;	1753703091.000;	         777
20250728;	171454;	1753703094.000;	         777
20250728;	171457;	1753703097.000;	         777
20250728;	171500;	1753703100.000;	         777
20250728;	171503;	1753703103.000;	         777
20250728;	171506;	1753703106.000;	         777
20250728;	171509;	1753703109.000;	         777
20250728;	171512;	1753703112.000;	         777
20250728;	171515;	1753703115.000;	         777
20250728;	171518;	1753703118.000;	         777
20250728;	171521;	1753703121.000;	         777
20250728;	171524;	1753703124.000;	         777
20250728;	171527;	1753703127.000;	         777
20250728;	171530;	1753703130.000;	         777
20250728;	171533;	1753703133.000;	         777
20250728;	171536;	1753703136.000;	         777
20250728;	171539;	1753703139.000;	         777
20250728;	171542;	1753703142.000;	         777
20250728;	171545;	1753703145.000;	         777
20250728;	171548;	1753703148.000;	         777
20250728;	171551;	1753703151.000;	         777
20250728;	171554;	1753703154.000;	         777
20250728;	171557;	1753703157.000;	         777
20250728;	171600;	1753703160.000;	         777
20250728;	171603;	1753703163.000;	         777
20250728;	171606;	1753703166.000;	         777
20250728;	171609;	1753703169.000;	         777
20250728;	171612;	1753703172.000;	         777
20250728;	171615;	1753703175.000;	         777
20250728;	171618;	1753703178.000;	         777
20250728;	171621;	1753703181.000;	         777
20250728;	171624;	1753703184.000;	         777
20250728;	171627;	1753703187.000;	         777
20250728;	171630;	1753703190.000;	         777
20250728;	171633;	1753703193.000;	         777
20250728;	171636;	1753703196.000;	         777
20250728;	171639;	1753703199.000;	         777
20250728;	171642;	1753703202.000;	         777
20250728;	171645;	1753703205.000;	         777
20250728;	171648;	1753703208.000;	         777
20250728;	171651;	1753703211.000;	         777
20250728;	171654;	1753703214.000;	         777
20250728;	171657;	1753703217.000;	         777
20250728;	171700;	1753703220.000;	         777
20250728;	171703;	1753703223.000;	         777
20250728;	171706;	1753703226.000;	         777
20250728;	171709;	1753703229.000;	         777
20250728;	171712;	1753703232.000;	         777
20250728;	171715;	1753703235.000;	         777
20250728;	171718;	1753703238.000;	         777
20250728;	171721;	1753703241.000;	         777
20250728;	171724;	1753703244.000;	         777
20250728;	171727;	1753703247.000;	         777
20250728;	171730;	1753703250.000;	         777
20250728;	171733;	1753703253.000;	         777
20250728;	171736;	1753703256.000;	         777
20250728;	171739;	1753703259.000;	         777
20250728;	171742;	1753703262.000;	         777
20250728;	171745;	1753703265.000;	         777
20250728;	171748;	1753703268.000;	         777
20250728;	171751;	1753703271.000;	         777
20250728;	171754;	1753703274.000;	         777
20250728;	171757;	1753703277.000;	         777
20250728;	171800;	1753703280.000;	         777
20250728;	171803;	1753703283.000;	         777
20250728;	171806;	1753703286.000;	         777
20250728;	171809;	1753703289.000;	         777
20250728;	171812;	1753703292.000;	         777
20250728;	171815;	1753703295.000;	         777
20250728;	171818;	1753703298.000;	         777
20250728;	171821;	1753703301.000;	         777
20250728;	171824;	1753703304.000;	         777
20250728;	171827;	1753703307.000;	         777
20250728;	171830;	1753703310.000;	         777
20250728;	171833;	1753703313.000;	         777
20250728;	171836;	1753703316.000;	         777
20250728;	171839;	1753703319.000;	         777
20250728;	171842;	1753703322.000;	         777
20250728;	171845;	1753703325.000;	         777
20250728;	171848;	1753703328.000;	         777
20250728;	171851;	1753703331.000;	         777
20250728;	171854;	1753703334.000;	         777
20250728;	171857;	1753703337.000;	         777
20250728;	171900;	1753703340.000;	         777
20250728;	171903;	1753703343.000;	         777
20250728;	171906;	1753703346.000;	         777
20250728;	171909;	1753703349.000;	         777
20250728;	171912;	1753703352.000;	         777
20250728;	171915;	1753703355.000;	         777
20250728;	171918;	1753703358.000;	         777
20250728;	171921;	1753703361.000;	         777
20250728;	171924;	1753703364.000;	         777
20250728;	171927;	1753703367.000;	         777
20250728;	171930;	1753703370.000;	         777
20250728;	171933;	1753703373.000;	         777
20250728;	171936;	1753703376.000;	         777
20250728;	171939;	1753703379.000;	         777
20250728;	171942;	1753703382.000;	         777
20250728;	171945;	1753703385.000;	         777
20250728;	171948;	1753703388.000;	         777
20250728;	171951;	1753703391.000;	         777
20250728;	171954;	1753703394.000;	         777
20250728;	171957;	1753703397.000;	         777
20250728;	172000;	1753703400.000;	         777
20250728;	172003;	1753703403.000;	         777
20250728;	172006;	1753703406.000;	         777
20250728;	172009;	1753703409.000;	         777
20250728;	172012;	1753703412.000;	         777
20250728;	172015;	1753703415.000;	         777
20250728;	172018;	1753703418.000;	         777
20250728;	172021;	1753703421.000;	         777
20250728;	172024;	1753703424.000;	         777
20250728;	172027;	1753703427.000;	         777
20250728;	172030;	1753703430.000;	         777
20250728;	172033;	1753703433.000;	         777
20250728;	172036;	1753703436.000;	         777
20250728;	172039;	1753703439.000;	         777
20250728;	172042;	1753703442.000;	         777
20250728;	172045;	1753703445.000;	         777
20250728;	172048;	1753703448.000;	         777
20250728;	172051;	1753703451.000;	         777
20250728;	172054;	1753703454.000;	         777
20250728;	172057;	1753703457.000;	         777
20250728;	172100;	1753703460.000;	         777
20250728;	172103;	1753703463.000;	         777
20250728;	172106;	1753703466.000;	         777
20250728;	172109;	1753703469.000;	         777
20250728;	172112;	1753703472.000;	         777
20250728;	172115;	1753703475.000;	         777
20250728;	172118;	1753703478.000;	         777
20250728;	172121;	1753703481.000;	         777
20250728;	172124;	1753703484.000;	         777
20250728;	172127;	1753703487.000;	         777
20250728;	172130;	1753703490.000;	         777
20250728;	172133;	1753703493.000;	         777
20250728;	172136;	1753703496.000;	         777
20250728;	172139;	1753703499.000;	         777
20250728;	172142;	1753703502.000;	         777
20250728;	172145;	1753703505.000;	         777
20250728;	172148;	1753703508.000;	         777
20250728;	172151;	1753703511.000;	         777
20250728;	172154;	1753703514.000;	         777
20250728;	172157;	1753703517.000;	         777
20250728;	172200;	1753703520.000;	         777
20250728;	172203;	1753703523.000;	         777
20250728;	172206;	1753703526.000;	         777
20250728;	172209;	1753703529.000;	         777
20250728;	172212;	1753703532.000;	         777
20250728;	172215;	1753703535.000;	         777
20250728;	172218;	1753703538.000;	         777
20250728;	172221;	1753703541.000;	         777
20250728;	172224;	1753703544.000;	         777
20250728;	172227;	1753703547.000;	         777
20250728;	172230;	1753703550.000;	         777
20250728;	172233;	1753703553.000;	         777
20250728;	172236;	1753703556.000;	         777
20250728;	172239;	1753703559.000;	         777
20250728;	172242;	1753703562.000;	         777
20250728;	172245;	1753703565.000;	         777
20250728;	172248;	1753703568.000;	         777
20250728;	172251;	1753703571.000;	         777
20250728;	172254;	1753703574.000;	         777
20250728;	172257;	1753703577.000;	         777
20250728;	172300;	1753703580.000;	         777
20250728;	172303;	1753703583.000;	         777
20250728;	172306;	1753703586.000;	         777
20250728;	172309;	1753703589.000;	         777
20250728;	172312;	1753703592.000;	         777
20250728;	172315;	1753703595.000;	         777
20250728;	172318;	1753703598.000;	         777
20250728;	172321;	1753703601.000;	         777
20250728;	172324;	1753703604.000;	         777
20250728;	172327;	1753703607.000;	         777
20250728;	172330;	1753703610.000;	         777
20250728;	172333;	1753703613.000;	         777
20250728;	172336;	1753703616.000;	         777
20250728;	172339;	1753703619.000;	         777
20250728;	172342;	1753703622.000;	         777
20250728;	172345;	1753703625.000;	         777
20250728;	172348;	1753703628.000;	         777
20250728;	172351;	1753703631.000;	         777
20250728;	172354;	1753703634.000;	         777
20250728;	172357;	1753703637.000;	         777
20250728;	172400;	1753703640.000;	         777
20250728;	172403;	1753703643.000;	         777
20250728;	172406;	1753703646.000;	         777
20250728;	172409;	1753703649.000;	         777
20250728;	172412;	1753703652.000;	         777
20250728;	172415;	1753703655.000;	         777
20250728;	172418;	1753703658.000;	         777
20250728;	172421;	1753703661.000;	         777
20250728;	172424;	1753703664.000;	         777
20250728;	172427;	1753703667.000;	         777
20250728;	172430;	1753703670.000;	         777
20250728;	172433;	1753703673.000;	         777
20250728;	172436;	1753703676.000;	         777
20250728;	172439;	1753703679.000;	         777
20250728;	172442;	1753703682.000;	         777
20250728;	172445;	1753703685.000;	         777
20250728;	172448;	1753703688.000;	         777
20250728;	172451;	1753703691.000;	         777
20250728;	172454;	1753703694.000;	         777
20250728;	172457;	1753703697.000;	         777
20250728;	172500;	1753703700.000;	         777
20250728;	172503;	1753703703.000;	         777
20250728;	172506;	1753703706.000;	         777
20250728;	172509;	1753703709.000;	         777
20250728;	172512;	1753703712.000;	         777
20250728;	172515;	1753703715.000;	         777
20250728;	172518;	1753703718.000;	         777
20250728;	172521;	1753703721.000;	         777
20250728;	172524;	1753703724.000;	         777
20250728;	172527;	1753703727.000;	         777
20250728;	172530;	1753703730.000;	         777
20250728;	172533;	1753703733.000;	         777
20250728;	172536;	1753703736.000;	         777
20250728;	172539;	1753703739.000;	         777
20250728;	172542;	1753703742.000;	         777
20250728;	172545;	1753703745.000;	       err32
20250728;	172548;	1753703748.000;	         777
20250728;	172551;	1753703751.000;	         777
20250728;	172554;	1753703754.000;	         777
20250728;	172557;	1753703757.000;	         777
20250728;	172600;	1753703760.000;	         777
20250728;	172603;	1753703763.000;	         777
20250728;	172606;	1753703766.000;	         777
20250728;	172609;	1753703769.000;	         777
20250728;	172612;	1753703772.000;	         777
20250728;	172615;	1753703775.000;	         777
20250728;	172618;	1753703778.000;	         777
20250728;	172621;	1753703781.000;	         777
20250728;	172624;	1753703784.000;	         777
20250728;	172627;	1753703787.000;	         777
20250728;	172630;	1753703790.000;	         777
20250728;	172633;	1753703793.000;	         777
20250728;	172636;	1753703796.000;	         777
20250728;	172639;	1753703799.000;	         777
20250728;	172642;	1753703802.000;	         777
20250728;	172645;	1753703805.000;	         777
20250728;	172648;	1753703808.000;	         777
20250728;	172651;	1753703811.000;	         777
20250728;	172654;	1753703814.000;	         777
20250728;	172657;	1753703817.000;	         777
20250728;	172700;	1753703820.000;	         777
20250728;	172703;	1753703823.000;	         777
20250728;	172706;	1753703826.000;	         777
20250728;	172709;	1753703829.000;	         777
20250728;	172712;	1753703832.000;	         777
20250728;	172715;	1753703835.000;	         777
20250728;	172718;	1753703838.000;	         777
20250728;	172721;	1753703841.000;	         777
20250728;	172724;	1753703844.000;	         777
20250728;	172727;	1753703847.000;	         777
20250728;	172730;	1753703850.000;	         777
20250728;	172733;	1753703853.000;	         777
20250728;	172736;	1753703856.000;	         777
20250728;	172739;	1753703859.000;	         777
20250728;	172742;	1753703862.000;	         777
20250728;	172745;	1753703865.000;	         777
20250728;	172748;	1753703868.000;	         777
20250728;	172751;	1753703871.000;	         777
20250728;	172754;	1753703874.000;	         777
20250728;	172757;	1753703877.000;	         777
20250728;	172800;	1753703880.000;	         777
20250728;	172803;	1753703883.000;	         777
20250728;	172806;	1753703886.000;	         777
20250728;	172809;	1753703889.000;	         777
20250728;	172812;	1753703892.000;	         777
20250728;	172815;	1753703895.000;	         777
20250728;	172818;	1753703898.000;	         777
20250728;	172821;	1753703901.000;	         777
20250728;	172824;	1753703904.000;	         777
20250728;	172827;	1753703907.000;	         777
20250728;	172830;	1753703910.000;	         777
20250728;	172833;	1753703913.000;	         777
20250728;	172836;	1753703916.000;	         777
20250728;	172839;	1753703919.000;	         777
20250728;	172842;	1753703922.000;	         777
20250728;	172845;	1753703925.000;	         777
20250728;	172848;	1753703928.000;	         777
20250728;	172851;	1753703931.000;	         777
20250728;	172854;	1753703934.000;	         777
20250728;	172857;	1753703937.000;	         777
20250728;	172900;	1753703940.000;	         777
20250728;	172903;	1753703943.000;	         777
20250728;	172906;	1753703946.000;	         777
20250728;	172909;	1753703949.000;	         777
20250728;	172912;	1753703952.000;	         777
20250728;	172915;	1753703955.000;	         777
20250728;	172918;	1753703958.000;	         777
20250728;	172921;	1753703961.000;	         777
20250728;	172924;	1753703964.000;	         777
20250728;	172927;	1753703967.000;	         777
20250728;	172930;	1753703970.000;	         777
20250728;	172933;	1753703973.000;	         777
20250728;	172936;	1753703976.000;	         777
20250728;	172939;	1753703979.000;	         777
20250728;	172942;	1753703982.000;	         777
20250728;	172945;	1753703985.000;	         777
20250728;	172948;	1753703988.000;	         777
20250728;	172951;	1753703991.000;	         777
20250728;	172954;	1753703994.000;	         777
20250728;	172957;	1753703997.000;	         777
20250728;	173000;	1753704000.000;	         777
20250728;	173003;	1753704003.000;	         777
20250728;	173006;	1753704006.000;	         777
20250728;	173009;	1753704009.000;	         777
20250728;	173012;	1753704012.000;	         777
20250728;	173015;	1753704015.000;	         777
20250728;	173018;	1753704018.000;	         777
20250728;	173021;	1753704021.000;	         777
