#ies_format_version: 1.0
#file: 20250802_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250802;	135239;	1754122959.000;	       err11;	 err11
20250802;	135242;	1754122962.000;	        err9;	  err7
20250802;	135245;	1754122965.000;	        err9;	     0
20250802;	135248;	1754122968.000;	        err9;	     0
20250802;	135251;	1754122971.000;	        err9;	     0
20250802;	135254;	1754122974.000;	        err9;	     0
20250802;	135257;	1754122977.000;	        err9;	     0
20250802;	135300;	1754122980.000;	        err9;	     0
20250802;	135303;	1754122983.000;	        err9;	     0
20250802;	135306;	1754122986.000;	        err9;	     0
20250802;	135309;	1754122989.000;	        err9;	     0
20250802;	135312;	1754122992.000;	        err9;	     0
20250802;	135315;	1754122995.000;	        err9;	     0
20250802;	135318;	1754122998.000;	        err9;	     0
20250802;	135321;	1754123001.000;	        err9;	     0
20250802;	135324;	1754123004.000;	       err32;	 err32
20250802;	135327;	1754123007.000;	       err32;	 err32
20250802;	135330;	1754123010.000;	       err32;	 err32
20250802;	135333;	1754123013.000;	        err7;	  err7
20250802;	135336;	1754123016.000;	       err20;	     0
20250802;	135339;	1754123019.000;	       err20;	     0
20250802;	135342;	1754123022.000;	       err20;	     0
20250802;	135345;	1754123025.000;	       err20;	     0
20250802;	135348;	1754123028.000;	       err20;	     0
20250802;	135351;	1754123031.000;	        err9;	     0
20250802;	135354;	1754123034.000;	        err9;	     0
20250802;	135357;	1754123037.000;	        err9;	     0
20250802;	135400;	1754123040.000;	        err9;	     0
20250802;	135403;	1754123043.000;	        err9;	     0
20250802;	135406;	1754123046.000;	        err9;	     0
20250802;	135409;	1754123049.000;	        err9;	     0
20250802;	135412;	1754123052.000;	        err9;	     0
20250802;	135415;	1754123055.000;	        err9;	     0
20250802;	135418;	1754123058.000;	        err9;	     0
20250802;	135421;	1754123061.000;	        err9;	     0
20250802;	135424;	1754123064.000;	       err32;	 err32
20250802;	135427;	1754123067.000;	       err32;	 err32
20250802;	135430;	1754123070.000;	       err32;	 err32
20250802;	135430;	1754123070.000;	       err11;	 err11
20250802;	135433;	1754123073.000;	        err7;	  err7
20250802;	135436;	1754123076.000;	           0;	     0
20250802;	135439;	1754123079.000;	           0;	     0
20250802;	135442;	1754123082.000;	           0;	     0
20250802;	135445;	1754123085.000;	           0;	     0
20250802;	135448;	1754123088.000;	           0;	     0
20250802;	135451;	1754123091.000;	           0;	     0
20250802;	135454;	1754123094.000;	           0;	     0
20250802;	135457;	1754123097.000;	           0;	     0
20250802;	135500;	1754123100.000;	           0;	     0
20250802;	135503;	1754123103.000;	           0;	     0
20250802;	135506;	1754123106.000;	           0;	     0
20250802;	135509;	1754123109.000;	           0;	     0
20250802;	135512;	1754123112.000;	           0;	     0
20250802;	135515;	1754123115.000;	           0;	     0
20250802;	135518;	1754123118.000;	           0;	     0
20250802;	135521;	1754123121.000;	           0;	     0
20250802;	135524;	1754123124.000;	           0;	     0
20250802;	135527;	1754123127.000;	           0;	     0
20250802;	135530;	1754123130.000;	           0;	     0
20250802;	135533;	1754123133.000;	           0;	     0
20250802;	135536;	1754123136.000;	           0;	     0
20250802;	135539;	1754123139.000;	           0;	     0
20250802;	135542;	1754123142.000;	           0;	     0
20250802;	135545;	1754123145.000;	           0;	     0
20250802;	135548;	1754123148.000;	           0;	     0
20250802;	135551;	1754123151.000;	           0;	     0
20250802;	135554;	1754123154.000;	           0;	     0
20250802;	135557;	1754123157.000;	           0;	     0
20250802;	135600;	1754123160.000;	           0;	     0
20250802;	135603;	1754123163.000;	           0;	     0
20250802;	135606;	1754123166.000;	           0;	     0
20250802;	135609;	1754123169.000;	           0;	     0
20250802;	135612;	1754123172.000;	           0;	     0
20250802;	135615;	1754123175.000;	           0;	     0
20250802;	135618;	1754123178.000;	           0;	     0
20250802;	135621;	1754123181.000;	           0;	     0
20250802;	135624;	1754123184.000;	           0;	     0
20250802;	135627;	1754123187.000;	           0;	     0
20250802;	135630;	1754123190.000;	           0;	     0
20250802;	135633;	1754123193.000;	           0;	     0
