#ies_format_version: 1.0
#file: 20250718_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	test1_An_2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	test1_V_3;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#006;	test1_Vln_4;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#007;	test1_T_5;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	test1_An_2;	test1_V_3;	test1_Vln_4;	test1_T_5
20250718;	131548;	1752824748.000;	       err11;	       err11;	       err11;	       err11
20250718;	131551;	1752824751.000;	       err11;	       err11;	       err11;	       err11
20250718;	131554;	1752824754.000;	       err11;	       err11;	       err11;	       err11
20250718;	131557;	1752824757.000;	       err11;	       err11;	       err11;	       err11
20250718;	131600;	1752824760.000;	       err11;	       err11;	       err11;	       err11
20250718;	131603;	1752824763.000;	       err11;	       err11;	       err11;	       err11
20250718;	131606;	1752824766.000;	       err11;	       err11;	       err11;	       err11
20250718;	131609;	1752824769.000;	       err11;	       err11;	       err11;	       err11
20250718;	131612;	1752824772.000;	       err11;	       err11;	       err11;	       err11
20250718;	131615;	1752824775.000;	       err11;	       err11;	       err11;	       err11
20250718;	131618;	1752824778.000;	       err11;	       err11;	       err11;	       err11
20250718;	131621;	1752824781.000;	       err11;	       err11;	       err11;	       err11
20250718;	131624;	1752824784.000;	       err11;	       err11;	       err11;	       err11
20250718;	131627;	1752824787.000;	       err11;	       err11;	       err11;	       err11
20250718;	131630;	1752824790.000;	       err11;	       err11;	       err11;	       err11
20250718;	131633;	1752824793.000;	       err11;	       err11;	       err11;	       err11
20250718;	131636;	1752824796.000;	       err11;	       err11;	       err11;	       err11
20250718;	131639;	1752824799.000;	       err11;	       err11;	       err11;	       err11
20250718;	131642;	1752824802.000;	       err11;	       err11;	       err11;	       err11
20250718;	131645;	1752824805.000;	       err11;	       err11;	       err11;	       err11
